id,price,moonRank,💎 score (%),storeURL,Background,Expression,Extras,Eyes,Face,Headgear,Lines,Name,Neck,Skull
3585,3,5084,49.43,https://solanart.io/nft/5E3x8bfzhcv3v6hpiSSnu7Q6TZaKnECusHytZtjd5BD6,Grey,Fearsome,None,Single Blue,Razor Blade,Red Baseball Cap,Cheeks,Bruce the Cursed,None,Orange Spray Paint
3594,2.98,4453,53.43,https://solanart.io/nft/TbvEp7afWkZRftECvkmF1MHUXqCBBarJaSaXxjEVfod,Purple,Deadpan,None,Twin Red,None,Royal Blue Durag,Cheeks,Luscius the Metaphorical,None,Fuschia Tie Dye
3614,2.45,6619,45.7,https://solanart.io/nft/DCGkoTLhg6kQ5q8bCZpgsw5cAhNTR4a1mqbpd5No2zwX,Red,Deadpan,None,Single Purple,None,None,Cheeks,Manny the Rowdy,None,Brains
3674,5,721,55.67,https://solanart.io/nft/4XdPSws5MBqHcY9s84iKFo8rF8C4L8v2CNqSD51AgSpi,Orange,Deadpan,None,Eight Ball,Blue Poker Chip,Ice Scream Cone,Buttchin,Alistair the Trickster,None,Putting Green
3675,2.14,5860,53.37,https://solanart.io/nft/3Pdd14p6NguNHBZXM7hk8x9JCS7ncfbVAirqmv3FHC44,Teal,Deadpan,None,Single Purple,Green Record,None,None,Malcolm the Hung,None,Teal Bucket
3678,3.5,3977,51.09,https://alpha.art/t/QJWN5p45KpMXx1jVNZmEb1TnGoUXAGM4NRE61t8DcJH,Orange,Deadpan,None,Single Blue,Orange Record,Halo,Worry Lines,Darryl the Fury,None,Fuschia Tie Dye
3684,5.5,3011,36.9,https://solanart.io/nft/4DKnoT9ahYig4yBx1rx4CvSjfoNPmAMVv4A88piKxwB9,Purple,Fearsome,None,Twin Green,Tongue,Royal Blue Durag,Cheeks,Apollo the Adversary,None,KISS
3694,20,2031,0,https://solanart.io/nft/Enayq2HunmZhvhkXxN61fZrsTktNn6s6q4rsD7LqVRco,Red,Fearsome,None,Flat Eyes,Orange Record,Blue Spiked Mohawk,Cheeks,Axel the Undertaker,None,Purple Marbled
3695,1.5,1667,84.98,https://solanart.io/nft/EACMVBp368Hb67JQfegZKqk59Kp1AmuKWa8ULD5o5aQY,Seafoam Green,Fearsome,None,Worms,None,Red Baseball Cap,Worry Lines,Hugo the Corrupt,None,Pink Spray Paint
3726,2.49,3255,65.53,https://solanart.io/nft/28x91ELCKgRBgWchQynDgRR2ToUJGhyjnLywXrErRG4v,Teal,Fearsome,None,Twin Blue,Tongue,Horns,Divot,Buffalo Bill the Undertaker,None,Pop Art
3747,3.9,5809,36.07,https://solanart.io/nft/7HcnMVbv4y9rXPkbaZ6AwqyMef6TDgHUM5pBKz1RKpXY,Purple,Deadpan,None,Single Green,Green Poker Chip,None,Cheeks,Hugo the Corrupt,None,Purple Bucket
3759,5,1698,49.79,https://solanart.io/nft/5NKNh7YwBchvoVysTFjWnW9WpFzkaLR7FfBCi6ihXa2R,Royal Blue,Deadpan,None,Third Eye,Green Record,Green Baseball Cap,Squiggle,Xander the Baddest Bad of All Time,None,Purple Creepy Crawlies
3776,10,512,6.92,https://solanart.io/nft/76nupKP9KZfm5dqc5ivpqNH7ngG6LPfDEhXvfdZ65b6a,Seafoam Green,Deadpan,None,Twin Red,Razor Blade,Zombie Hand,Worry Lines,Freddy the Bleakhearted,None,Fuschia Tie Dye
3785,5,6356,21.79,https://solanart.io/nft/5MASgXVJgrAHhjk5gekjS1p8Rvzy89cuv6qGz6Z1wMuq,Royal Blue,Deadpan,None,Blue Flames,Razor Blade,None,Cheeks,Eduardo the Diamond Handed,None,Teal Bucket
3786,2.5,6653,45,https://solanart.io/nft/Aa44YzdcLdmGtxZgVd1FERfnezGaiWbH8y24kBoYMUBL,Purple,Fearsome,None,Blue Flames,None,None,Cheeks,Santiago the Forbidden,None,Empty Candy Bucket
3803,8,207,28.76,https://solanart.io/nft/CH5scQ7nvfonTk9RmnRrhKL4BGk7J5HygytdKodFdiNL,Purple,Deadpan,None,Twin Green,Clouds,Tiny Wizard's Hat,None,Casper the Deadlifter,None,Pop Art
3825,1.05,4406,73.01,https://solanart.io/nft/3qtEbbJkpjn3x4wtkZ4ppoa51qLV274sF8iEFpqoa7cn,Sky Blue,Fearsome,None,Single Blue,Green Poker Chip,None,Worry Lines,Griffin the Supersonic,None,Pumpkin Bucket
3890,5,2953,42.25,https://solanart.io/nft/J9SNqG7rCiT21nwoFKBKQWiJvbD51fKncWmMt4qsEJzJ,Red,Deadpan,None,Blood,Razor Blade,Purple Spiked Mohawk,None,Morpheus the Extremely Endowed,None,Blue Crosshatch
3900,2,6154,53,https://solanart.io/nft/GPum8XaVkJ4DawT9sqRkbBQPZEyg9zrgkvVtor7x4LjV,Mango,Deadpan,None,Sunglasses,Blue Poker Chip,None,Worry Lines,Hagrid the Masterless,None,Jungle
3911,1.26,4161,72.38,https://solanart.io/nft/5YBPpvki72ck6HX1Gkx2v9zbfpTTpmFKZMbeC5EPAomq,Red,Fearsome,None,Blood,None,Toasted,Cheeks,Carlos the Mutilator,None,Green Spray Paint
3929,2.66,5717,49.03,https://solanart.io/nft/CecyBAjzsHpxpUjgh5wsSDen8zrzjnVY4n1M2dQZyZbn,Teal,Fearsome,None,Single Purple,Blue Poker Chip,None,None,Salvatore the Vigorous,None,Brains
3991,3.39,36,75.88,https://solanart.io/nft/AQDQJTV5Rx7eDVmUYBDSXHHZNKuapScHToEP9rnZG4Uy,Grey,Fearsome,None,Dead Xs,Money,Red Mohawk,Cheeks,Luciano the Dude,Red Bowtie,Blue Splash
3992,5.99,1803,39.26,https://solanart.io/nft/ANH7PSh5RBESfe3it2WBaJyidWPfpezC6hMaMZGC2g2y,Yellow,Fearsome,None,Tiny Pupils,Cigarette,None,Cheeks,Logan the Baddest Bad of All Time,None,Zombie Brains
4008,10,735,5.58,https://solanart.io/nft/H9wtm4JkGPAEC2ih67R1EXuaqyeh2NF4N7aR1gGQx733,Teal,Deadpan,None,Single Red,Razor Blade,Traffic Cone,Worry Lines,Alfred the Mutant,None,Wavy Pink
4015,4,4314,44.06,https://solanart.io/nft/2FMYktn42Kbp2yDFoYyG9r7PS5bdJLgUUVLu7WBZ6YVX,Royal Blue,Deadpan,None,Tiny Pupils,None,Blue Mohawk,Worry Lines,Richie the Vigorous,None,Cerulean Sugar Skull
4023,2,1493,81.02,https://solanart.io/nft/G68QfSihsgPsGXKWAAoP8si6gNVTMbkWFrAT62KDJ2t4,Seafoam Green,Fearsome,None,Single Green,Melon Hammer,Blue Spiked Mohawk,Divot,Ripley the Inferno,None,Blue Crosshatch
4048,3.5,2274,61.33,https://solanart.io/nft/5XFSkhokdQrsaX5AXZ2CuGGzbPpxbd5krcWRBBAGnxv1,Teal,Deadpan,None,Dead Xs,Tongue with Eyeball,Red Baseball Cap,Cheeks,Derek the Ravenous,None,Marigold Day Of The Dead
4074,25,5721,0,https://solanart.io/nft/sMC6i57ca8uRZPQUBJWnLNRCvU7TNYTAxWAKeF5NHir,Orange,Deadpan,None,Blue Flames,Blue Poker Chip,Green Baseball Cap,Cheeks,Richie the Cruel,None,Blue Crosshatch
4092,2.98,2379,65.9,https://solanart.io/nft/2N5nWtbTKZzE4SX5LggkbZsVWD17q3ZHsp1oY5LLCxNT,Red,Deadpan,None,Pills,Green Record,Tophat,Cheeks,Atlas the Stone Cold,None,Camo
4100,6.5,5684,10.83,https://alpha.art/t/62t7hU3A5t7dBPJ25uvd39FQ18t7Vq3io1ABp4rXneiR,Purple,Deadpan,None,Third Eye,Kunai,None,None,Randy the Inferno,None,Teal Bucket
4120,4.5,1060,58.63,https://solanart.io/nft/J8gL6WBKcjvmjcrJHrG2LU7hUAz69wteFsET4oDZzWJz,Purple,Deadpan,None,Tiny Pupils,Trench Knife,Green Spiked Mohawk,None,Marco the Big Boy,None,Nebula
4125,5,955,54.26,https://solanart.io/nft/ADeP1c2ibXwHpT12Fug8XXtdMGmonSMbC9CT8b194bcK,Royal Blue,Fearsome,None,Twin Red,Hatchet,Headphones,Worry Lines,Ash the Chaotic,None,Crimson Cranium
4128,3.33,3367,56.46,https://alpha.art/t/CWAnBDMs8rPxVgfsTzm6LZ1TpWSzBz2RRsFYf7Kw33Mc,Mango,Deadpan,None,Slime,Joker Grin,None,Divot,Apollo the Treacherous,None,Teal Bucket
4137,21,4319,0,https://solanart.io/nft/7cmJTKh9YkGfRUeB8t4Ft5J6E3NmfyBvc31v6bcsm6KA,Royal Blue,Deadpan,None,Twin Red,Trench Knife,None,Worry Lines,Hagrid the Maggot,None,Brainwave
4146,15,210,0,https://solanart.io/nft/81fJ7XSDcAQYbKQPDC64NTgmkgUoGDrwGfTpKzhcS3So,Red,Deadpan,None,Dead Xs,None,Emo Party Hat,Cheeks,Elvis the Impure,Black Bowtie,Jawbreaker
4164,11,1657,0,https://solanart.io/nft/FopT7fd1bSCPBe5Xmpuc1Y5GdbpNs1c33pVLu1yEnzJs,Red,Deadpan,None,Matches,Fat Cigar,Ice Scream Cone,Squiggle,Hugo the Corrupt,None,Green Spray Paint
