id,price,moonRank,💎 score (%),storeURL,Background,Direction,Element,Hat,House,Mask Eyes,Mouth,Nose Eyes,Sign,Skin
944,2.25,1845,48.42,https://alpha.art/t/Gtf7CiBta29HGhdjCR3zKw2nFrQGtN3oj5XC99ivxQ9R,Background 62,,Water,Hat 43,12th House,Mask Eyes 19,Mouth 31,Nose Eyes 14,Taurus,Skin 17
975,4.5,747,46.14,https://magiceden.io/item-details/EJmpc1YiLwQUU1hw56uSg6rcHixfJeBBKVJikt97Rjnk,Background 45,,Water,Hat 43,8th House,Mask Eyes 40,Mouth 26,Nose Eyes 2,Cancer,Skin 30
981,5.5,1161,28.52,https://magiceden.io/item-details/2N6mDzp4TDAKQ4BLvh82jmDwyEiSgLfTYuK665tc1VDw,Background 47,,Fire,Hat 21,9th House,Mask Eyes 58,Mouth 12,Nose Eyes 1,Leo,Skin 4
998,1,67,93.67,https://magiceden.io/item-details/4w7AfRDkVHNpDeLsS57ZTWjQVQ2yMkYMEkAr98LWH8eV,Background 153,South,Air,Hat 99,11th House,Mask Eyes 123,Mouth 70,Nose Eyes 53,Sagittarius,Skin 71
1014,5,127,52.56,https://magiceden.io/item-details/EPfq9azzD8ka6WmgPRMuAMLGmDiRHvLGEMLwti1t8cRu,Background 321,West,Earth,Hat 178,7th House,Mask Eyes 148,Mouth 96,Nose Eyes 133,Pisces,Skin 276
1020,1.5,1713,58.35,https://magiceden.io/item-details/AuxrNnKFmfykggkHPBkiAUK3TH8ZJs7ap7VtdSgGWUDM,Background 67,,Earth,Hat 48,2nd House,Mask Eyes 2,Mouth 39,Nose Eyes 12,Aquarius,Skin 44
1023,3,133,72.45,https://magiceden.io/item-details/ARAiqJ1sr6bMYs6UJay6WHPSz5Z76rrDSQYEvu6514n4,Background 600,West,Earth,Hat 221,3rd House,Mask Eyes 242,Mouth 149,Nose Eyes 133,Sagittarius,Skin 279
1086,2,2015,47.79,https://magiceden.io/item-details/5Z2ssb7BHVBDZLLvvJP6FnLkPemA75AozUbVoR5orxej,Background 69,,Water,Hat 29,2nd House,Mask Eyes 9,Mouth 10,Nose Eyes 6,Libra,Skin 32
1093,4.5,1882,25.24,https://magiceden.io/item-details/7YGrBTuVz3f4A42Gz2hmBakR96sJRUToJeQRoMRatfqH,Background 62,,Fire,Hat 47,7th House,Mask Eyes 15,Mouth 9,Nose Eyes 14,Aquarius,Skin 48
1189,80,558,0,https://magiceden.io/item-details/GHznPEercLAmXC5kBWuAtMRbXzsMCdACGM7jYGsuhSY4,Background 56,,Air,Hat 32,8th House,Mask Eyes 39,Mouth 17,Nose Eyes 32,Taurus,Skin 6
1206,3,845,59.34,https://magiceden.io/item-details/DRZ3eurUNc1jQeDZDcnHmnoKkWuqCnf4qoDyH28P5hdo,Background 78,,Earth,Hat 23,4th House,Mask Eyes 44,Mouth 25,Nose Eyes 30,Taurus,Skin 19
1218,2.5,477,71.12,https://alpha.art/t/EqsJ3EeQqXfKMyLMBFcVFrSKbTZDHCG99zVdewuKKUk5,Background 3,,Air,Hat 8,7th House,Mask Eyes 50,Mouth 17,Nose Eyes 25,Gemini,Skin 39
1244,10,18,4.57,https://magiceden.io/item-details/C9AB6acTpba7iZNMbp2D8FQBPxkqxSHrwWHoS6UmUgtz,Background 218,East,Fire,Hat 135,9th House,Mask Eyes 137,Mouth 92,Nose Eyes 92,Pisces,Skin 501
1272,3,2172,34.9,https://magiceden.io/item-details/6kCnpnPcVSi5a3VhCRL9uLcWJGQwB3rKZ9rWXpnWttYS,Background 13,,Water,Hat 35,7th House,Mask Eyes 56,Mouth 10,Nose Eyes 19,Gemini,Skin 65
1286,2.6,1750,46.67,https://magiceden.io/item-details/HymbSFyVjw2Tab7GvgSYGGX7oWtHFF6SCZn2Wi62QTA8,Background 47,,Water,Hat 46,1st House,Mask Eyes 20,Mouth 14,Nose Eyes 20,Aquarius,Skin 62
1289,0.99,940,77.69,https://magiceden.io/item-details/EqzjwQ8YjkW8omtMMrBQESa2rtKbEbeeqn4C91kRb7zs,Background 66,,Air,Hat 4,2nd House,Mask Eyes 43,Mouth 20,Nose Eyes 4,Pisces,Skin 40
1319,1.25,8,92.25,https://magiceden.io/item-details/G6oiGVEcviRZ7DNFj4DXuyGhrtsNiq2doD1RZLunQAko,Background 86,South,Water,Hat 112,9th House,Mask Eyes 119,Mouth 52,Nose Eyes 59,Sagittarius,Skin 271
1321,0.75,504,88.12,https://magiceden.io/item-details/BKUxPLyaF3BXH7rENgYiHtwR7cEDBrUwLQ4brMrsRcE6,Background 36,,Fire,Hat 7,4th House,Mask Eyes 7,Mouth 24,Nose Eyes 31,Aries,Skin 58
1336,2,1429,58.58,https://alpha.art/t/GZ43p41pSxxeE8vNaxBhhUMzqashYqnnLqpMEiuQzC23,Background 43,,Air,Hat 4,7th House,Mask Eyes 42,Mouth 15,Nose Eyes 26,Capricorn,Skin 53
1349,15,263,0,https://magiceden.io/item-details/KKjk2GL1R266UUyLoy828hAAbZ3LpHJcC3pngsM1tJn,Background 57,South,Fire,Hat 91,4th House,Mask Eyes 117,Mouth 64,Nose Eyes 66,Leo,Skin 66
1356,0.8,1859,62.66,https://magiceden.io/item-details/FfJG1Gynye7BoSy4NbxMAwVmgdikDdeBuZiZkgVwDtbq,Background 56,,Air,Hat 47,8th House,Mask Eyes 3,Mouth 16,Nose Eyes 22,Taurus,Skin 56
1417,0.7,161,94.93,https://magiceden.io/item-details/HEcDVprUTZf9LfbPfrLXe8SyHRpwotLhsGBHSXi4Pbzc,Background 168,South,Fire,Hat 109,3rd House,Mask Eyes 126,Mouth 48,Nose Eyes 66,Cancer,Skin 400
1492,12,1471,0,https://magiceden.io/item-details/M2wouMKTc1wN9GSDuA33HjkgvY4W7KrKmcD9HEPTLsx,Background 25,,Water,Hat 18,11th House,Mask Eyes 43,Mouth 1,Nose Eyes 3,Scorpio,Skin 34
1529,0.51,1649,69.43,https://magiceden.io/item-details/C2Cmg94TN2t3VdnU4bLuCufwdYeZK9azeTj5wKfSJ7LQ,Background 62,,Air,Hat 53,12th House,Mask Eyes 58,Mouth 3,Nose Eyes 27,Pisces,Skin 41
1543,5,478,46.1,https://magiceden.io/item-details/9XoPVpWv6H4zmn388xpVku9iDGDgMAbsenrLdEsbgAL6,Background 44,,Air,Hat 41,2nd House,Mask Eyes 55,Mouth 28,Nose Eyes 12,Sagittarius,Skin 61
1558,10,87,3.3,https://magiceden.io/item-details/DrgWU3MiXQpixJ5dBpNhwM5JfyCxr15cNiZfYHwmqxGW,Background 321,West,Water,Hat 219,6th House,Mask Eyes 223,Mouth 145,Nose Eyes 113,Virgo,Skin 204
1568,1.5,265,85.02,https://magiceden.io/item-details/GPuLa1YrahsynU6dz3QbFWjweV5Dp8bL4RrjvJ494ta7,Background 57,South,Air,Hat 97,10th House,Mask Eyes 128,Mouth 71,Nose Eyes 63,Sagittarius,Skin 129
1578,1.75,1567,58.54,https://magiceden.io/item-details/5JUCju85FS6tGUoXVcyYJJwSucoTHFw2YhPgcYeaJJ8J,Background 82,,Air,Hat 34,8th House,Mask Eyes 16,Mouth 36,Nose Eyes 16,Scorpio,Skin 30
1589,5,1188,33.02,https://magiceden.io/item-details/69WTgVScNYi4F4h3Fex1kpsYACsxbxvHZPtFdT4aPJkm,Background 28,,Fire,Hat 10,2nd House,Mask Eyes 58,Mouth 36,Nose Eyes 20,Virgo,Skin 40
1591,1,436,86.87,https://magiceden.io/item-details/8mbR7mLFFiYKHGgmU1tUTwNQofquuySdxR3ZRjtsW5vw,Background 84,,Fire,Hat 21,2nd House,Mask Eyes 8,Mouth 21,Nose Eyes 17,Libra,Skin 54
1638,420.69,1348,0,https://magiceden.io/item-details/FA3nb3qjE311SDnZ3ydhGfz2UQGFvjKpaDiGW73oQhBH,Background 72,,Water,Hat 48,8th House,Mask Eyes 20,Mouth 23,Nose Eyes 13,Virgo,Skin 16
1653,1.25,49,91.5,https://magiceden.io/item-details/HXp2nAZt2iLJpZBCsgvWXm8YvXQwsMBmEm1tcdPgzm3M,Background 168,South,Air,Hat 98,9th House,Mask Eyes 116,Mouth 42,Nose Eyes 43,Leo,Skin 119
1654,3,1941,39.15,https://magiceden.io/item-details/8bzyw6sVKamGTnZfCgVQeWRrXiBNUFr78j5hMM3keDai,Background 38,,Water,Hat 14,6th House,Mask Eyes 25,Mouth 4,Nose Eyes 2,Sagittarius,Skin 62
1658,0.57,511,89.79,https://magiceden.io/item-details/7ps8SgXN5abZxX97U5VBC7MhRo56Y1AroqWQ5RnS8pnK,Background 75,,Air,Hat 34,7th House,Mask Eyes 52,Mouth 36,Nose Eyes 2,Sagittarius,Skin 41
1684,5,17,54.59,https://magiceden.io/item-details/FeTxDaNsQLygp73vqEadE7vPGyUBpzckHQqVJuwoWDfK,Background 322,West,Air,Hat 217,1st House,Mask Eyes 208,Mouth 160,Nose Eyes 113,Pisces,Skin 200
1686,5,15,54.62,https://magiceden.io/item-details/3dpnq5VNVX6M3Eohaa86gx5EJN5jkt1oSF8mKxRZacr3,Background 237,East,Fire,Hat 159,6th House,Mask Eyes 179,Mouth 92,Nose Eyes 101,Libra,Skin 139
1690,0.66,391,91.1,https://magiceden.io/item-details/FF4Nj46ZNWdqgL7cwgreYLStZgM2djVvUVYc4qv2t7ab,Background 40,,Air,Hat 35,4th House,Mask Eyes 23,Mouth 2,Nose Eyes 32,Taurus,Skin 28
1696,4,1240,42.06,https://magiceden.io/item-details/6UBjADkm5iaHGboh1AJ561tGZ25Pu8jU2zg7tXabH2NG,Background 25,,Earth,Hat 22,10th House,Mask Eyes 39,Mouth 25,Nose Eyes 35,Scorpio,Skin 6
