id,price,moonRank,score,storeURL
916,3,221,491,https://magiceden.io/item-details/EVmvp2gw3FB1Sq68UQxyAyNeLmkMwcgvXjfmvqBUKjao
936,2.49,1100,1319,https://magiceden.io/item-details/4d4PqmgRkAN8HkPw66fN5tahnzAoBUMtwsDbCrTYKmeb
937,1,310,380,https://magiceden.io/item-details/AXv6Xf6hXZZyWoETWybD8M4NXNKKcvvYd5tT6pw22wyN
940,0.59,726,755,https://magiceden.io/item-details/9YJ58sCL7wjEvWuy9SVRmwJ55NvVzRd5iWXUhCUvPktj
942,0.39,442,451,https://magiceden.io/item-details/6VumWf7pbrAgZu81pYfakmr2BFvGPCiBs9orvzj2o5cv
945,0.3,806,806,https://magiceden.io/item-details/HhJnxY8DqAkgitnVPosAABmiMgWhL4JMgcgVvhYZC6fz
948,0.59,785,814,https://magiceden.io/item-details/3zSGdpWB2yDJBgjww3d8srgQHsXNnfT2kNJzPP6smDue
949,0.37,905,912,https://magiceden.io/item-details/ExF1Ubmxy4rjHg4YwrUSeihz51tmmm94C2LPiXedxbMB
950,1.1,342,422,https://magiceden.io/item-details/ByBfqX5b39zCEBCfwfFUKbR2DAYkDfyTsjAWr4SFau5a
952,1.1,470,550,https://magiceden.io/item-details/6k4XhC2UKzygiejxPqzXJBPsTaL1vHLqV4dQNmXjb5HH
