id,price,moonRank,💎 score (%),storeURL,Background,Clothes,Eyebrows,Eyes,Face Accessory,Glasses,Hair,Head Accessory,Mouth,Skin
3163,5,3478,36.52,https://magiceden.io/item-details/Bd6dKwiRyyoeZ8qaUomFWDe6aADavkNr3MPZw71poQDn,Purple,Tank Top,Small,Blue,,,Ponytail Brown,Top Hat,Pink Fangs,Cyborg
3164,2.1,4071,63.07,https://solanart.io/nft/KjmuqSQ5FeoCiWivAL1d33zeF1pB7RZWtcegko88HBE,Green,Turtleneck,Thin,Teal,,Glasses Regular,Bob Black,,Pink,Cyborg
3171,5,3563,36.17,https://magiceden.io/item-details/2skqofdMhk3h4WHkJcqy97VVpHP47siPjHgDbPKdct6U,Beige,Turtleneck,Arched,Purple,Bandaids,,Ponytail Black,,Pink,Blue
3172,0.55,7464,64.54,https://magiceden.io/item-details/BxmJ48VPEjJxzS9gZiL5HHT3G7rbsqVPtesrinsVsWgu,Blue,Tank Top,Thin,Teal,,,Ponytail Brown,Scribbles,Pink,White
3175,1.5,9458,46.79,https://magiceden.io/item-details/FUdZiYNwpBGnhgTdKLpghFmer75CyAZ4EaNWz9jKsBes,Yellow,Tshirt,Small,Teal,,,Ponytail Black,,Black,White
3176,0.19,6521,72.04,https://magiceden.io/item-details/FsdApVVsNLg78ftkUvYLxLgwDZuEPXEtDfCGpD8fXTAD,Green,Tshirt,Small,Purple,Gasmask Teal,,Bob Brown,,Pink,White
3178,0.8,6497,66.04,https://solanart.io/nft/7bzU6oHsVR7gB3bXwRu6WD4hzTTzRrM6tPb3qK4N3CF8,Beige,Tshirt,Small,Teal,,,Bob Black,Helix Hat,Gold,Black
3182,2,1554,74.47,https://magiceden.io/item-details/AeACzJVdwmxgYba3xfvpogHWmBqcMHShJ3A4x1BAJaGS,Pastel,Tshirt,Worry,Teal,Gasmask Teal,,Ponytail White,,Black,Black
3185,2,4412,62.66,https://magiceden.io/item-details/81c6p8w3vuDbHdHR1CakgttBNdqB5Xn2tVpSPdRssUru,Yellow Flat,Bandages,Scar,Purple,,,Ponytail Black,,Black,White
3186,1.3,2458,77.74,https://solanart.io/nft/E6DqqgYCb6Qj53yuWezeEpj6enHjQDbAyZoWc8V3rw2N,Yellow,Turtleneck,Small,Purple,Facemask,,Ponytail Black,Clouds,Pink,White
3200,2.4,7934,44.09,https://solanart.io/nft/BWKVeswGygomwLP8eFBbpRo5Zp2NGiFfBZG72JaNviRN,Purple,Tshirt,Thin,Blue,,,Ponytail Brown,,Pink,Blue
3202,0.45,9518,57.05,https://alpha.art/t/8SZFWr8PGCQcrBqPMWqj36VGzaeDT2zDEiTYxVBWMiJc,Blue,Turtleneck,Arched,Blue,,,Ponytail Black,,Pink,Black
3203,2,8049,47.62,https://magiceden.io/item-details/8M51mVoQd8GxrAH1pkTq2jCrPUSSB6mkbt5qB9Vu7W5h,Beige,Tshirt,Small,Blue,,,Ponytail Brown,Butterflies,Pink,White
3205,2,4085,64.01,https://solanart.io/nft/2KGh3xGVUkH2SzkjQ6JV6iCYgFeCC8fuKjgFzcMAXmHZ,Beige,Bandages,Scar,Teal,,,Bob Brown,Clouds,Pink,White
3207,0.25,7871,65.86,https://magiceden.io/item-details/HqTpKXJ6JNe8URUsFKGwey3EThSWxiDeVMZxgXTM5PBi,Pastel,Tank Top,Thin,Purple,,,Bob Black,,Pink,Cyborg
3216,3,3216,57.6,https://magiceden.io/item-details/BsBRMB48hnLApv8aQJGHGvnCQUvSNFVuCwYN1qhJ938g,Beige,Tshirt,Thin,Teal,,Glasses Solana,Ponytail Brown,Butterflies,Pink,White
3219,0.2825,9310,59.58,https://solanart.io/nft/E6hXNu57B9SxC2HPVKfxWGsHofQPS5jLXEZtJtdA6nrV,Beige,Turtleneck,Thin,Teal,,,Bob Pink,,Pink,White
3234,1,685,88.07,https://magiceden.io/item-details/81NhReqUoxxisgyF8N3MqmntevUYTF3S4FoxMWM8KWnT,Yellow,,Scar,Teal,,Glasses Regular,Bob Black,,Pink,Black
3247,0.22,6107,73.45,https://solanart.io/nft/BNxdhsFDAfMEor3tfPbBw866DwFnhmwzDfHuS3C4j6me,Grey,Tank Top,Worry,Blue,,Monocle Regular,Bob Black,,Pink,Black
3248,2,6185,55.33,https://solanart.io/nft/7YCPcCL4E1arPV677TJboxeEDFc6ZZvQxsLN1N9GLdYt,Beige,Tshirt,Small,Teal,,,Bob Black,,Gold Fangs,Black
3268,0.25,8340,63.92,https://solanart.io/nft/7epTLHS6okZNASXEdeGCJZNBcXpjT1Tj4i5a7Frvv9n6,Beige,Bandages,Small,Teal,,,Ponytail Black,Helix Hat,Pink,White
3274,0.2,3399,84.85,https://solanart.io/nft/7NxoNAx9ecT7toiSxX5avF2jjk2hsFe9cjwEE9gUDUWU,Blue,Tank Top,Arched,Purple,Bandaids,,Bob Brown,,Black Fangs,White
3276,0.5,499,93.84,https://magiceden.io/item-details/55uFySFKQQwXvynQAY3d2HZCU3bUf7JFLnYee3SsuhNd,Blue,Turtleneck,Small,Blue,Piercing,Monocle Regular,Ponytail White,Helix Hat,Pink,Black
3280,1.4,2043,78.45,https://solanart.io/nft/E8mLS2jVMf9kFHVSLG5qrJjsqGopcjz5aTLhEnpTW21U,Teal,Tank Top,Worry,Teal,Bandaids,,Ponytail Pink,,Black,White
3314,0.19,7597,67.59,https://solanart.io/nft/4F78yQKRLSQsbHC5qhceAQsegXTPpx3wRPdGy4wCd4Dt,Green,Turtleneck,Small,Purple,Bandaids,,Ponytail Brown,,Pink,White
3315,1.5,2630,75.03,https://solanart.io/nft/4bMzFuhiWTfd2n2aApKWm9RPPhtmBBvAETh8zX5bdYhd,Purple,Bandages,Thin,Teal,,Monocle Solana,Bob Teal,,Pink,White
3320,2,6325,54.75,https://solanart.io/nft/7WHv2inYvmAqpE5nGdTCs5fo9csgMcbnBZM6CWVwxXN1,Solana2,Bandages,Thin,Teal,,,Ponytail Brown,Horns,Pink,White
3323,1,7258,60.89,https://solanart.io/nft/2j42nQpSiHDhuzaJBicYJwd2v5dkwGKTm9sTB6aZGd8W,Green,Hoodie,Small,Purple,,,Bob Brown,,Black,White
3327,0.5,8903,59.09,https://magiceden.io/item-details/7LnnuX4NaBLHpiFcXbbYMTwZkEgfedk9vu4JWZNhEsNw,Beige,Tshirt,Arched,Blue,,,Bob Brown,Horns,Pink,White
3331,1,4004,74.34,https://magiceden.io/item-details/68vBq7annES6WhTfEY1AxvAyotnGDAWDuL7iCiDZ8Bq4,Grey,Bandages,Small,Teal,,,Ponytail Brown,Mushrooms,Pink Fangs,Black
3376,0.777,654,90.43,https://magiceden.io/item-details/4KwK442AV5AAQNgxacShkGdqLCkq17venxU5BpEY6EHy,Yellow,Tank Top,Arched,White,,Glasses Solana,Ponytail White,Top Hat,Pink,White
3377,0.3,5923,73.41,https://magiceden.io/item-details/CbUW1fbixyXQeBp7K2tvSzi1EHUueAmYV7wKEKqKWeRK,Teal,Turtleneck,Arched,Purple,Facemask,,Bob Black,,Black,White
3395,1,8788,54.56,https://magiceden.io/item-details/GsRThkY3e7Tt2CbmfB5y7HrrdZaezhDLuT3hpFRzdBYH,Pastel,Tshirt,Scar,Blue,,,Ponytail Brown,,Pink,Black
3403,0.2,1409,93.07,https://solanart.io/nft/FXVV7SC1DYDjmTFNuYJZ42Ba68wbcCTJC8xU14aayWE,Green,Tank Top,Thin,Blue,Bandaids,Monocle Regular,Ponytail Brown,,Gold,Black
3404,0.6,8836,58.36,https://solanart.io/nft/CzCoiVWPBVwcjEz2ovF4HAwWdGFC2Zm8uwoEfvSwgC9y,Solana2,Turtleneck,Thin,Teal,,,Ponytail Brown,,Black,Black
3408,6,3401,26.84,https://magiceden.io/item-details/37JEPMZ1zF7NWNozndCrKGkXTgsUJVkpB9Qp4muR4m2j,Green,Tank Top,Worry,Teal,,,Bob Brown,Butterflies,Pink,Cyborg
3409,1,7225,61.03,https://magiceden.io/item-details/8mJPSrHJ18WdqBqvJ1Awfg3PSu9aa6BviG8TdvNAjJgA,Solana1,Turtleneck,Small,Blue,,,Bob Brown,,Pink,Blue
3411,1.2,6681,61.28,https://solanart.io/nft/2peP4zLNkSYTfoxnf2J7Rz19ieGGfYZGBCFN4cJETmeT,Green,Tshirt,Small,Teal,,,Ponytail White,,Black,Blue
3412,0.5,895,92.2,https://solanart.io/nft/6pWtX2jWsufZqtDnn5bwWi2P2HfJkywivoXrcqhFT54j,Green,Turtleneck,Small,Teal,,Glasses Regular,Bob Black,Scribbles,Black,Black
3414,0.19,205,98.15,https://magiceden.io/item-details/9VNXvY2shHKNfEEPHrE7CCxyzRjNxcQtNDxZfF4xkYqK,Purple,Tank Top,Small,Black,,Monocle Regular,Bob Brown,Scribbles,Black,Black
