id,price,moonRank,💎 score (%),storeURL,1:1,Background,Mouth,Skin,Sunglasses
707,0.2,649,74.89,https://alpha.art/t/8aucduzm3ob44m9r9GWAZ29UtogSkjp27oWrRjxVfjw1,,Volcanic_Eruption,Cig,Pink,Normal
720,0.2,584,77.24,https://alpha.art/t/3Szwaub7JYAB55RU7tKiJ6k2pVV7ZK8CbFoxAGN4bNPy,,Pastel_Purple,Cig,Yellow,Shades
727,0.1,694,74.27,https://magiceden.io/item-details/tHJwpmadeLLQy3JSso2GE31gAMqKZFEqFja2f4SWJPS,,Pastel_Blue,Normal,Silver,Shades
731,0.178,976,63.32,https://alpha.art/t/HuhtMxFSqdJwUqzoJ7CwYYH4hG3tMMwrYKqv1NgDs56g,,Fire,Normal,Orange,Normal
782,0.075,226,91.4,https://magiceden.io/item-details/4aUdjMFnWLCTTqbb9vUUJEjzNPu6gxPXfsT2ems4TSZj,,Volcanic_Eruption,Normal,Orange,3D
790,0.08,141,94.41,https://magiceden.io/item-details/FUfdd63U629xisryrHnsbzXrYMexPKyzhhnhg9mWsBAD,,Volcanic_Eruption,Knife,Blue,Normal
824,0.07,114,95.49,https://magiceden.io/item-details/FeEpGmwc53DV3zyCB73BqLQp2EEeELKE1uEzWq6DyfJ2,,Generative_Purple,Pipe,Green,3D
827,0.6,293,83.73,https://alpha.art/t/88LXULJzdZhWpjwknhbzp61mpM1WRiZNwEaxN8HMv3cS,,Space,Cig,Silver,Shades
829,0.05,533,80.58,https://magiceden.io/item-details/4cLhV6ZVrRKqWgtpoCrnMoogmtgtuq9hhUengZv8bBFx,,Jungle,Gun,Blue,Normal
852,0.03,757,72.7,https://magiceden.io/item-details/HSWHcUwkP7kbxBL1emFkKcngEG2dXVMjHiVuEG7VJVso,,Water,Cig,Orange,Normal
857,0.5,440,79.43,https://alpha.art/t/9s42uwKKrhrutKY3YCJW1Z4kvvHEDqK5Ax66QSd3hj5k,,Great_Landscape,Pipe,Green,Normal
886,0.08,415,84.53,https://magiceden.io/item-details/8zDLheN2XUciwhWJ2sda7Y371bLdiax6hg5U9eKUbqpf,,Pastel_Yellow,Normal,Blue,3D
891,0.15,417,83.76,https://alpha.art/t/G6RB6ZvaWpBMJka3JK4pA1eCnQH4yybVH2irPXfvkFuF,,Pastel_Purple,Pipe,Green,Normal
892,0.1,585,78.2,https://alpha.art/t/AZ2KgPHr5M95cydmgxocn2P3xUu4xsWnYTnPoaT9rLMX,,Moon,Normal,Aqua,3D
937,0.12,780,70.97,https://alpha.art/t/DPCJzaWKqZmzQhPxh3gbewusoBaykgahkQyUPcDRfi9F,,Jungle,Normal,Orange,Shades
