id,price,moonRank,💎 score (%),storeURL,Backgrounds,Backpacks,Bottoms,Headgear,Skin,Tops,Weapon,mintDate
3506,12.5,3613,52.87,https://magiceden.io/item-details/7R8ZokWvTw2WBJNQPdNtACUHbRFSqyyRTDazQ46GRZ5A,Red,No Backpack,White Pants,Brown Hair,Remnant3,Blue Shirt,Katana,08/01/2022 19:27:13
3509,13.99,3833,35.71,https://magiceden.io/item-details/B5mrAFAKSaSn8jZzV5yZLRyKkyLSjky7JpVB5DWkQ5U7,Purple,No Backpack,White Cargos,Brown Hair,Remnant1,Red Shirt,Red Flare,22/12/2021 18:10:29
3522,14,2693,47.31,https://magiceden.io/item-details/E1fuWWyE76G7kRdFNNqvd4KDRuFihqb3P62HGu5QDvgh,Blue,Brown Backpack,Black Shorts,Red Cap,Remnant1,Black Shirt,Axe,15/01/2022 18:00:43
3569,15,1517,49.39,https://magiceden.io/item-details/jYctXD2DBShADRK2ogsUesRJYctc8DajZn6HkyqoKgG,Light Grey,No Backpack,White Cargos,Black Mask,Remnant2,Black Shirt,Bloody Nailed Wooden Bat,15/01/2022 17:46:21
3648,29,235,0,https://magiceden.io/item-details/9X5odsENMTxYbsQvGKzwfupRZmjzipjRfxtyQQMgSDux,Blue,Brown Backpack,Black Shorts,Red Beanie,Remnant3,Red Shirt,Purple Lightsaber,15/01/2022 17:46:32
3674,30,374,0,https://magiceden.io/item-details/BPEbEzCSVhZ2WnvYQQRXtU4VTkXvsqKLFdmxdYQQywz4,Green,Black Backpack,Black Jeans,Blue Beanie,Remnant2,Blue Sport Jersey,Assault Rifle,15/01/2022 17:46:55
3728,15,3651,27.47,https://magiceden.io/item-details/BjWpTuNQQ6aVP3PfoBj6yPCY83ZjN8LrujfjDwhtDyjD,Red,No Backpack,White Jeans,Red Balaclava,Remnant2,Black Shirt,Knife,15/01/2022 17:48:15
3758,14.89,3619,28.9,https://magiceden.io/item-details/2hkGnpuHT6sYR5y1onsYpphr3XQwKbrezNYT8YyggE3W,Blue,No Backpack,Tan Cargo Shorts,Black Beanie,Remnant1,Brown Jumper,Blue Flare,15/01/2022 18:01:10
3761,20,1397,0.62,https://magiceden.io/item-details/Ebrqu4vSYF5zdKfri2P8pDy4KNHxqESEmcUoNqq2RWkx,Yellow,Green Backpack,Grey Cargo shorts,Red Beanie,Remnant2,Red Shirt,Bloody Sword,15/01/2022 17:47:55
3794,13,877,75.96,https://magiceden.io/item-details/EYDwAsBCLtx4Mo7c6v14jy5HZ4cJU8zLcBXtfHzSCW6j,Orange,Green Backpack,Grey Cargo Shorts,Black Beanie,Remnant1,Grey Hoodie,Battleaxe,08/01/2022 19:16:31
3805,15,1638,48.15,https://magiceden.io/item-details/nFZoTiK1XT55ptGCT2cjk7WNMWuec7UA956wuBMyzjD,Light Grey,Brown Backpack,Cargos,Red Bandana,Remnant3,Black Shirt,Bloody Knife,15/01/2022 18:01:13
3896,13.5,1205,67.59,https://magiceden.io/item-details/BggVeZRXXwwuReBAJFi2nJ9LWm28UTkzJTaChrnzABeL,Red,Green Backpack,Grey Cargo shorts,Black Beanie,Remnant3,Red Shirt,Crossbow,15/01/2022 17:35:30
3925,21,1154,0,https://magiceden.io/item-details/HfecZP7hHbis8xcEsDwxu3kdaJ2ZSDYexp6AbtJ5eUEC,Blue,No Backpack,Black shorts yellow crocs,Red Sunglasses,Remnant1,Fur Coat,Blue Flare,15/01/2022 18:00:03
3969,100,2329,0,https://magiceden.io/item-details/GZsaUSaBTSEXCABPEJtG529SkxXVt1hAJJJrNgVF4116,Green,No Backpack,Black Cargo Shorts,Black Balaclava,Remnant1,SOL Hoodie,Wooden Spear,15/01/2022 18:00:55
