id,price,moonRank,💎 score (%),storeURL,Backgrounds,Body,Eyes,Head,Mouth,Neck
1847,0.2,480,90.82,https://magiceden.io/item-details/FtqLMAKuS8porn3VJMRNvavKpNbr3FrHayYzw4LcboVd,Peach,Brown,Specs,Earring,Cigarette,None
1855,0.3,563,88.32,https://magiceden.io/item-details/CrYqafjWZ4Kojjkehqe4CpYrjsKfiuNU25cxvf4G22i9,Green,Brown,ThreeD_Glasses,Cap,Vape,None
1858,2,742,68.08,https://alpha.art/t/14UCkj5zNEMrEeSysmv8qsB9LVYSSWMaADebGMYsPE1d,Peach,Brown,Laser_Eyes,Backward_Cap,None,None
1863,2,217,77.58,https://magiceden.io/item-details/5gH3tQ3Zwv7V7QErEqpHm6gF2EA4W68v4mxEq8tnqVZH,Green,Tan,ThreeD_Glasses,Halo,Vape,None
1869,0.4,754,83.87,https://magiceden.io/item-details/BBGdqxLbCVoo5Xu7HuoN2rPJardg7ZekcEf4BSYe3RMP,Peach,Tan,Specs,Purple_Rag,None,None
1886,1.7,2164,45.37,https://alpha.art/t/A7fVb7DrAk6N7oJxW2J1W3BSmHZUzwNDHnzFRLdrD2nz,Peach,Tan,Orange_Sunnies,None,None,None
1890,0.2,1325,75.54,https://magiceden.io/item-details/9ZPLNSLqZx8tt5gb7PTqkLFRUBFG8z4UKAF71ciBqLkJ,Yellow,Zombie,None,Purple_Beanie,None,None
1895,3.5,343,60.3,https://alpha.art/t/8wPLmEERfY4cy4KhfVcr7nc6o9RS5pMYAWM6C1bCoriQ,Green,Blue,None,Halo,None,Purple_Balaclava
1902,3,320,65.71,https://alpha.art/t/853ZAiU4cp1U6fADBUCTe2ujNxpnca5MjXb9DG2VKYHp,Green,Blue,Specs,None,Cigarette,Orange_Balaclava
1904,0.2,1564,71.22,https://magiceden.io/item-details/HPRwfexHkZUyiXXpQsBVgsjKSmoaPUxXvpi5ES8p5WXC,White,Brown,None,Pink_Rag,None,None
