id,price,moonRank,💎 score (%),storeURL,Background,Extra,Eyes,Face,Headwear,Outfit,Wetware
Sentinel 4167,0.25,6364,69.79,https://magiceden.io/item-details/Snt3nkFhzi1kCcVqzsRNJwTwP6rTMs9ZsNpzb9JMKt2,Rotary Decompression Chamber,Articulated Piercer,Impassive,Lovestruck,Cognitive Cloudware,Golem Exoskeleton,Surrogate D
Sentinel 7244,0.27,3309,83.46,https://magiceden.io/item-details/sNTckE2cybud52S9QiB15W6sq7w2eDoJvTTQtzvWwvZ,Convolutional Neural Abacus,Mechanized Home Assistant,Augmented,Jeering,Highborn Cybernetics,Ancestral,Surrogate A
Sentinel 8659,0.27,3680,81.78,https://magiceden.io/item-details/sNtrK4mriMBi8tjHrbEjUXhKNMZ55yigZDGh8MTj51h,Convolutional Neural Abacus,Wetware Mind Drive,Piercing,Troubled,Nanolink Prototype,Demonic Ritualist,Surrogate A
Sentinel 5799,0.28,2065,89.01,https://magiceden.io/item-details/Sntz7nAaiyAU4qU2mDwFDmiF2M8mFauKuhmBPtVSGhc,Kurzweillian Nightmare,Quadrupedal Assistant,Piercing,Grimacing,Flayed Syndicate,Vented Exosuit,Surrogate D
Sentinel 7133,0.29,2886,85.19,https://magiceden.io/item-details/Snt3hUiHSBDiKnw1Z5PYDtHpKAix6df4YofxMCCYsbA,Convolutional Neural Abacus,Dragonfly Drone,Restless,Pained,Tatenen Plating,Bandaged Ranger,Surrogate C
Sentinel 8650,0.29,2253,88.06,https://magiceden.io/item-details/SntnjGJfYLntWFoqFyvxscL9bcvmz2f7tAix8dH756K,Submerged Boiler Room,Multiverse Navigator,Impassive,Troubled,Electric Valhalla,Chameleon,Surrogate A
Sentinel 5565,0.29,1138,93.12,https://magiceden.io/item-details/sntdR6M6cvMJHaQcWRE4NWTouEbs162xtjnL9VUsAG3,Mesoglean Heat Exchanger,Quadrupedal Assistant,Restless,Mechanized,Enigma Visor,Golem Exoskeleton,Surrogate B
Sentinel 5288,0.29,5816,71.88,https://magiceden.io/item-details/1337HyuAErcTTjdtRjQa1rqpmChZrnKA4Aw3UEfrezWU,Convolutional Neural Abacus,Perceptual Augmentation Mask,Worshipful,Lovestruck,Wired Essence,Chameleon,Surrogate D
Sentinel 3225,0.29,7602,63.77,https://magiceden.io/item-details/1337J1RxMUhdTgtZZmMndcDxBfRoh8fb2J9tEZCxgPFj,Rotary Decompression Chamber,Wetware Mind Drive,Augmented,Lovestruck,Neon Order Braid,Nanovest,Surrogate C
Sentinel 7687,0.299,596,95.49,https://magiceden.io/item-details/SnT6VGoXFgLUn8dK3CmW4Jb5exaC8TShL8onNDzRiYA,Rotary Decompression Chamber,Serpentine Attackware,Commanding,Grimacing,Iron Militant,Officer_s Jacket,Surrogate C
Sentinel 464,0.3,6420,69.04,https://magiceden.io/item-details/sNtqNSps83bqNc6oBasFiZK5wKbxNNM6dChawEvxUGa,Convolutional Neural Abacus,Aether Tree,Lecherous,Grimacing,Flayed Syndicate,Cephalopoda,Surrogate C
Sentinel 7562,0.3,2382,87.37,https://magiceden.io/item-details/sNtHLLFYAFuH6jA2p1EmwmUCCzUKp6PdrFgpYMCTr98,Convolutional Neural Abacus,Myceleumware Halo,Worshipful,Morose,Auxiliary Armature,Lilac Nanosuit,Surrogate C
Sentinel 5895,0.3,4092,79.61,https://magiceden.io/item-details/SNtdGFqWFxkfAFKKnZtNGcYuf1N6AqVL6CUThHLNsCW,Diamondhand Harmonics,Multiverse Navigator,Bloodshot,Faint,JSON Mask,Platemail,Surrogate C
Sentinel 2243,0.3,8427,59.92,https://magiceden.io/item-details/snTCfVzKHMK6GzscvqZBDBd17KT1SpPKfQqHE7ngtje,Diamondhand Harmonics,MicroVac,Veiled,Morose,Fibermask,Cephalopoda,Surrogate A
Sentinel 2069,0.3,2416,87.22,https://magiceden.io/item-details/1337TzsNyvsxPMnxjAgXqTvAEn6cL1zZoiJdjPA5ZSvx,Rotary Decompression Chamber,Dragonfly Drone,Worshipful,Troubled,Sonic Harvest,Harvest Suit,Surrogate D
Sentinel 6169,0.3,2734,85.78,https://magiceden.io/item-details/1337TNtpLxwxryNZ7XtdQm91EkABjEqAo6ryE2Fav2tX,Rotary Decompression Chamber,Dragonfly Drone,Impassive,Jeering,Arachnodrone,Forest Scout,Surrogate B
Sentinel 8433,0.3,1120,93.1,https://magiceden.io/item-details/sntn5yuAoRzkK7yLR9FLQsximBa5qA7A93xBXKkFgEj,Submerged Boiler Room,Wetware Mind Drive,Impassive,Faint,Cognitive Camo,Radioactive,Surrogate C
Sentinel 5819,0.3,1039,93.47,https://magiceden.io/item-details/sNtyT1CtJBsdW7U5dKGck3RUFwgoRQtSBqqfy2pfqBS,Submerged Boiler Room,Hivemind Processor,Veiled,Mechanized,Iron Militant,Nanovest,Surrogate E
Sentinel 6670,0.3,825,94.44,https://magiceden.io/item-details/snT2cHTaVsUfK7cVF8ryutmffPZLM6Zjkqi2iHM11Vs,Rotary Decompression Chamber,Dragonfly Drone,Restless,Troubled,CBRNE Team,Stitched Frame,Surrogate B
Sentinel 5887,0.3,2943,84.83,https://magiceden.io/item-details/sNTKTyxQPsTwPMNFL6CwbeDAMhEBcXui43A3gB71eYt,Mesoglean Heat Exchanger,Tentacular Spacecake,Commanding,Lovestruck,Neural Vessels,Chameleon,Surrogate D
Sentinel 8577,0.3,2255,87.95,https://magiceden.io/item-details/1337J4hawhPLM6PUrLGD3TaxariX4CFbbWu7DrY4jn1L,Submerged Boiler Room,Vented Portalsaur,Impassive,Morose,Underworld Dweller,Cephalopoda,Surrogate A
Sentinel 7845,0.3,391,96.41,https://magiceden.io/item-details/1337J58R2dDPsPuUbc7vVzWfhw6nBagz96PKz28m6CRE,Submerged Boiler Room,Multiverse Navigator,Liquid,Mechanized,Flayed Syndicate,Cybernetic Rose,Surrogate D
Sentinel 6659,0.3,3754,81.14,https://magiceden.io/item-details/snTXzRZGYKgjqEcNGYeUYVFPks7EpoTxV5pP9Nd72H3,Diamondhand Harmonics,Viscous Gasware,Weary,Faint,Enigma Visor,Mesh,Surrogate D
