id,price,moonRank,💎 score (%),storeURL,Accessory,Background,Eyes,Eyewear,Helmet,Mouth,Skin,Teeth
3438,2.5,1982,60.36,https://magiceden.io/item-details/CBTdgdR2BvrNGb9aEuhWE2SYJ7NMV1MdHNPf11AgW7HR,Gold Earring,Rose,One Red,3D Glasses,Baby,Pizza,Sky,None
3514,0.4,4064,62.3,https://magiceden.io/item-details/EJgHrFX3o631cV4HF24HDMxiB8Mo32LC3qvLnK83Hoqm,Gold Earring,Mint 1,One Yellow,Pixel Glasses,Glass,Banana Milk,Yellow,None
3631,0.4,2245,78.95,https://magiceden.io/item-details/CT9EF78phtKcj5nnWwPL6sBgLnv4FmkzymMpsMVBvwib,Silver Earring,Violet 1,Red,Pixel Glasses,Glass,Lollipops,Blue,Three White
3633,7,2093,14.34,https://alpha.art/t/DMsoPkE986AiKkWrkhhD7tFR9n1Coup67u7xzQPkP86t,Silver Earring,Pink,One Yellow,None,Glass,Soda,Rainbow,None
3734,2.5,2167,58.66,https://magiceden.io/item-details/Dt4ErNzawnBcMgzoTbD3MFXDPQaGzDGmpByEZg3bRe9n,Silver Earring,Purple 1,Rainbow,Sun Glasses,Chef,Banana,Purple Red,None
3858,0.4,4088,62.08,https://magiceden.io/item-details/9s7ddosdMjubR3sWfZb31a3UY2QU3CGS9G6N7Bx8arPQ,Silver Earring,Violet 1,Blue,None,Fireman,Banana Milk,Olive,None
3963,2,1666,68.25,https://alpha.art/t/EDTfTTV6FGALoszXHtVvqKiUiC5hXuWFigcS5u945Pjb,Silver Earring,Purple,One Green,Sun Glasses,Glass,Saliva,Red,Two White
4001,2.5,3022,50.84,https://magiceden.io/item-details/GFHoA4hpvXGtv8xKamn6X5bSFZGD8WMymoHiaPPS1yMP,Silver Earring,Cerulean 1,One Red,None,Santa,Banana,Brown,None
4033,0.39,4054,62.49,https://magiceden.io/item-details/8y4KZsa7CqTwu6UiphHp5NdjXpBWqLRLgvbVL4uvCu8F,None,Banana 1,Green,Sun Glasses,Glass,Soda,Purple,None
4143,2.7,46,76.08,https://alpha.art/t/E43SnQZRUnzmRPTnhwBU7i1aiTvpZhf7rWoi74nTGrVJ,None,Banana,One Star,None,Bear,None,Leopard,Three Diamond
4289,0.4,4237,60.72,https://magiceden.io/item-details/Df9vaGxePC4321zzJjo3MCoXtjnj113WT5R9Qo5Fux39,Silver Earring,Yellow 1,One Blue,None,Leaf,Gum,Purple,None
4405,2.1,2812,56.76,https://alpha.art/t/FkhyUsb6tDcantr9GmGszF91Nt6LXnTrkap5mQh7UUQK,None,Cerulean,One Green,Sun Glasses,Sticker Boom,Banana Milk,Yellow,None
4416,2.5,2811,52.77,https://magiceden.io/item-details/3DWSHVw9uBku2sthu6HRxnAKxRj51iSGbUd2cB2ks8Sq,Silver Earring,Purple,One Green,Clear Goggle,Glass,Banana,Cow,None
4458,2.5,3143,49.73,https://magiceden.io/item-details/AiuksRXzLMV85cRFwb5XKFfvuFdWKVzysTp7EfBU1iY1,Gold Earring,Blue 1,Blue,None,Ice Hockey,None,Leopard,None
