id,price,moonRank,💎 score (%),storeURL,accessory,astronaut,fuel,planet,rocket,sky
606,0.023,1365,83.52,https://magiceden.io/item-details/FNQ497FYe1e7Y6627mdWkRdFQYq2RKppgR6gFBHBQQMN,wing,gemini,cloud,egypt,jackson,vice
856,0.13,133,97.25,https://magiceden.io/item-details/7anSn8UD3F39TgDYkNzf1YCM5YXv7cWuWxJ4SD5S6ywx,wing,ET,force,fujeeee,red,hokusai
877,0.05,2888,64.96,https://magiceden.io/item-details/ADvToN4HnYziWz92nU8oTnMBirbHNZRkcXhTBMU8ZyAK,empty,ET,richmix,dune,artifact,hokusai
907,0.25,2511,67.49,https://magiceden.io/item-details/J9uB7ZndeUcdN1odwL53fH2KuJ2eNrS4rEZ414V9a6HN,empty,mars,surge,egypt,yellow,milkyway
917,0.19,850,88.04,https://magiceden.io/item-details/Fihpr97u5LtfqHhXYNcRqYUscBPyRqihfVDTg3K1cg2U,wing,venus,tron,highlands,pollock,moonrise
918,0.5,41,94.66,https://magiceden.io/item-details/AC4pBBfXP7DN8Wnn2GH4RKP7R1U3DJfsBdgjxj8mRVTo,birds,gemini,force,fujeeee,foxy,hokusai
921,0.25,1680,77.47,https://magiceden.io/item-details/Fqnz3YNbmdbeFXu4d3QwdDBN6jG5fLWzY8DCpmZDJvCK,empty,mars,jet,egypt,borg,cloudscape
925,0.02,1223,85.26,https://magiceden.io/item-details/CYEREXjxHnZxbnBEkbWh6TYaKZGJgYJtGsDhVfyu4UZ5,empty,handsup,richmix,dune,red,moonrise
927,0.05,2035,75.21,https://magiceden.io/item-details/AxyjNDFAb7ixgWKzKagJwLV1fr3LBZ7aAmR4ntghPuQQ,empty,pengu,cloud,fujeeee,yellow,milkyway
928,0.03,524,93.56,https://magiceden.io/item-details/Gct6E43aHRCGsLQ5ADfsknJ4wY4UF8P4aZcHRfnQSCE,rooster,venus,cloud,fuji,mary,firenight
931,0.15,3270,59.37,https://magiceden.io/item-details/2QuCVSWTqu7XXT4GBoZaV2HfQKNM7Hs9jBKj8H1d1voD,empty,gemini,bloom,highlands,pollock,milkyway
933,0.1,2726,66.41,https://magiceden.io/item-details/6nZkLmPhQk9Xug8h1vEnYCFzENp1CjAJfUwEDBj4D5zx,empty,handsup,jet,fuji,prototype,milkyway
939,0.18,1463,80.78,https://magiceden.io/item-details/F1xRJiix7fY1ccS7pz9K7gC6K4KZJR7SZAUPssGpMk8V,aura,gemini,surge,egypt,prototype,cloudscape
940,0.14,3140,61.03,https://magiceden.io/item-details/9XuwWuNtC99pGHrWxyC8Vxukk2KcYqW4UJD2uWoxMCbF,empty,gemini,bloom,inception,jackson,firenight
941,0.29,2618,65.8,https://magiceden.io/item-details/3gj7onFSd4Ep76pmMSRb4Tmi4iHcZekyaKem2iXhag5e,empty,mars,jet,egypt,artifact,moonrise
943,0.22,2067,73.12,https://magiceden.io/item-details/EMxGMeiqEs6okfo8F78v6hx5Fg7GJ5e273fYZktjs2a2,roseglow,ET,tron,dune,artifact,moonrise
945,0.21,2429,68.87,https://magiceden.io/item-details/SeG8wKpx4R9iaVanP5iRnjRrvVrtWmjfCGExXDNGWaq,empty,mars,cloud,inception,buran,vice
952,0.11,3269,59.78,https://magiceden.io/item-details/BuQAbu6HksiwWJE55xiH2yKRKWqnhSL9aj7iuF5sEjA5,empty,apollo,richmix,highlands,jackson,cloudscape
953,0.5,1018,82.92,https://magiceden.io/item-details/C5imhd5yAD62kTuApKTUm8vcUg9Ev1PMDaMkXSrcUxvX,roseglow,venus,richmix,atlantis,blue,firenight
977,0.05,2092,74.52,https://magiceden.io/item-details/13munZKUBqFUHNPZ37PwbJs3vSEvqYBwc8erxBzHvNUV,empty,gemini,surge,dune,dart,firenight
1023,0.2,1210,83.62,https://magiceden.io/item-details/pyb51ckKKgcdDub4UrKmeKgt7uAvQzhtVtPkrJ1fQyz,rooster,ET,richmix,dune,jackson,moonrise
1036,0.03,1464,82.26,https://magiceden.io/item-details/BweqGc24u9fssbdKUxVuPxSaWDPzvV9YiExKwvEwTk5d,empty,ET,tron,fujeeee,dart,saturn
1037,0.2,2906,63.24,https://magiceden.io/item-details/Fh1SD33CnZ8b8eLNtfJ1ekj1MvVGCvVC3oc9gVQ5dCTh,empty,apollo,jet,highlands,black,cloudscape
1052,0.5,74,94.26,https://magiceden.io/item-details/H9a5b1ZS5cLXgBuctpUqDAheVqSEL9cLa4qQnNkn8SSX,birds,mars,tron,atlantis,mary,vice
1055,0.14,1639,79.06,https://magiceden.io/item-details/BZu96FpTkt1gFuxo3CRPpnfkMojmHLWMTF74tme4i5e4,empty,apollo,richmix,dune,borg,vice
1076,0.1,2280,71.76,https://magiceden.io/item-details/56MhwjSxSZpV6ckwc8naFAMYoqb9qqduJEMk67iyp7cV,empty,mercury,jet,dune,birdman,cloudscape
1080,0.02159,3146,62.14,https://magiceden.io/item-details/5zo1MtFcWHXb1fUbMsbuHZEu7kT7FfWa6gjFh1zNgSzv,empty,mars,cloud,fuji,artifact,moonshine
1095,0.2,1946,74.77,https://magiceden.io/item-details/773EWVE19upxnQeFmvscwA8QePCa6q4MvWSX5SDyZMVL,wing,gemini,richmix,dune,prototype,saturn
1107,0.1,963,87.58,https://magiceden.io/item-details/AhDnZybY3mDx848AJYFZ5eh5Di9CyToWi6FATsHMQWvj,aura,gemini,cloud,dune,yellow,moonrise
1110,0.2,741,89.25,https://magiceden.io/item-details/9heT98e91UvUC3un8SZHSEGDEfN7YQrc7JNcx128xT1X,wing,apollo,richmix,highlands,foxy,saturn
1115,0.15,307,94.96,https://magiceden.io/item-details/BaSJcAKAq7sqjEKkAy3njvMPr2MUVBG59iTickG4iEqH,birds,mars,bloom,dune,buran,hokusai
1123,0.1,483,93.35,https://magiceden.io/item-details/35eSQaqLhKBkMZGmjF1S1Em7vhnjbWcgruSGfe9Lu2Bh,rooster,mercury,jet,atlantis,yellow,sunset
