id,price,moonRank,💎 score (%),storeURL,Accessories,Background,Body,Environment,Eyes,Headgear,Mouth
4045,0.049,1160,93.62,https://magiceden.io/item-details/D7LEnpGg8YnW8PNTpAdQjczJfFJuXwtvwNxNdNHH78Uw,Crow,Rusted Root,Cat,Snow,Hero,Halo,Gum
4046,0.049,4452,76.05,https://magiceden.io/item-details/EQvmFXph8SASjD3SGLGMZWCEfTum9UrkPUgnnH9vWmBU,UFO,Bluwu,Cat,Bubbles,Dialated,,D Smile
4050,0.049,3417,81.57,https://magiceden.io/item-details/DV38hPjKnCjZJDxJrmuLQSxJVAxHfJrAYDYETAGEEvwu,Flying Pig,Rusted Root,Banshee,Galaxy,Happi,Diablos,Snaggletooth
4052,0.049,3339,81.99,https://magiceden.io/item-details/9h2ZtPTLFSKVFTvBEc7VrTR7zavefJbqB9T55qSHHGAM,Cakey,Best Grey,Cat,Snow,Spooky,Crown,Cheshire
4054,0.049,5595,69.95,https://magiceden.io/item-details/8nJAe2gGsNxSFctNo7sEYxPpa7RpVrHxgzVgExpERqn6,,Blowfish,Cat,Galaxy,Spooky,,Toof
4065,0.049,3837,79.33,https://magiceden.io/item-details/rYRycrpy7m8mJQaYZSYDtrdo1c2TGQhirGAcPQba9xy,Crow,Pompus,Hoodlum,,Hard Forks,,Purp
4066,0.049,2125,88.47,https://magiceden.io/item-details/71wT5cxyM6kU5GQ77Cktz5Wi2Wzgzge2VBRQQcS8pRrn,IT,Candy Red,Cat,Galaxy,X,,
4070,0.049,1807,90.16,https://magiceden.io/item-details/AnK1RjzKa7dxPBCrZCn6pY4bysh2zcmeUScyDJeGQp9s,,Fav Green,Cat,Galaxy,Spooky,Halo,Stitch
4075,0.049,3544,80.89,https://magiceden.io/item-details/8zxJYghhdKTGpRyLK2RB141aRMRagBXgQQ82KbctgHYL,Super Cape,Bluwu,Hoodlum,Galaxy,Derp,,Purple People Eater
4129,0.035,3764,79.86,https://magiceden.io/item-details/ABDgsRVwyap8QPFG7p9S72uraM52aD4pE26fw1vTwTtX,,Mint,Satyr,,Tranquility,Antennae,D Smile
4130,0.038,4652,75.09,https://magiceden.io/item-details/HsWbQR8SqFx35CAz9m3SzrRMHuRtLmYFeUmH8xyV1tue,,Perry Winkle,Banshee,Galaxy,X,,Stitch
4133,0.05,4584,75.33,https://alpha.art/t/F4R1m8by5aj9jBKY7MwB2EQd1ySegP7ciciqBu3fDZ6c,,Matilda,Punk,,Stare,Webbies,D Smile
4216,0.04,7369,60.57,https://alpha.art/t/THiaqwaKJjDSx9cvWASzSWr2kdy66ySsMyRrEzFu4fB,,Pompus,Monke,Snow,Stare,,Snaggletooth
4228,0.42,1155,89.94,https://alpha.art/t/5vHGe6yR7cGUCwLd8XxkjHjAqS5tAUquNZZotHTHJzYU,Dice,Bluwu,Robot,Snow,High,Crown,King Vamp
4231,0.04,6274,66.41,https://magiceden.io/item-details/FczyZfQpEo7KavXmCTspuTmJQhiyKNWA7LixxrjmX5nJ,Cakey,Rusted Root,Hoodlum,Bubbles,Stare,,Good Grin
4285,0.044,6298,66.24,https://magiceden.io/item-details/D4WtMPCWvJNY77gFnVrFf5oSZZkFLqQmv8CzynWYLQBR,Cakey,Pompus,Cat,Snow,Derp,,Good Grin
4303,0.049,2928,84.18,https://magiceden.io/item-details/5eQaLw4kWEMx8VEwqtT7Fg2btEEREf1zcCo1fUrGzn21,,Blowfish,Robot,Snow,High,Webbies,Whimsy
4337,0.055,4614,75.12,https://magiceden.io/item-details/BF58Ee6W47qmqyceTmPWkjQKeVUoEuZo97QaiU9gQ5g1,Bat,Best Grey,Monke,,Stare,,Drippy Purple
4409,0.3,336,95.51,https://alpha.art/t/Cu3fcW7NB9MzUN8DHMXwMgF9gsVKBnRRm1R7Rf3nfQRt,Coffee,Rusted Root,Banshee,Snow,Key Lime Pie,Candle,Yellow Smile
4411,0.11,6555,64.21,https://alpha.art/t/ZMZJVJFpTMX8HRLg6WgCYDH7e55mjX2vnQcrWujHE89,,Mint,Hoodlum,,Hung,,King Vamp
4845,0.049,5587,69.99,https://magiceden.io/item-details/8FyXELbfD6KF3sMR9kxC7XoK2QWJtbauUgKJNndDfrN5,,Mint,Banshee,Snow,3D Glasses,,Zim
4848,0.04,4807,74.24,https://magiceden.io/item-details/BxJUYZj3uwS7NDNbBJWdirK8AGcmQn2bXgHbSKin6SFv,IT,That One Blue,Punk,Snow,Stare,,Snaggletooth
5028,0.03222,5706,69.52,https://magiceden.io/item-details/FofXWYEzTtT33qDciAEy3qjmqzaM7ujggQ87WAoZyTiz,,Blowfish,Monke,Galaxy,Tranquility,,Purp
5029,0.1,7234,60.69,https://alpha.art/t/8vQaYCt2jPVgCSkQRJYNpXd6CLrrhk1RkKExzr9Mz29f,,Bahamas,Banshee,Bubbles,Stare,,Good Grin
