id,price,moonRank,💎 score (%),storeURL,Assist,Background,Cloth,Eyes,Games Won,Head,Kills,Mouth,Rank,Skin,Total Damage,Weapon
3842,4.19,1836,59.59,https://alpha.art/t/Gam99PUNSUSoWcQfdtiNfLGeguhrp11WRAejQUVyd8UP,TBD,Brown,F21 Jacket,Disco Shades,TBD,Red Casual,TBD,Normal,TBD,purple,TBD,Transformer
3895,2,3303,69.58,https://magiceden.io/item-details/GksvXG68MrLADDXZecxZ1tEFzFkkgsaQA43HjgW4n4j4,TBD,Red,Green Sheriff,Cyborg Red,TBD,Red Beret,TBD,Normal,TBD,Green,TBD,Tentacles
3990,2.5,674,85.93,https://magiceden.io/item-details/4Bzw2PtfrnDbyp8sbmTLvBZe4qux3oob16mfD3G9yezy,TBD,Green,Grey Jacket,Blue,TBD,Aqua,TBD,Cigar M24,TBD,Green,TBD,Laser Gun
4043,10,2642,0,https://solanart.io/nft/F3fkzGcr4y9nB84SgqjD6fEtsYAcjweRZZka5jgojRtT,TBD,Blue,Black Willow,Band Blue,TBD,Master,TBD,Normal,TBD,Red,TBD,Angel Feather
4079,2,4869,56.87,https://magiceden.io/item-details/9fArZg9qanPRJYUcqRjWrJeiaDL2JCjz1zbSYsRF8p73,TBD,Red,Flak Jacket,Purple,TBD,Formal,TBD,Normal,TBD,Green,TBD,Unheard Agony
4133,1.8,1219,88.5,https://magiceden.io/item-details/FPqiHDszrSyRmsgCWYDn5uDZrk4Wwd4swfUnniwD3xXL,TBD,Dark Cyan,Red Gladiator,Steampunk,TBD,Man Bun,TBD,Normal,TBD,normal,TBD,Demon Head
4202,2.23,1861,78.99,https://magiceden.io/item-details/9AGLGTfvsL1k8QpunqvLBL1EbhqfPYLHRhKUWDhPpFsw,TBD,Blue,Black Willow,Steampunk,TBD,Flames,TBD,Normal,TBD,red,TBD,Igniting Glare
4246,2.49,1923,75.89,https://magiceden.io/item-details/B6et95eQgUv2kjJW8NwQzLrUrxWPuoABpqi3Lb11Z6N8,TBD,Brown,F27 Jacket,Disco Shades,TBD,Japanese Casual,TBD,Normal,TBD,purple,TBD,Transformer
4288,1.71,3879,67.81,https://magiceden.io/item-details/BHeuWH1WQwYSuiTpVcFoyAtYH9NnrDomA3riGmkHHyQx,TBD,Violet,Blue Kimono,Blue,TBD,Pony Tail,TBD,Normal,TBD,Purple,TBD,Transformer
4300,2.88,1789,73.08,https://magiceden.io/item-details/2i5MJgMSPdTGrR8Dkm3uDQQiKMDqiQCVDTra2MLcogB2,TBD,Red,Dotted White,Myth Sunglass,TBD,Flames,TBD,Normal,TBD,green,TBD,Tentacles
4329,1.8,3735,68.08,https://magiceden.io/item-details/3s9MfePfeSB3cscH258aqPYF9hRVysEnov9jnFmsh4NU,TBD,Purple,Squid Game,Brown,TBD,Rasta Bandana,TBD,Normal,TBD,Red,TBD,Dp-28
4352,1.8,969,90.53,https://magiceden.io/item-details/FZBZTEQnh84REZtEC4E9BxRnSq5LYBMY55hrcbitoYUa,TBD,Blue,Green Mage,Green,TBD,Japanese Casual,TBD,Demon B&W,TBD,Red,TBD,Demon Head
4378,7,2180,28.7,https://solanart.io/nft/Ap1m8cstfw88fHT3Y4j1B7EZfCQSXpjR4qmisc94YPy4,TBD,Green,Green Kimono,VR,TBD,Red Beret,TBD,Normal,TBD,Green,TBD,Unheard Agony
4444,2,4105,63.07,https://magiceden.io/item-details/E7odQyD6vVB2bHXyeRJUAkD5nDG8Gwcxpx3Q9CAtECMt,TBD,Violet,Black Willow,Crimson,TBD,Rasta Bandana,TBD,Normal,TBD,Purple,TBD,Grim Reaper
4551,5,3478,38.16,https://solanart.io/nft/CvcAYEC2qosV4bq1UiNGfHQZRrXZNYyPangWPQmpNC8m,TBD,Purple,Squid Game,Yellow,TBD,Sombero,TBD,Normal,TBD,Red,TBD,Angel Feather
4576,1.65,2509,79.53,https://magiceden.io/item-details/GhLN9Arsp88zAtKFwfe4S6d9ME5FpWSr92sitxq8Ny9Z,TBD,Purple,Green Kimono,Band Blue,TBD,Breton,TBD,Normal,TBD,Red,TBD,Dino Thunder
4601,2.39,2724,70.39,https://magiceden.io/item-details/5yXmFQx9HYxuGVaRkjert3piFbSQ4BAWmHrV38vkY1Qt,TBD,Red,Black Terminator,Rounded Spec,TBD,Red Beret,TBD,Normal,TBD,Green,TBD,Igniting Glare
4605,1.9,1567,84.68,https://magiceden.io/item-details/8zScHSXjEStcvicwT5vJETQh3poH3Ezugbq8bU3Nud3Y,TBD,Brown,Broly Gold,Thug Life,TBD,Japanese Casual,TBD,Normal,TBD,purple,TBD,Machine Gun
4768,1.87,2336,78.74,https://magiceden.io/item-details/wRwWf4rhnjid93KmjZBnLHmVMg4ZDQRL4iv5etZGjQe,TBD,Cyan,Brown Riot,Purple,TBD,Army Ivy,TBD,Normal,TBD,Normal,TBD,Iron Spike
4921,10,130,15.34,https://solanart.io/nft/AbUTG7surdiRfxk3UgmHxoMp63Jy5n6Q9S1dckNLzUXW,TBD,Blue,Green Mage,Cyan,TBD,Red Casual,TBD,Neon Viper,TBD,Red,TBD,Mp3 A5
4924,2.37,4927,52.7,https://magiceden.io/item-details/Aogq9d59x4acTQu6RixqURFUmoQb4j3f3kcemwCFS4bX,TBD,Cyan,Blue Clinch Rifles,Purple,TBD,Formal,TBD,Normal,TBD,Normal,TBD,Demon Head
4929,2.8,2015,72.04,https://magiceden.io/item-details/857CT1yCQGyWmBc2S4PFPXYTx5eKEDJ2B38G7yYvey7R,TBD,Purple,Silver Terminator,Band Blue,TBD,Blue Ivy,TBD,Normal,TBD,Red,TBD,Stargaze
4943,2.59,2047,73.88,https://magiceden.io/item-details/D45xZXAiD7XaULW5AYD2hYGhSrXpLw8isYWtDUmF4eu2,TBD,Cyan,Blue Gladiator,Purple,TBD,Red Kaffiyeh,TBD,Normal,TBD,Normal,TBD,Iron Spike
4951,1.65,1881,84.63,https://magiceden.io/item-details/7y6VXHZ8foHyeykVV4LmALYoxSMmHA1RJdux2SSg4az6,TBD,Violet,Squid Game,Brown,TBD,Rasta,TBD,Normal,TBD,Purple,TBD,Machine gun
