id,price,moonRank,💎 score (%),storeURL,Background,Eyes,Fur,Hair,Mouth,Necklace
7858,3.33,5278,54.94,https://solanart.io/nft/AxF8ErzN4sLWcyjmQfF1M3G4x66WVgvNMC6g5h9jKNQh,Matrix II,X eyes,Dark Brown,Mullet,Pizza,Geckos
7875,5,4934,39.61,https://solanart.io/nft/Cf9tosBYBAte4mAMdMpAhmqdfYUVZnLusKpxhjwM1Mto,Green,Justin Sun Eyes,Static SR,Lion Mane,Cute Mouth,Solana Necklace
7884,2.5,8475,50.48,https://magiceden.io/item-details/3eN993ZdU4NmTbXk5TDB3ZwEHXnma3kd7KPyZ5qEGoxr,Blue,Robot Eyes,Dark Brown,Mullet,Bubble Gum,Turtles
7892,35,6630,0,https://solanart.io/nft/7LqFBA1oB83Ue3cikyq5orjxcuyu5pF34wCGSzKVBHT9,Grey II,Alien Eyes,Blue,Default Hair,Cute Mouth,Sollamas
7893,5.8,5051,31.14,https://solanart.io/nft/H4TTVC1FyFgwv7bG7XKcVtZipYxELsn318Cpk18QcT93,Blue,Robot Eyes,Robot,Dreadlocks,Robot Mouth,
7908,15.69,1327,0,https://solanart.io/nft/2yvr1zE4xXANA2Y5zM9RWtrzAi8PPdt295QYJ614kMTJ,Light Blue II,Squid Triangle,Trippy  2,ManBun,Fish Mouth,Penguins
7916,3,995,75.33,https://magiceden.io/item-details/C5pP6Eabcj9urXZ8dpxPz9xt9MF9qoBam3tg4EiTDBYK,Sribble 2,Googley Eyes,Night,Mohawk,Smile mouth,Solana Necklace
7934,1.99,3905,73.82,https://magiceden.io/item-details/DUUGHEcrX6VSDtGmq78gtgU4k6VKZV62VyXLFaZgkfkx,Red II,Solana Eyes,Green,Flock of Seagulls,Angry Mouth,Geckos
7963,2,5612,66.91,https://magiceden.io/item-details/9qQGwU8awaULRSL3tvrFrWDXTsTqZiagJYYo5GUCbrAF,Light Green II,Round Eye,Tiger,Dreadlocks,Bacon Strip,Trippy Bunny
7968,2,9311,52.15,https://magiceden.io/item-details/72t3qLG3Fqm6W4x3foxjgMxoTa7ozdupsWuudj9EV4Zt,Blue,Angry Eyes,Dark Brown,Dreadlocks,Bacon Strip,Penguins
7980,1.99,7760,58.43,https://magiceden.io/item-details/GBFVH4XVYfP9ZgNEiE9HguGa18aZUEeLB3U31sfcen3C,Blue,White Laser Eyes,Cheetah,Mullet,Bacon Strip,Normal Chain
8000,5,9308,22.16,https://solanart.io/nft/HMgYXfGvsrw5ysUzPfTj7mt2nUNQanpUWTg5AeeeptQg,Blue,Angry Eyes,Dark Brown,Dreadlocks,Bacon Strip,Turtles
8034,5,57,59.07,https://solanart.io/nft/Ba3EvArcUnkjvAmcGrA8dAZ8apreFu19AGHr7xhtb1mf,Sribble 3,Solana Eyes,Rainbow,Bowl Cut,Cigarette Mouth,Sunrise Rebels
8036,0.96,8911,64.14,https://magiceden.io/item-details/B2MEK8DLvtHH72d52rTtAXF4pu3fvHEBYiwPevcd913k,Blue,Squid Square,Cheetah,Mullet,Sick Mouth,Normal Chain
8039,1.88,5271,69.47,https://magiceden.io/item-details/Fgv7h6j3NVzyZYNpLecsZv1CbJTqr2satTdp4Vxk6JRB,Hot Pink II,Gold Laser Eyes,Blue,Default Hair,Vape,Sollamas
8040,69.69,1455,0,https://alpha.art/t/Czg1bTH2z9SJthPSHDj5X1Ujhk47M3aBXLAwui1RA7bd,Sribble 3,Blue Laser Eyes,Rainbow,Default Hair,Zombie Mouth,Penguins
8055,25,8962,0,https://solanart.io/nft/Fu3aHVvoAPkj5DWYjq37dc47fwcCLELTiCxhZz4e7QEZ,Blue,Wink Eyes,Dark Brown,Dreadlocks,Sherlock pipe,Piggies
