id,price,moonRank,💎 score (%),storeURL,Background,Breed,Clothes,Eyes,Head,Mouth,Neck,Soul-O-Meter
4915,2,4519,73.92,https://magiceden.io/item-details/9vd3woDDYw3tEHFmqtJ4kNeuUvDwrrAH5oxAp2b75mx4,Green,Collie,Blue Hoodie,Heart Sunglasses,Brown Straw Hat,Tongue Out Side,Black and White Bandana,Cool
4925,4,7558,41.76,https://magiceden.io/item-details/BTiG5bwrg9izy8WXR6jtiU1rTykVNmiJdTh4NRTMXwUm,Red,Shiba,70's Vest,Stoned Blue Eyes,Black Rock Locks,Kiss,None,Common
4955,1.39,9616,59.63,https://magiceden.io/item-details/73V1sPZgySf8hB8cQzUi87iF69scBSqrQmsQP7W3419i,Blue,Collie,White Soul Dogs Tee,Angry,Black Cap,Beer Can Boi,None,Common
4988,1.3,7368,69.52,https://magiceden.io/item-details/2TiYUi24t9M9HDrCzJ9sCxA2pQwE9bUiaj4XmdUT8n94,Orange,Retriever,Black Overalls,Angry,Black Bandana,Kiss,Doggy Bandana,Common
4993,2.4,9363,50.54,https://magiceden.io/item-details/CncASCZPcT31PJhg4dnkb2MoSqLxeCeKDFqNRPn2TMGA,Red,Hound,White Soul Dogs Tee,Stoned Blue Eyes,Yellow Mullet,Closed Mouth,None,Common
5032,3,6079,57.68,https://magiceden.io/item-details/EuRzdGFngtW8PjEK6qPnHZpHdWjKGCJdNCEMjJ2i8db1,Yellow,Hound,White Pimp Coat,Circle Sunglasses,White Backward Cap,Closed Mouth,None,Groovy
5062,1.87,7145,64.71,https://magiceden.io/item-details/ErJT9Sw3B1rvsydH93vmYjkqYqHiH3oDEyv5gWz534G9,Orange,Collie,70's Vest,Stoned Blue Eyes,Black Bandana,Open Mouth,White And Black Bandana,Common
5129,4.1,8576,36.69,https://solanart.io/nft/C3JtZpKC7r5yEAkgV4t9kHSNeQGpJCTMNz8v6cc2BEYR,Psychedelic,Shiba,White Tank,Monocle,Red Cap,Closed Mouth,None,Common
5144,120,7442,0,https://solanart.io/nft/Fe4xbadVpdX8sGxtSSkeJAf96RuKVnidvDnnywHWuxjY,Green,Retriever,Black Soul Dogs Tank,Flower Print Glasses,Red Headband,Tongue Out,None,Common
5162,1.75,6571,68.21,https://magiceden.io/item-details/HxS77LzLRbjkuesRFPG9EDvBsRKadHxfSH5cGc3tvTJQ,Blue,Hound,Black Tee,Angry,Cowboy Hat,Tongue Out,Doggy Bandana,Common
5178,4,3275,58.9,https://magiceden.io/item-details/HWYWZVf1VEhZZKFR3pzZXZuBZgE4xBVxyX5piRYXLUHJ,Purple,Collie,Tie Dye Tank,Circle Sunglasses,Red Headband,Closed Mouth,Swirl Guitar Pick Necklace,Cool
5224,1.81,3149,81.3,https://magiceden.io/item-details/G51VWgiy9duChtkkiJvMc41V8ozkpXgw8mjMpnhutnn1,Yellow,Collie,Black Tee,Lab Glasses,Black Soul Dogs Cap,White Drumsticks,None,Cool
5276,3,3177,69.29,https://magiceden.io/item-details/5zVwCPPaDWJxVVW13KvxPscXRmVu2koAbikfPBZn7NHj,Pink,Collie,White Soul Dogs Sweater,Bored,Native Pattern Bandana,Drunk Drool,Gold Chain,Cool
5299,4.5,686,64.26,https://magiceden.io/item-details/wtbFws2a1SgAUnnoULHFznJyeeZc5oCUTg8T3AiaTaP,Yellow,Lab,White Hoodie,Monocle,Brown Explorer Hat,Party Horn,Turquoise Bolo Tie,Groovy
5316,3.6,8128,43.48,https://magiceden.io/item-details/6AFn1EFtzkUZp1M2RbBvUAHUi5pnvkKrTgVmASjNek8V,Green,Retriever,Red Hawaiian Shirt,Sus Look,Red Cap,Tongue Out Side,None,Common
5322,1.59,8700,61.29,https://magiceden.io/item-details/DNKCeVGdj4kqy9m9BNvfeZxvcLMRFA1sZAyxKS64PNs3,Purple,Beagle,Black Tee,Stoned Blue Eyes,Red Headband,Closed Mouth,None,Common
5338,3.5,7006,48.97,https://magiceden.io/item-details/EBwuCuFmKJ6uZkH4embY4f9DFwbpK4NuMF9iQDhdu1nP,Low End Theory,Lab,White Soul Dogs Tee,Angry,Black Soul Dogs Cap,Cigarette,None,Common
5342,1.48,8393,63.62,https://magiceden.io/item-details/Bu8RKNxVrckuB4eYeQWMrwQBHr4UGmkxE29kxTbgrAJD,Scooby Groovy Green,Retriever,Purple Tee,Drunk,Yellow Cap,Chewing on Straw,None,Common
5359,5,7034,33.86,https://solanart.io/nft/GSg51Pe544QCSELfKSwbD9F4idHJjiYB8hQuFJPxjCfb,Blue,Retriever,Black Soul Dogs Tank,Drunk,Red Cap,Beer Can Boi,Chain Link,Common
5409,4.23,3725,54.8,https://magiceden.io/item-details/5u1EfDc8mv69K3TntwCEhuQucr1J2AHYDYhx8UF7ZfNE,Green,Retriever,Black Overalls,Sus Look,Red Cap,Pizza Boi,Peace Sign Necklace,Cool
5421,3,4524,63.9,https://magiceden.io/item-details/4zCzVqUowhhHBNkhoJJTdzL9urKsDQJAoguTCemxuUFb,Pink,Hound,Black Tee,Bored,Retro Racing Helmet,Cigar,None,Cool
5444,4.5,4951,47.19,https://magiceden.io/item-details/CciAnGgKZEhPdrPW93BQ5yDVzs6zD9LPWB4cL81wuazQ,Orange,Collie,Rebels Jersey,Drunk,Black Backward Cap,Beer Can Boi,Black Collar,Common
5490,4.2,2279,60.88,https://magiceden.io/item-details/7zzgfwGtDxujLbuooonHRmrZRy6wYcqSikwfGXQ98w1t,Yellow,Dalmatian,Rebels Hoodie,Circle Sunglasses,Red Cap,Cigar,Black Bowtie,Cool
5561,1.9,4058,76.76,https://magiceden.io/item-details/At37gyisgGfm75GQWN1xcgVG5xV9QSSMcfVvnjYxdzFk,Purple,Hound,Plain White Tee,Lab Glasses,Blue Hippie Headband,Open Mouth,White And Black Bandana,Cool
5634,4,7501,41.99,https://magiceden.io/item-details/GAYTCEbmoPgenJf1gkLLi51ThmoznnyyucUnkmDPLq5n,Blue,Retriever,White Soul Dogs Tee,Drunk,Yellow Pimp Hat,Open Mouth,None,Groovy
5636,1.39,7943,66.32,https://magiceden.io/item-details/HNgXpciujrCaWEv6Sqz6VJgqRwhVRksBvwhH4ATCTnmQ,Red,Collie,Blue Hoodie,Happy,Yellow Bow,Drunk Drool,None,Common
5637,1.68,6624,68.7,https://solanart.io/nft/HcAPDWhtfCm3HZjhZoHHVeEXZ7fvid93rfcqCnH4f4XF,Blue,Shiba,None,Closed,Red Cap,Open Mouth,White Guitar Pick Necklace,Common
5654,5,7733,31.06,https://solanart.io/nft/CYXtjHhYSzG8fmNFWmUfm45GQfDmBW79xLAqi8E5Vw33,Pink,Lab,White Tank,Cypher Punk,White Bucket Hat,Tongue Out,None,Common
5659,2.2,3504,75.98,https://magiceden.io/item-details/AHbooCnY9DmLB3WsJ4QFkEUXjTHTYqr9vLh1vBnN8boZ,Miami Vice,Lab,Black Overalls,Monocle,Black Bandana,Chewing on Straw,Black and White Bandana,Cool
5671,3.7,9762,35.94,https://magiceden.io/item-details/7w6WChbH2ffXd4nTocvauBMNxPcWAzLKbojBP5hDAv9c,Pink,Collie,White Soul Dogs Tee,Aviators,Yellow Cap,Open Mouth,None,Common
5673,2.1,9564,52.74,https://magiceden.io/item-details/2Ee1UjVk6wm3vJn4Qy1X9tsshTKHtyRqcoPa7bSjD2CA,Orange,Shiba,70's Vest,Bored,None,Tongue Out,None,Common
5675,20,4516,0,https://solanart.io/nft/CgucwS6yLGVdyrKzjuUCDVhyJCYph42EUCybE61gq7uY,Pink,Retriever,White Hoodie,Closed,Native Pattern Bandana,Closed Mouth,Peace Sign Necklace,Cool
5681,2.1,8232,58.07,https://magiceden.io/item-details/CeKqUe2nLgKkjMF6xis1BYoGybZ9T6kqny2PyTRZi93r,Orange,Retriever,Black Overalls,Bored,Bookie Visor,Kiss,None,Common
5758,2,2316,82.73,https://magiceden.io/item-details/F1MFqgKf6aNEfove9atD7PYxfC15uC1P4z2e1dc3XRYU,Pink,Retriever,Black Solana Tee,Cute,Blue Hippie Headband,Drunk Drool,Doggy Bandana,Cool
5772,1.47,9381,59.77,https://magiceden.io/item-details/DihmVspAK1SZ9GTAA4TcQv51r66KNmjpFJEiiDvXdfyH,Blue,Shiba,Blue Hoodie,Happy,Green Mullet,Tongue Out,None,Common
5797,4,2016,63.93,https://magiceden.io/item-details/8vmQC3nSeMptV4nJczz1cSQrfWmDFmhFVCN6Dry9Gm7V,Yellow,Dalmatian,Rebels Jersey,Angry,White Backward Cap,Muzzle,Spiked Collar Necklace,Cool
5836,5,8092,29.63,https://solanart.io/nft/BQxcABBDJ4HX49JCbR8MjeSFLimSUzsxNjJAmzMQ6ySV,Green,Lab,Black Tee,Happy,Brown Straw Hat,Tongue Out,Black Bowtie,Common
5844,4,6710,45.15,https://solanart.io/nft/BX26PU1vRC7H2ybHCwGnDNvvoWHDuMEyKSTjenm6SZCZ,80s Rock Lightning,Hound,Blue Hoodie,Sus Look,Brown Straw Hat,Beer Can Boi,None,Cool
5886,1.3,8783,63.86,https://magiceden.io/item-details/9TvRihztRxfMTNCRGwQcpk8gLghzUHZ5K6yoiurtL6Ja,Purple,Shiba,Blue Overalls,Sus Look,Blue Bow,Open Mouth,None,Common
5904,5,1439,56.24,https://solanart.io/nft/9uYyUuvtayKHhzAnsVaJtuextWte5b6dpxFmEVACARLw,Pink,Beagle,Dogidas Red Tracksuit,Closed,Black Bandana,Tongue Out Side,Turquoise Bolo Tie,Cool
5940,3.69,3814,59.84,https://magiceden.io/item-details/8w5bgSg4fm6jdayLANZMHANw5HP1aQJWmhj82ccLVT4m,Pink,Retriever,White Trench Coat,Cross,Brown Straw Hat,Pizza Boi,None,Cool
5953,3.23,1886,72.15,https://magiceden.io/item-details/7i6Te89PTzBfwA9F7tXk1b4uYLau9PtWgfREiAzcRfAi,Scooby Groovy Green,Retriever,Rebels Hoodie,Circle Sunglasses,Red Headband,Tennis Ball,Black Bowtie,Cool
5992,4,3542,57.83,https://magiceden.io/item-details/Hsw8vcV6UsEzVgVwstkcgyjSUnCvjZ7LVPpiXYSuKgRg,Purple,Retriever,Rebels Hoodie,Pit Vipers,Black Bandana,Gold Nose Ring,None,Groovy
6071,1.47,8299,64.1,https://magiceden.io/item-details/22Ge3RLg1SUEppgbmnrrim5PsursmJTHo5kDtTRcCMzZ,Green,Hound,Lab Coat,Heart Sunglasses,Black Bandana,Tongue Out,None,Common
6142,2.3,2121,80.51,https://magiceden.io/item-details/73RChV5RcXAjtDnqSvgTYxUa2NzNncBa9uzc39pXjXPT,Red,Collie,Black Tee,Stoned Blue Eyes,Blue Hippie Headband,Joint,White And Black Bandana,Cool
6144,1.75,4955,74.68,https://magiceden.io/item-details/9vGzKVwVTUEgh5Q6pxbVNEFoMumoPQbgBSSN9T6abcW1,Red,Retriever,White Tank,Pilot Goggles,Red Cap,Beer Can Boi,Black and White Bandana,Common
6209,3.45,1885,69.96,https://magiceden.io/item-details/2DFreDJvjB74Y9ktsu7eukkPX5cpR99to8S26anshMwX,Blue,Hound,Plain White Tee,Pit Vipers,Brown Explorer Hat,Closed Mouth,Heart Collar,Groovy
6225,2.45,3271,74.41,https://magiceden.io/item-details/EnqkfpZx51HPMhYMbyVBBaB6AEPwMLVjUBWbp9vZD7sE,Pink,Lab,Black Overalls,Cypher Punk,Black Racing Helmet,Tongue Out,Black Collar,Cool
6264,4.05,7682,40.77,https://magiceden.io/item-details/5P7PohVTt3hsLPF7EqUKuqpMp2aR1sh9CRqvRiu358Sq,Purple,Shiba,Blue Overalls,Drunk,Black Bandana,Cigar,None,Common
6283,2.1,6305,65.77,https://magiceden.io/item-details/7KKpqxiFR8hi8yV4WPYcCfcgHh7MgYbfAXwnD1T81Xy8,Green,Lab,Dogidas Red Tracksuit,Cute,Yellow Cap,Kiss,None,Cool
6306,1.66,3099,83,https://magiceden.io/item-details/8jQoXHj3XdgzvneLhSk3DHFpbiHg6wKK48JK9MmqeQYx,All Dogs Go To Heaven,Lab,Black Grateful Dogs,Angry,Party hat,Closed Mouth,Junk Yard Chain,Cool
6308,4.98,770,59.12,https://magiceden.io/item-details/A3JjKQXKtb68n4WRosQ2gHXq1EDCYg6WoBmKeq58Tr7g,Scooby Groovy Violet,Dalmatian,Red Hawaiian Shirt,Sus Look,Retro Headband,Chewing on Straw,White And Black Bandana,Groovy
6313,3.5,6940,49.23,https://magiceden.io/item-details/9QMWQpSi3rtqu2qfJkgo8nEeLN3Ms2fdxakYMMZypRrm,Pink,Collie,White Soul Dogs Sweater,Cross,Woofer Beer Trucker Cap,Closed Mouth,None,Cool
6316,2.5,5510,64.96,https://magiceden.io/item-details/CKdn2jXw6JUTZB2ymmbL1Er2yqN851AXYRmDr1MmP2ge,Purple,Collie,Black Solana Tee,Closed,Yellow Rock Idol,Beer Can Boi,None,Cool
6359,1.5,7273,67.9,https://magiceden.io/item-details/3Ub7ekS7TcyDNqCyH1hnzetcNETWqgBc6GMNF9BzNzuH,Blue,Retriever,White Hoodie,Drunk,None,Closed Mouth,Ruby Bolo Tie,Common
6365,1.66,4286,78.25,https://magiceden.io/item-details/8u11BRWQNKzr3jbtzPkQD3dbLd1hNeh8Sbku4FN3dnvJ,Red,Shiba,Black Grateful Dogs,Stoned Blue Eyes,Uncle Sam Top Hat,Chewing on Straw,Black and White Bandana,Cool
6368,3.12,7146,52.21,https://magiceden.io/item-details/J9q6qeT3ogG97js7Z323hRLGRmejQmyELDfrUSYjE1m5,Pink,Retriever,White Tank,Stoned Blue Eyes,Yellow Cap,Closed Mouth,Disco Ball Necklace,Common
6387,12.4,1827,0,https://solanart.io/nft/FQftT5pJ8jVbXdNuBLDiU8QUUJ7sa3w13ps8EUTUREXT,90s Pop,Dalmatian,Rebels Hoodie,Eye Patch,Yellow Mullet,Open Mouth,Black and White Bandana,Cool
6446,3,5325,60.7,https://magiceden.io/item-details/DE1kmtwy3pB6jSib2DygnQk5rpF3FvaZJ3whUudYFTZt,Orange,Collie,Rebels Hoodie,Stoned Blue Eyes,Woofs World Trucker Cap,Chewing on Straw,Doggy Bandana,Common
6488,17,2120,0,https://solanart.io/nft/9D4MSH6MxakVoNBL36X2PJASCfstcP8uoMRtfmdHmjur,Pink,Collie,White Soul Dogs Tee,Laser Eyes,American Flag Bandana,Open Mouth,Swirl Guitar Pick Necklace,Groovy
6498,15,9280,0,https://solanart.io/nft/6cmWZhrepQ35xhGCS4g6nYyZVCTDSn4dV2EwG24KY7SY,Yellow,Hound,Rebels Jersey,Stoned Blue Eyes,Pink Bow,Closed Mouth,None,Common
6529,4,2894,60.42,https://magiceden.io/item-details/6USsjT35EmGTfr9Viv4c1Tiri5VDYhu6vTHeTDzadJxM,Orange,Collie,Blue Overalls,Circle Sunglasses,White Pimp Hat,Tongue Out,White Bowtie,Groovy
6538,1.8,3254,80.98,https://magiceden.io/item-details/2MUkrmDKmni5Nkd9yTRjBubFB65vxEh2f1MrVmovMXcB,Scooby Groovy OG,Shiba,White Soul Dogs Sweater,Angry,Pink Mohawk,Tongue Out,White Bowtie,Cool
6543,1.3,9247,62,https://magiceden.io/item-details/6pg7Qu4NF9pQpb8oCTgQz7bgQZxNps2mrsXuVQ8G9QR4,Scooby Groovy Violet,Collie,Blue Overalls,Happy,Red Cap,Closed Mouth,None,Common
6563,10,9920,0,https://solanart.io/nft/Ab2JMMmL29GVqBN9i7ywZ52jHrVJey4soZGsFBvhnKsg,Orange,Shiba,Blue Hoodie,Bored,Brown Straw Hat,Open Mouth,None,Common
6603,1.61,2686,85.15,https://magiceden.io/item-details/Czr7YWxQbaSY12geunuHFSVPoAWHuwLBpXRVEK279pFY,Orange,Lab,White Soul Dogs Sweater,Stoned Blue Eyes,Woofs World Trucker Cap,Tennis Ball,Turquoise Bolo Tie,Cool
6639,1.55,7432,66.77,https://magiceden.io/item-details/7hMf5W77hbMzaeSVPPDyhvyHA4W68sSNeZaEc1WG311D,Purple,Dalmatian,White Soul Dogs Sweater,Happy,Blue Bow,Tongue Out Side,None,Common
6679,1.6,9565,57.73,https://magiceden.io/item-details/4pP5fRiKHjiwtTDzyKYAtrz1LEGWCXKAMHu7SLpHTF8L,Green,Shiba,White Soul Dogs Sweater,Angry,White Bandana,Kiss,None,Common
6680,1.95,8830,57.17,https://magiceden.io/item-details/2rZ3a896myXcXpdWZd9YhPFdebFtgwU9bPfKEyf34sE8,Orange,Lab,Black Overalls,Drunk,Black Mohawk,Closed Mouth,None,Common
6755,1.8,9968,54.12,https://magiceden.io/item-details/3jmvUZAAtrK3fWbaeLWJ7h1NwTCuimAuaF26k3bHJNmq,Blue,Retriever,Rebels Hoodie,Happy,White Bandana,Tongue Out,None,Common
6763,1.49,5971,73.21,https://magiceden.io/item-details/5CjFAhpHdFiXitmY3PCu1TXh6a1Q27UwYwm6ya6iAavK,Blue,Collie,White Soul Dogs Tee,Happy,Yellow Bow,Kiss,Doggy Bandana,Common
6785,9999,937,0,https://solanart.io/nft/G3zdLsEQh8UPTNjK33i16eVtS24AvyDreMHaPH5QmW2J,Blue,Retriever,The King,Sus Look,Purple Pimp Hat,Tennis Ball,None,Dynomite
6812,2.25,3991,73.53,https://magiceden.io/item-details/8v72MGd6dU7NjHHUyfZs21ctbzDH6x1rhEj2kebpJeKJ,Red,Dalmatian,Brent Lambo Windbreaker,Bored,Red Cap,Tongue Out,Junk Yard Chain,Common
6854,3,9669,43.32,https://magiceden.io/item-details/FNV6CTNgvfuR5DGuoacMvTTUsnqictEc9kxJiCERht6h,Green,Beagle,White Soul Dogs Tee,Stoned Blue Eyes,Black Bandana,Tongue Out,None,Common
6873,2.77,1551,78.09,https://magiceden.io/item-details/52gpytDrBRZgPgneQXVtt4124dgtq9QFhPjUgnHSfKEe,Blue,Hound,Lab Coat,Cypher Punk,White Backward Cap,Pizza Boi,Peace Sign Necklace,Groovy
6902,1.49,7867,65.63,https://magiceden.io/item-details/5juvxm4Mx2ufL8JQgRUkwpXzRwWqJhKnAMebMY1q8yZc,Yellow,Collie,White Soul Dogs Tee,Heart Sunglasses,Cowboy Hat,Tongue Out,None,Common
6904,4.5,9045,30.81,https://magiceden.io/item-details/CiaUopouGECkxJ5cwmzC73m7p1pDZwiDnVJEfcgeJZxt,Red,Retriever,Black Soul Dogs Tank,Circle Sunglasses,Brown Straw Hat,Beer Can Boi,None,Common
6911,5,7669,31.32,https://solanart.io/nft/8N3da1pPJoUp3A5dgeWt6eZ8Exbx57KyQHMn18DB423B,Pink,Retriever,Black Tee,Circle Sunglasses,Black SDC Cap,Cigarette,None,Common
6930,3.4,8454,44.18,https://magiceden.io/item-details/5ikTTLqSwJvVEGsSW8bMr4V3nSzCDHaV2WDagF3TTr6u,Pink,Beagle,Black Soul Dogs Tank,Pilot Goggles,Yellow Cap,Closed Mouth,None,Common
6945,10,8555,0,https://solanart.io/nft/Dk4uHgceBHy6Kt2VcuzoSEH8nZ1yHzHTX7aVFf29akRw,Orange,Collie,Blue Hoodie,Bored,Pink Hippie Headband,Tongue Out Side,None,Common
6978,4.2,8201,37.19,https://magiceden.io/item-details/BRTALtp4fmCCgDHbTy3vHBTQ2vMeyXD69WZqPKpVWNLt,Yellow,Lab,Purple Tee,Stoned Orange Eyes,None,Tongue Out Side,None,Common
6979,1.59,8746,61.11,https://magiceden.io/item-details/6bwCkqxKtKN8p9jhePdqEvKLGQk6Kxiu2oD9pw5JZuuV,Yellow,Lab,Black Soul Dogs Tank,Closed,Blue Bow,Open Mouth,None,Common
6989,1.777,5350,72.83,https://magiceden.io/item-details/HDqwozP5qM2LQYpGMaMZgL4YtunXxgyPYgG2B3ujSs78,Psychedelic,Collie,Black Grateful Dogs,Eye Patch,Blue Bow,Tongue Out,None,Cool
6998,2.489,6641,60.54,https://magiceden.io/item-details/7GVigb7Nz14hntXETRJXHjbYNe9WpnmqskmC8cPx1PoE,Pink,Hound,None,Aviators,Halo,Open Mouth,None,Groovy
7004,3.27,4060,63.06,https://magiceden.io/item-details/Hn4xnioHHxkUmJThUwvJcPPwV3MoNKABj6Z2iSsmguxw,Blue,Hound,Black Grateful Dogs,Drunk,Yellow Cap,Silver Microphone,Black and White Bandana,Common
7005,2,9289,54.84,https://magiceden.io/item-details/4KiP2whsuHRLJ2yiKTAwTjdpiLn7iaBeAxRAKz9KiwBb,Low End Theory,Hound,White Soul Dogs Sweater,Happy,Black Bandana,Tongue Out,None,Common
7015,1.4,2471,88.11,https://magiceden.io/item-details/CTVmNXJSJmG1iRnre7aoiKYMEkokdRf22iLA77tNzZpK,Purple,Collie,None,Aviators,Red Bucket Hat,Kiss,Pink Bowtie,Cool
7028,3,5879,58.48,https://magiceden.io/item-details/Qio5hWRs9FG6LqGyK8Ni3J5pC6zoWwSuy8GUu4ShLoA,90s Pop,Retriever,College Sweater,Happy,White Bandana,Open Mouth,None,Cool
7077,2.69,7711,54.25,https://magiceden.io/item-details/F3oEKXpT6h3eeJoZLXTJGwNiF7xnRyjQ5tJwzsy8S1yM,Red,Hound,Dogidas Black Tracksuit,Happy,None,Cigarette,None,Common
7078,2.1,9770,51.91,https://magiceden.io/item-details/9tsf6NDrxGyLbYBuUSCnPUHm3XRw88St1PBzeLFpmsrQ,Blue,Retriever,Rebels Hoodie,Cute,Brown Straw Hat,Open Mouth,None,Common
7079,2.75,9474,46.6,https://solanart.io/nft/9hbeHqQNhMg5WXxZd3MpqAaGEQcnHstmV959nb2sEMiR,Purple,Collie,Black Tee,Bored,None,Beer Can Boi,None,Common
7089,3.5,3738,62.05,https://magiceden.io/item-details/87CkJzQJ99qUArzxTBBskJET3Aexp2FMwAEpPQzanyho,Purple,Beagle,Black Tee,Bored,None,Pipe,Black and White Bandana,Common
7112,750,7974,0,https://solanart.io/nft/6QPDok4a2issuhxEjDDsSM1DHWYw3yEZXqrW4dgKeSzx,Orange,Hound,Plain White Tee,Aviators,Uncle Sam Top Hat,Open Mouth,None,Cool
7155,2.3,4511,70.95,https://magiceden.io/item-details/2uY9N2ofPuvWmakSQXzoYv8de57t3DUDwLc5gAL7wiY3,90s Pop,Lab,None,Happy,Black Backward Cap,Tongue Out,Junk Yard Chain,Common
7205,1.66,3509,81.36,https://magiceden.io/item-details/GnZjfgnhvpJtzGP4NQJohZgzL6ieDMXjvm89kKQUaDK1,Yellow,Beagle,Red Hawaiian Shirt,Happy,Doctor Light,Tongue Out,Doggy Bandana,Cool
7230,1.55,3373,83.01,https://magiceden.io/item-details/i6tTY5CoNMntaxnfCgq9F3obH5grmSA7gBKaMkJgXaL,Green,Hound,Purple Tee,Closed,Black Bucket Hat,Cigarette,USA Bandana,Cool
7238,1.239,4825,80.31,https://magiceden.io/item-details/FFNnewihKLKCapowCTk3y1yC9VPc1WG1g9cbuSZ3iVrk,Green,Retriever,None,Angry,Black Bandana,Burger Boi,Emerald Green Bolo Tie,Common
7241,1.49,5307,75.87,https://magiceden.io/item-details/H7V2A1aWJR81oq72p1xFdVfMAFoGZahmRGhuWtkdnBDF,Yellow,Lab,Lab Coat,Angry,Blue Bow,Closed Mouth,White Bowtie,Common
7245,4,4219,55.12,https://magiceden.io/item-details/GcWJkaeE7R6RbsZb2RMToSd7cuoKFEjPHvbhMd1AFdw1,Scooby Groovy OG,Beagle,Red Hawaiian Shirt,Drunk,Yellow Bow,Cigarette,None,Cool
7248,1.39,8833,62.76,https://magiceden.io/item-details/euc4PGvrtav3LHbaWQAoMRT61oaosthy3Hpg6iphyfj,Orange,Lab,Black Overalls,Stoned Blue Eyes,None,Drunk Drool,None,Common
7294,3,1753,74.99,https://magiceden.io/item-details/CyPGQF7A8gj26ZcwagCrnHKiUmPt2NDG4eenxQcpwhF,Yellow,Retriever,None,BTC Glasses,Black Mullet,Tongue Out,USA Bandana,Groovy
7305,2.5,8405,53.37,https://magiceden.io/item-details/9o5mCQFPhdaYZ1iEzUJArAh8MhEAbvFJdU16sq1Aug8K,Orange,Collie,Rebels Hoodie,Sus Look,American Flag Bandana,Open Mouth,None,Common
7306,3.5,1770,69.92,https://magiceden.io/item-details/ATo2F1SPLEqdfUe27hX6yBWdjnTyTo1NPPaj7EjD1ZKH,Pink,Lab,Karate Gi,Circle Sunglasses,Pink Bow,Open Mouth,Emerald Green Bolo Tie,Cool
7337,1.98,5218,71.32,https://magiceden.io/item-details/B7riFdneCoXj39JzxKtn57GAq2VrrFL4pneo9PJDURkP,Blue,Shiba,Red Hawaiian Shirt,Happy,Black Backward Cap,Closed Mouth,Black Collar,Common
7373,3,5906,58.37,https://magiceden.io/item-details/58eYhnSdDQYj9ziVUS1sAkcunWS46aqhD95jJThRwf9H,Green,Retriever,Black Tee,Bored,Native Pattern Bandana,Open Mouth,Gold Chain,Common
7378,100,8929,0,https://solanart.io/nft/CUZHsPDA3RswMxmx3GPhwmGqUEoZHU3tQCD6aFuiLnCZ,Blue,Shiba,Black Overalls,Angry,Jheri Curl,Tongue Out,None,Common
7381,7381,1658,0,https://solanart.io/nft/3Hk9UXgrnHGdrhkxGwSm6wsnHo94Me8HCFgxxcTJFX7B,Yellow,Lab,White Soul Dogs Sweater,Pit Vipers,Black Hippie Headband,Chewing on Straw,USA Bandana,Groovy
7395,4.4,2437,58.25,https://magiceden.io/item-details/EbXuiHivDAANVMmCod7hk2H8G34NDdq9aqhi1x2yCmxk,Yellow,Lab,Guitar Boi,Drunk,Yellow Mullet,Closed Mouth,Doggy Bandana,Groovy
7507,666.659973,7830,0,https://solanart.io/nft/Am87E7b9pXtywrj76DQKVRsXWB3Fp25nVR8cT9Ci73sh,Orange,Retriever,Black Solana Tee,Monocle,White Bucket Hat,Tongue Out,None,Common
7548,2.5,5608,64.56,https://magiceden.io/item-details/4un7rFJ5QNWbctnnqEfgkVESgvr1vKdgzKmNu1ybT3U9,Green,Dalmatian,Black Soul Dogs Tank,Closed,Black Rock Locks,Drunk Drool,None,Common
7555,2.5,3755,71.98,https://magiceden.io/item-details/6d233ZH3hHKUdfxzeDBvwfxpaGCqNejMqnty8XzKgVzX,Blue,Collie,Silk Shirt,Monocle,Brown Straw Hat,Kiss,USA Bandana,Cool
7563,2.22,1227,84.89,https://magiceden.io/item-details/2JaKxtMsd4eHseLZKCPcAkXq16PNa2XifBKSWzPkVeg5,Scooby Groovy Green,Dalmatian,White Soul Dogs Tee,Closed,Uncle Sam Top Hat,Chewing on Straw,Junk Yard Chain,Groovy
7589,8,630,29.48,https://solanart.io/nft/7tGyCZXMjrYnnvBXD1ivPmmkqdS95HrrKWXUHPb1noxS,Red,Hound,College Sweater,Closed,Retro Headband,Chewing on Straw,Peace Sign Necklace,Groovy
7594,4,7885,40.45,https://magiceden.io/item-details/EHVhWVKUBX7kEkpy7y3J3sSg83LTgBs314949HDQGs3S,Blue,Collie,White Hoodie,Sus Look,Black Hippie Headband,Tongue Out Side,None,Common
7596,1.35,3599,84.1,https://magiceden.io/item-details/3N63VhPkirKdxLSh6pEUeZbaC7FoissYtHt5LgZNYog7,Red,Collie,Rebels Hoodie,Heart Sunglasses,Black Racing Helmet,Tongue Out,Black and White Bandana,Cool
7619,15,4965,0,https://solanart.io/nft/99JSQJXdCNqsK2gdV2SoyxTAX6FZjE7ne7z3y6oSPfWP,Orange,Retriever,Rebels Jersey,Cute,Woofer Beer Trucker Cap,Tongue Out,Chain Link,Cool
7649,3,9217,45.12,https://magiceden.io/item-details/6NowntzoF3GweWzCMQbgfGmfKLogKFV5qHrU3Z77zuyn,Pink,Shiba,White Tank,Stoned Blue Eyes,Blue Bow,Open Mouth,None,Common
7664,4.8,8778,28.88,https://magiceden.io/item-details/EQrEFHWphvG1FE9uRqMhVrxPuaQNrGKAVZxigzozqEnh,Low End Theory,Retriever,Purple Tee,Closed,Brown Straw Hat,Closed Mouth,None,Common
