id,price,moonRank,💎 score (%),storeURL,Background,Body,Body Accessory,Colour,Dog,Glasses,Hat,Mouth
4276,4.44,1783,61.23,https://solanart.io/nft/5FeWtWykfnjip9x5WrPf3pm7k3YXYpHJ6hEUUJVfQL58,Blue,Sneaking Suit,None,Blush,Sniffy,Viper Shades,Green Punk,None
4355,2,3165,75.66,https://solanart.io/nft/ATdwcGxsVdfn39xCbocRySyHxzi3uHu6AFDUggfiBLok,Pink,Winter Uniform,Blue Bandana,Salt N Pepper,Puppo,None,Green Bone Hat,None
4358,6,3672,32,https://solanart.io/nft/4JLHWGxwrq4DwxsBZUCdmg889mBNoBAXFsgXQLkyN4wm,Blue,Green Uniform,None,Blondie,Shibe,None,Red Beret,Tongue Out
4367,13,276,0,https://solanart.io/nft/CY4pZXyoohAbrepQQ3fVUbSiviATA2iB9wc6ViT8rito,Pink,Sneaking Suit,None,Ginger,Rage,Monacle,Green Punk,Cigarette
4389,3.99,3262,55.06,https://solanart.io/nft/J1JkVstzQLJrLHs2NeSPMLanS6KFbmtubDr9BU2Mad2g,Pink,Blue Uniform,None,Silver,Chinchin,Eye Patch,None,Tongue Out
4395,543.47998,1220,0,https://solanart.io/nft/8g4NkQwDhruPoA9BqeibRqQ6NVd6RgPR2BGqJjwqRBno,Explosion,Leather Jacket,Blue Bandana,Coco Cream,Schemer,Eye Patch,None,None
4406,6.3,3692,28.86,https://solanart.io/nft/61H83GfF21E2iLr8XhrzqJn31KcXyrnBEvDhc8TQRDX4,Cyan,Green Uniform,None,Solana,Shibe,None,Garrison Cap,None
4528,2.9,1595,77.99,https://solanart.io/nft/9du26NicXrTdtbVTebmU2hWEGXspGQxHZKGrj3EPpqmK,Yellow,Winter Uniform,Green Bandana,Bright Red,Crazee,None,Blue Bone Hat,None
4594,13,119,0,https://solanart.io/nft/7rWo93SBNG7xybG7xAS4MpBexZwbpnjqz8TqEkUibes5,Yellow,Blue Tracksuit,Red Bandana,Twilight Beach,Groucho,Deal With It,Red Beret,Stogie
4609,10,177,17.22,https://solanart.io/nft/Dt2nUhjvs1AT9Fr3bJfydEga9AozUWoPM492HBgniPtJ,Orange,Red Tracksuit,Orange Bandana,Blondie,Groucho,None,Helmet,Facemask
4617,3.2,4803,51.84,https://solanart.io/nft/4bnRpdMqkkaicGZLmtsqiuaBjTNXcZim2sxptwmSwMmk,Pink,Winter Uniform,None,Blondie,Wolfie,None,Red Beret,None
4667,20,687,0,https://solanart.io/nft/4MCvSvFda9QKMP3qqzUx7JvBtughrhPbHZXFwYVnwbQV,Blue,Red Tracksuit,Green Bandana,Blondie,Chinchin,None,Blue Hat,420 Cigarette
4680,4,2045,63.74,https://solanart.io/nft/2Wkry1epXfTEp4Gp8jwauXu2UKhxAqzD4Eppt9RxQYwE,Orange,Green Uniform,Orange Bandana,Twilight Beach,Groucho,3d Glasses,Yellow Beret,None
4762,1.9,5169,62.2,https://solanart.io/nft/7yW53RE6zrfMfB7oseuhGKm34B99tUCm1sFa8hhz45Cw,Orange,Blue Uniform,None,Chocolate,Sniffy,None,Yellow Beret,None
4783,5,4856,33.46,https://solanart.io/nft/2vHMrBWyeCe4rTFkyR6niLYfNhT4BNGF3a62EMBffaDQ,Green,Sneaking Suit,None,Silver,Scar,None,Green Beret,None
4821,2.5,835,87.47,https://solanart.io/nft/HsN31hXJSpBFrJopTSjjenp2aWXMxzN3CsQBVNoZQwCc,Pink,Leather Jacket,SOL Collar,Brown Bear,Crazee,None,Yellow Beret,Facemask
4828,2.5,1268,84.35,https://solanart.io/nft/4fXYTD5s6CzUY5Gkb1zFnmMqC7wZk32kzAxA9xQw15hX,Green,Blue Uniform,ETH Collar,Ginger,Schemer,None,Green Beret,Pipe
4884,12,421,0,https://solanart.io/nft/AWRnMwaPMbrNhk5uZmqZkTEw3mNmdyoUHZFRsB1towMU,Squares,Winter Uniform,None,Chocolate,Shibe,3d Glasses,Green Bone Hat,Tongue Out
4905,11.5,3568,0,https://solanart.io/nft/8jYqsVoHX5Aqdg23Z19YKByU2bv8dHZpRSmvdwY7N5Ro,Cyan,Blue Tracksuit,None,Twilight Beach,Pugsly,None,General Hat,None
5119,3.5,5175,46.16,https://solanart.io/nft/5UmugFi1uLxmPFvCPeVbMJYeNifbepXFPqYNN9eBEqcg,Green,Green Uniform,None,Silver,Scar,None,Red Beret,None
5133,4,885,72.11,https://solanart.io/nft/8p62eH3HzmT6sMdJRLfSoLb1PK15Ukk7JBEPykqsSU7m,Cyan,Blue Uniform,ETH Collar,Albino,Cutie,None,None,Vape
5145,6.66,2218,35.89,https://solanart.io/nft/HJD4kzgHPcJnqpshnwuVZi12JNXuRFPZxGVkwrteDw11,Yellow,Green Tracksuit,Green Bandana,Coco Cream,Fluffy,None,None,Tongue Out
5192,7.79,3663,14.17,https://solanart.io/nft/Hv4Y3vWfcHHQeqCtRNRQz5yQMNTzJ7mgk464Xt2Zg5Ud,Blue,Superdog Outfit,None,Chocolate,Chinchin,None,Yellow Beret,None
5240,10,1549,7.32,https://solanart.io/nft/3qpyC6STf57NvkyAF8tB5PBmvATLXeJoRhz4qu5JKbCF,Blue,Green Tracksuit,None,Salt N Pepper,Chinchin,Glasses,None,420 Cigarette
5291,3.2,571,82.38,https://solanart.io/nft/GpAr6xjDDrLLAsBAKCw8FpjhwiepVGJSQdnjiEaFsKeC,Cyan,Orange Uniform,Blue Bandana,Alien Blue,Schemer,Glasses,Blue Bone Hat,None
5354,3.5,5441,44.24,https://solanart.io/nft/4tZKiaa5S9tnQNr96C3GsGz4sWLLps5ihEJ6mDg4pDL2,Yellow,Yellow Tracksuit,None,Twilight Beach,Shibe,None,None,None
5357,20,272,0,https://solanart.io/nft/AgVZgY48E6k4KFT6fxW9FnoPe7A669B178rpWYdWq1Fv,Cyan,Superdog Outfit,SOL Collar,Silver,Sniffy,None,Green Beret,Facemask
5380,10,4801,0,https://solanart.io/nft/Cs6mjoESkdoSc9VPvfQX7jTcrrwUHGrQ2adPGGG1YeKM,Orange,Blue Uniform,None,Salt N Pepper,Pommy,None,Green Bone Hat,None
5447,2.88,891,83.27,https://solanart.io/nft/44DWpMMYd7zKa2c7Ts7r1q4URJfQFURJNqGFEHeFejQ1,Cyan,Sneaking Suit,None,Salt N Pepper,Pommy,Eye Patch,Blue Bone Hat,Stogie
5451,4.5,1048,65.94,https://solanart.io/nft/5FKsjsJvTXdzKLVjvPZDGn3qu4c2vrffhfhoprjC9hwn,Orange,Winter Uniform,ETH Collar,Blondie,Shibe,Glasses,Yellow Beret,None
