id,price,moonRank,💎 score (%),storeURL,Accessory,Aura,Back,Background Color,Body,Ears,Eyebrows,Eyes,Feet,Hair Color,Hair Type,Head,Legs,Mouth,Race,Racial Variant
1495,2.44,7791,57.83,https://magiceden.io/item-details/sy2U2ThnpzfdBjPa4UuCQHgj7Hvmn7P3MrvWo67sgjy,,Party B Aura,,#e2e2e2,,01,03,03,Tall Green Boots,black,14,,Khaki Cargo Shorts,04,human,
1496,2.44,8865,53.52,https://magiceden.io/item-details/8uz4ASjRBfRSrGcSUxYWqyeGXhUHZYhdMzbYSpYkWw9A,,Bakery Cupcake Aura,,#ff99ef,,03,04,14,Pink Flip Flops,grey,14,,Brown Pants,04,elf,
1497,2.44,9142,52.4,https://magiceden.io/item-details/EpKEaAMZJqv8AdyaacwiPBvtkzsHBADcyqq2QjxBgsVa,,Purple Broken Glass Aura,,#ff99ef,,01,07,02,Purple Skate Shoes,red,11,,Tiger Stripe Leggings,03,human,
1498,2.44,8823,53.68,https://magiceden.io/item-details/CzX7VY8rqcAXa8UTih9XxQSYAA4yhCpDfwcXhstPm1WY,,Silver Stars Aura,,#87fff3,,01,14,18,Gray Slippers,black,21,,Gray Shorts,04,elf,
1506,2.44,9874,49.47,https://magiceden.io/item-details/7LYGWdFJdhyf7GN9oKrjtgHPKQAXmywG1fGH6coZ82Au,,Purple Sparkles Aura,,#383838,,01,19,12,Purple Skate Shoes,grey,37,,Brown Pants,02,orc,
1507,2.44,8572,54.69,https://magiceden.io/item-details/CTxSsQLv1wP5fWgYbx62jPTFbkZxGMxccmdsodHCzkvY,,Pink Sparkles Aura,,#383838,,02,03,12,Pink Flip Flops,brown,07,,Gray Shorts,03,human,
1509,2.44,8438,55.23,https://magiceden.io/item-details/Dff9fwFEbPiAz83Vk5PmtvzLNLNsoHC9soYJgEMpWp6k,,Party A Aura,,#383838,,01,04,18,Beige Slippers,red,21,,Gray Pants,04,elf,
1514,2.44,8960,53.13,https://magiceden.io/item-details/2TY5jtsGzEYAmQyJR53JBBwFegD1T97M7kYqJUbsFnVQ,,Meeko Chain Aura,,#f14345,,02,03,11,Gray Slippers,blonde,37,,Gray Jeans,03,orc,
1534,2.44,8552,54.77,https://magiceden.io/item-details/F8JH2XVdu7AskQWVhPevdRZQBumPjJjJKtZcCU9Xw1s1,,Purple Hearts Aura,,#ffd864,,01,05,21,Tall Brown Boots,blonde,36,,Purple Miniskirt,04,human,
1535,2.44,9112,52.52,https://magiceden.io/item-details/B4cuPqEUcuZdW239b7TdvVPTQ13AakNHvedXjcMMCwb5,,Yellow Stars Aura,,#383838,,02,05,08,Blue Sneakers,grey,07,,Yellow Baggy Pants,01,human,
1653,3.49,2472,68.68,https://magiceden.io/item-details/GF7KEN6rqCyx4XrP2q8j6rcY3k16ySH8YN8nN3Hzrink,,Weed and Chocolate Aura,,#9641ff,,03,14,23,Yellow Boots,brown,36,,Striped Mint Pencil Skirt,01,orc,
1809,1.5,8289,65.23,https://magiceden.io/item-details/28eAGJ7BEXvcxLbGH3SagzSGjpB3StUr6EGFG66nRD8o,,Balloons B Aura,,#9ca4a7,,03,04,30,Black Boots,brown,17,,Black Cargo Shorts,01,orc,
