id,price,moonRank,💎 score (%),storeURL,Biome,House color,House number,House style,Material,Openings color,Openings style,Precipitation,Roof color,Roof style,Sky,Street name
89 Rosa Street,37,2084,0,https://solanart.io/nft/9jFeMzueenRZdhEFnr7Ud8Hbn8f337uWNW4kYvMhiVWp,Desert,Blue,89,Modern,Brick,Yellow,Rounded,,Mix,Grass,Day,Rosa Street
94 Ape Lane,55,2049,0,https://solanart.io/nft/43trYa9VKVTgY88UDgAxHdc4b3HaMkX5kPickrEqy7Pt,Mountain,Blue,94,Cottage,,Green,Rounded,,Yellow,Patio,Day,Ape Lane
96 Wall Street,69,923,0,https://solanart.io/nft/DYou6Pf25eHqnFYYVMyikrQjxAh8ug7tW6835CkorZR7,Beach,Blue,96,Cottage,,Red,Rounded,Rain,Green,Shingle,Night,Wall Street
97 Rosa Street,1000,24,0,https://solanart.io/nft/397tLwKiqBjZtLoyrUGVwns9kb7ub7RaW2MEVxF7bdQz,Field,Gold,97,Cottage,Gold,Gold,Gold,,Gold,Gold,Day,Rosa Street
100 Wall Street,39.689999,1183,0,https://solanart.io/nft/H8Ny8YY9HdKcmLtXyquGaHXEXC3BvhGfmE4fUPCdX4T9,Treehouse,Green,100,Cottage,Vines,Red,Rounded,,Dark green,Shingle,Day,Wall Street
100 Stewart Avenue,39.5,1784,0,https://alpha.art/t/Cr3yaF4Wfd1UzMedMyppT6A2CiZm7rWuKNAuGVbkwLCz,Mountain,Lavender,100,Modern,,Green,Shuttered,,Green,Skylight,Day,Stewart Avenue
101 Supple Circle,420.69,6,0,https://alpha.art/t/8cgfVaeatEuDEaQ17A8Xj58eh8dPcER4y6Kzvh2MJVVK,Arctic,Gold,101,Cottage,Gold,Gold,Gold,Snow,Gold,Gold,Day,Supple Circle
104 Stewart Avenue,50,603,0,https://solanart.io/nft/Fk8XJ2GWRonekXWxBPuehtYp3XUPjM3v13xPMigcEdec,Arctic,Green,104,Mansion,,,Crystal,,Mix,Food,Day,Stewart Avenue
106 Ape Lane,44.5,2209,0,https://solanart.io/nft/Fyr4ehLGT7BLigPgpBSLLjVKerZ4k53qCD3gsvCyejXu,Mountain,Blue,106,Modern,,Red,Rounded,,Yellow,Shingle,Day,Ape Lane
109 Ape Lane,120,901,0,https://solanart.io/nft/94GDFygpwUcRMYZhfjQSKXyxhe6N3gfzSVXg8gXXwMCf,Underwater,Blue,109,Modern,Vines,Red,Rounded,,Red,Patio,,Ape Lane
111 Wisteria Lane,40,788,0,https://solanart.io/nft/FjxGCoJHkU43wbv4M5oNwYyD7G7XeMFyk7XK4HkvpGFc,Mountain,Blue,111,Modern,,Red,Shuttered,,Mix,Food,Night,Wisteria Lane
