id,price,moonRank,💎 score (%),storeURL,Background,Clothes,Eyes,Glasses,Head,Neck,Piercing,Skin,Tusk,Wrist
2287,3.1,3604,56.33,https://solanart.io/nft/4HfCskrdxhCF6rPQysJNtMZjXwgz8LACptTpqs2kKPfe,New York,Sweat Short Flames,Sad Eyes,None,None,None,Rings,Golden Babolex,Gold Tusk,None
2288,23,3642,0,https://solanart.io/nft/5H36ekBPJcsmkJGBHmeKNngeixz17zibmokLEgYWVZRf,Chinatown,Babolexo,Sad Eyes,None,None,None,None,Chrome Babolex,Gold Tusk,None
2310,4,2737,55.45,https://solanart.io/nft/G3unvMeLFTid9DXtbwhZsHN1L3ShrCHi1QvP5KNLW231,Green,Purple Suit,Base,Disco,None,None,Blue Piercing,Chrome Babolex,Gold Tusk,None
2318,12,3414,0,https://solanart.io/nft/AkrTjrhmuFUfTFgEHCLgAcFNHyGLr2NyqtcLgs8Usgrj,Space,Black Suit,Stone Eyes,None,None,None,None,Chrome Babolex,Gold Tusk,None
2368,6,3662,26.79,https://solanart.io/nft/EWEpJ8NEPJqNDq4yCPHDf3DaxdSvQsarv6DsmRv2mTHH,London,Dungarees,Dizzy Eyes,Papy Glasses,None,None,None,Golden Babolex,None,None
2374,4.4,3358,45.64,https://solanart.io/nft/CszjfzZYE3Vo4caPUt1gXr3Qe9NCosgUAKG5cED6SQk,Purple,Standard Green,Angry Eyes,Black Glasses,Blue Beanie,None,None,Chrome Babolex,None,None
2388,5.2,3221,38.92,https://solanart.io/nft/6921Uxg29qDR5HUeUH19VwLfmfeDD9V93jefzqe1MKis,Maya,Sweat Short Blue,Base,None,None,Moustache,Rings,Chrome Babolex,None,None
2402,7.5,1106,35.74,https://solanart.io/nft/H74yi9x2RMZ4iZnwpiiiF4x16a3BEaniHNzzvakQaZSH,Purple,Sailor Suit,Alien Eyes,None,Mouse,None,Gold Piercing,Chrome Babolex,None,None
2433,15,2664,0,https://solanart.io/nft/6CabGUstJwsG7vuJVN8JkoZ4r8tF1QFAWqJFw4Nw5yso,Red,Boo,Joy Eyes,Rayban,None,None,None,Solana Babolex,None,None
2440,25,4269,0,https://solanart.io/nft/GNHtNRDDkxTRmyHLy8B9AuHu7Utzwee8tT8swGDkqhS4,Purple,Standard Green,Base,None,None,None,None,Chrome Babolex,Gold Tusk,None
2449,5.6,1900,47.3,https://solanart.io/nft/7usKHg6BEApDndXLAUmKBRgzvnEZ61Jm8rUeDLno3nkj,Purple,Blue Green,Joy Eyes,Heart Glasses,Naruto Hair,None,Rings,Chrome Babolex,None,None
2463,5.6,3140,35.68,https://solanart.io/nft/AodqaHH97dBP1cH2WEgv7W1taDnMJ8aXV3rnvCfXPpB8,London,Sweat Short Flames,Blazed Eyes,None,Hay Hat,None,None,Chrome Babolex,None,None
2465,20,805,0,https://solanart.io/nft/9tsU3Ku9wCXb72WYM4XXcbWoPyXVtNNi96nYx5z2SScW,Yellow,Fighter White Black,Blazed Eyes,Black Glasses,Golden Crown,Babolex Chain,None,Alien Babolex,None,None
2473,20,3174,0,https://solanart.io/nft/BU1aLAjvhw3hQMW2eEKZf9v3sGtiGU95PxS9hv8SimMY,Volcano,Sailor Suit,Sad Eyes,None,None,None,None,Alien Babolex,Gold Tusk,Crown Bracelet
2476,5.25,3579,35.07,https://solanart.io/nft/JAUxjyrvgbGQYh7Bt8tsPdZU8BuuqosweEcRnq7UYhxE,Chinatown,Blue Green,Dizzy Eyes,None,None,None,None,Chrome Babolex,None,Rolex Hulk
2477,6,3611,27.27,https://solanart.io/nft/9RpdhBJEfeXAHhwroNy9uzKbqX6qD7ME3zcbEH8LneaN,Yellow,Fighter Black Red,Dizzy Eyes,None,None,None,Silver Piercing,Golden Babolex,None,None
2488,3,2028,72.1,https://solanart.io/nft/CgxhcC4X3nDuLw3cxykrRF8eWnXYfT9qd58HFfCqC43s,Red,Green Suit,Sad Eyes,None,Top Hat,Scarf,None,Chrome Babolex,None,Rolex Pepsi
2492,26,3668,0,https://solanart.io/nft/A12Aqnmt23JiPC3WTXmF8v5Pz5HhkKBUFDv4Y5SjUoxL,Chinatown,Kimono,Sad Eyes,None,None,None,Pad,Chrome Babolex,None,None
2493,26,3576,0,https://solanart.io/nft/6GATgwuCFwY13RuyqSxcun7nF6E4vAK3dahpFewygywu,Green,Sailor Suit,Base,None,None,None,Pad,Alien Babolex,None,None
2495,26,2305,0,https://solanart.io/nft/Aj5U4B3TdCpBwuXzQExMAHmR5dxdG66V9rLewth7Wzcx,Blue,Standard Green,Fear Eyes,Aviator Glasses,Pirate Hat,None,None,Chrome Babolex,Gold Tusk,None
2498,4.8,534,68.1,https://solanart.io/nft/9eR1Q6KTLpGQ6Y3AVCirDM29aaYbB6WGk1APe2m5m4ck,Green,Goku,Alien Eyes,Viper Glasses,Pirate Hat,None,Silver Piercing,Golden Babolex,None,None
2499,30,319,0,https://solanart.io/nft/8c4HZuDAFh7rh5nunR2A5tuj12hwn8hQ5NnEKQ6P82HW,Purple,Hippie Clothes,Angry Eyes,Aviator Glasses,Paper Crown,Scarf,None,Zombie Babolex,Gold Tusk,None
2502,4,3242,50.72,https://solanart.io/nft/GFznAK76cVUNhwdBV5AKXXqBhPi5odJ6zStYvo9V72Xr,Yellow,Sweat Short Flames,Fear Eyes,None,Hay Hat,None,None,Chrome Babolex,Gold Tusk,None
2510,2.98,3888,54.87,https://solanart.io/nft/9d5QYBVCJPmeoU2S7BCgqEsP9XuJKkR1JJp1NmmyYD9Z,Blue,Gucci,Sad Eyes,None,Blue Beanie,None,None,Chrome Babolex,None,None
2515,10,1528,6.78,https://solanart.io/nft/F17wn9Hf4rJJevVPZL1upeZQyuCf2AFVZ75g4JYXV2xN,Jungle,Iron Babolex,Alien Eyes,None,None,None,Silver Piercing,Golden Babolex,Gold Tusk,None
2534,9.9,3684,0,https://solanart.io/nft/DBBg3tEQ2Jpj5RKGjRkDpejaDi2CWRNjet3rreLpqDJ8,Red,Bathrobe,Fear Eyes,Black Glasses,None,None,None,Chrome Babolex,Gold Tusk,None
2539,7.47,2939,18.86,https://solanart.io/nft/8f4y8ofCUvpVhjJdHBKtDgPV8bCgnyPuah3yVVLZwdxM,Purple,Sweat Short Flames,Base,None,None,Crown Chain,Pad,Chrome Babolex,None,None
2549,3,2815,64.72,https://solanart.io/nft/A96gGnUjWWYMfehKQurDkiXEC8m33SnKwkYQorP5aVxW,Purple,Blue Green,Base,Aviator Glasses,None,Bow Tie,None,Golden Babolex,None,None
2550,5.2,2758,43.26,https://solanart.io/nft/62TKQwL4ARtYnFyDDftgT53aAnU2sd1FU1rLJSMxzP1Y,Chinatown,Panda,Joy Eyes,None,Bowler Hat,None,None,Zombie Babolex,Gold Tusk,None
2553,23,2616,0,https://solanart.io/nft/BHi62cCtpNtUJEJN4VTntviAwmwVerHXLeyM5YfZ4usG,Blue,Cowboy,Base,None,Cowboy,None,None,Chrome Babolex,None,None
2563,25,122,0,https://solanart.io/nft/QmoWvDfMaCNrggNHq2HuiNzbtqxKc23uKEpqhLBJv7A,Green,LV,Sad Eyes,Pirate,None,Fat Beard,Blue Piercing,Golden Babolex,None,Gothic Bracelet
2565,5,2887,44.05,https://solanart.io/nft/2iVrfgWuJJL9uKEVRmWdGKHj1K8YxAXQtzgWzoZceU9b,Red,Blue Green,Dizzy Eyes,None,None,Scarf,Pad,Chrome Babolex,None,None
2594,20.25,1316,0,https://solanart.io/nft/DXp96ro7uhExwCFsN5HQyybsfNmVNMfmqUPqGTXMvGic,Jungle,Black Suit,Angry Eyes,Pirate,Golden Crown,Crown Chain,None,Chrome Babolex,None,None
2617,6.6,3000,26.99,https://solanart.io/nft/ATiUN7TNgaHnTrueVa6MUyRJKVa7NmM4DXE4rfV4gQTD,Purple,Green Suit,Sad Eyes,None,None,None,Rings,Ghost Babolex,Gold Tusk,None
2623,10,3643,0,https://solanart.io/nft/DV8o7m2tk7eDHQRPJeK2dDciXAn72TAQGAa5EXBuytsG,Red,Warrior,Fear Eyes,None,None,Bow Tie,None,Chrome Babolex,None,None
2630,2.5,3724,61.21,https://solanart.io/nft/GH5R81km37fooTLBp4uSMWw4ymFVafwganRvD4n8xQZ4,Green,Hippie Clothes,Sad Eyes,None,Blue Beanie,None,None,Alien Babolex,None,None
2633,10,354,17.78,https://solanart.io/nft/4yiM7J1Ui5pL2n2QZQ2vfZHfwcQLcsDuZ1W9kmN6un52,Red,Purple Suit,Dizzy Eyes,Black Glasses,None,Crown Chain,Pad,Chrome Babolex,None,Date Just Golden Rolex
2646,4.99,2093,51.59,https://solanart.io/nft/3Lr6aR4aGU4DRJH11VvsSAxtSXVvxbcabDHLUg5n7mhQ,Red,Solana Clothes,Dizzy Eyes,None,Red Beanie,Scarf,None,Golden Babolex,Gold Tusk,None
