id,price,moonRank,💎 score (%),storeURL,Background,Button,Clothing,Earrings,Eyes,Fur,Glasses,Hat,Mouth,Necklace
3799,2.3,8619,65.51,https://solanart.io/nft/6rG2Y9HcvjDbwqxpRJkL5kJ4feUq6okuvzxUHLJbRDXK,Gold,,Buttoned Shirt,Solana Silver Stud,Bored Eyes,Brown,Clout Goggles,Backwards Hat,Sideways Smile Mouth,
3832,5,1990,65.04,https://solanart.io/nft/ASUj6Bd5ppC5HB9Bi9h3bijbL7VqR4KFRGQPWFovYt92,Light Grey,,Robe Black,Cross Silver,Closed eyes,Tiger,Burberry Glasses,Beanie Blue,Smile mouth,Badger Necklace
3858,4,9288,45.83,https://solanart.io/nft/8FmzWhp9rqYgo4Jo74xCUTNmBB7Ee5bJ2j6jyPVyNZoh,Light Yellow,,Robe Red,Cross Silver,Round Eye,Grey,Wayfarer,Beanie Blue,Sick Mouth,
3942,4,6214,58.13,https://solanart.io/nft/67TY9YQ9h6G6NUHj3NNCgiZqNRtQhpYd9RXzGXTY2gWp,Light Yellow,,Hoodie Lilac,Ruby,Solana Eyes,Grey,Wayfarer,Beanie Grey,Sick Mouth,
3994,4.85,6050,50.29,https://solanart.io/nft/BxnW69RVqkDTS9vNywZkBhcpd5THHk9mb32AwTT2BkNg,Rainbow,,Polo White,Stud Silver,Bored Eyes,Cheetah,Clout Goggles,Cowboy Hat Brown,Angry Mouth,
4016,5,6097,48.6,https://solanart.io/nft/BPcrPWYPdfQDAAoaGnLZ3y9QZtKbBUqfNbTmCwitSuaw,Light Green,,Polo White,Stud Silver,Hypnotic eyes,Blue,Clout Goggles,Coffee Hat,Angry Mouth,
4099,4.49,2994,66.12,https://solanart.io/nft/AkN45CC4r2p2CXocxYzL48T6ePcJ1PHHvq2CBmjZr3v1,Light Yellow,,Hoodie Lilac,Airpods,Round Eye,Grey,Wayfarer,Police Hat,Straw Mouth,
4139,5,5981,49.07,https://solanart.io/nft/AVFfNiw1gvca56sdyC2xQP4NDYC752ZaCosHxrhvANrv,Light Green,,Coffee Apron,Stud Silver,Angry Eyes,Dark Brown,Clubmaster,Yankees Hat,Squigly Mouth,
4248,4,9507,44.96,https://solanart.io/nft/DUdmXk2qmTs2Hc2ZsrJv2HybxZXTJbJvSy1G6UC4JNmS,Orange,,Jacket Brown Tee White,Stud Silver,X eyes,Dark Brown,Clubmaster,Military Hat,Smile mouth,
4394,3.89,8751,49.08,https://solanart.io/nft/7A815pV5axYbmVjrA264BukCQKr2MmU3kz9N99r8RYG4,Orange,,Wack Donalds Shirt,Stud Silver,Angry Eyes,Pink,Clubmaster,Coffee Hat,Squigly Mouth,
4553,3.8,1154,80.38,https://solanart.io/nft/D6DWc6q5rhA8GYHXXzeBNR91b3ShdZWT93hp355RKu4,Light Blue,,Hoodie Aqua,Stud Gold,Hypnotic eyes,Blue,Clout Goggles,Shark Fin,Angry Mouth,
4583,4,8666,48.32,https://solanart.io/nft/7ZTxA87cuUZwPfckNquasUpur36rHZdVD9LpuXBnQZ7G,Orange,,Jacket Brown Tee White,Solana Silver Stud,Angry Eyes,Dark Brown,Clubmaster,Beanie Blue,Squigly Mouth,
4633,3.5,7994,56.01,https://solanart.io/nft/5pJASGcmgMN7NKuRkffLe9oJM36sgMvXhhqPczSmckHE,Light Red,,Medical Robe,Stud Silver,X eyes,Brown,Clout Goggles,Bowl Cut,Sideways Smile Mouth,
4647,3.55,9556,49.26,https://solanart.io/nft/HM4WDvB7oDxiWb2RkDDWev4NwTq1xnNsp8YQAiahU5D,Light Blue,,Jacket Red White,Stud Silver,X eyes,Brown,Clout Goggles,Fisherman Cap,Smile mouth,
4727,4.9,9164,37.33,https://solanart.io/nft/BHfqRQcUqiyPGdpGEHVD373zCUdyR6cagwZBm1GXzDnU,Light Red,,Plain White Tee,Cross Silver,Closed eyes,Tiger,Burberry Glasses,Coffee Hat,Sideways Smile Mouth,
4833,2.9,4458,76.16,https://solanart.io/nft/AiSdaotxMABJHjzFPDfyNYPXgGwBRccBgaKthifSRved,Light Yellow,,Polo Yellow,Cross Silver,Round Eye,Zebra,Solana Glasses,Beanie Orange,Sick Mouth,
4905,3.6,7313,57.74,https://solanart.io/nft/H5DxdzV8QyJhgZ9tfok57JPeemGWK4vWmCbX2WNiokpK,Rainbow,,Back To The Future Jacket,Stud Silver,Bored Eyes,Brown,Round Glasses,Military Hat,Smile mouth,
4987,3.49,1958,80.26,https://solanart.io/nft/7xzJWgjaJPtX123oWyoc812vdTeHRFz8kMqoiv2gSFzb,Light Yellow,,Lion King Tee,Airpods,Solana Eyes,Grey,Wayfarer,Police Hat,Sick Mouth,
5041,4.99,6578,46.78,https://solanart.io/nft/HpzzyQ9qZ3xkt5PRzVMd7wgkA4vpm7iS44o1bGp3eDyi,Light Grey,,Polo Blue,Cross Silver,Closed eyes,Black,Burberry Glasses,MMCC Cap,Covid Mask Mouth,
5181,5,2652,62.39,https://solanart.io/nft/58NYLBypetcH2EaHpgDe2fCNzytd2K4XaWC4qfgup2aV,Light Grey,,Hoodie Green,Cross Silver,Solana Eyes,Black,Burberry Glasses,Bucket Hat,Bored Mouth,Badger Necklace
5262,5,3253,59.98,https://solanart.io/nft/8WzxauZaPMfHMowYhgkiXtx2Mb4bgcRVV4bYTaV1FGne,Solana,,Leather Jacket,Cross Silver,Closed eyes,Tiger,Burberry Glasses,Pirate Hat,Cigarette Mouth,
5307,5,3991,57.03,https://solanart.io/nft/2AbjvdVGziL3xPnq25sQxDnrrosLCcrstfmTiqTA56bW,Light Red,,Buttoned Shirt,,Bored Eyes,Brown,Clout Goggles,Turbin,Mouth Juul,
5453,2.4,8478,65.07,https://solanart.io/nft/7NMuu56sbVEug8FH1KigFpUKUov46kBWoowsmrx4KxjD,Light Grey,,Hoodie Green,Cross Silver,Closed eyes,Red,Burberry Glasses,Sailor Hat,Bored Mouth,
5604,2.4,9469,61.11,https://solanart.io/nft/6r2azYCs7SfpnjTHt4tZW2YUEsTjdTtFqXJjSX8bAfms,Light Red,,Hoodie Black,Stud Silver,Angry Eyes,Pink,Clubmaster,Blue Visor,Sideways Smile Mouth,
5885,4.29,5897,56.5,https://solanart.io/nft/958VgcZX7VFHQEwFmzyTRRwxbeC19EBChNeniJDMDisJ,Navy,,Hoodie Red,Cross Silver,Round Eye,Zebra,Wayfarer,Beanie Grey,Sick Mouth,
5988,4,5695,60.21,https://solanart.io/nft/DNxNK8ySUTAhBXakmXSghz6UceCV7zMDpksxtfYdZRAp,Light Red,,Polo Red,Cross Silver,X eyes,Grey,Wayfarer,Fisherman Cap,Smile mouth,SMB Necklace
6112,3.5,2679,77.28,https://solanart.io/nft/HnVWMKi1AmRAGNscr78qk63yzL9vYT8jTyh54UA4KWye,Gold,,Leather Jacket,Cross Silver,X eyes,Black,Masquerade,Roman Headdress,Bacon Strip,
6184,4.759,2879,63.89,https://solanart.io/nft/8soKayhryE95J46zJSeYnfWpuLsMgTqUwFPJA6bZ6JGy,Light Blue,,Prison Uniform,Stud Silver,Bored Eyes,Blue,Clout Goggles,Afro,Pizza,
6231,4.5,9181,41.26,https://solanart.io/nft/4XptDLpwdZPy5pn7bxgxgVd9hCtiEQtPDXHYRTusjFpk,Light Red,,Jacket Navy Tee White,Stud Silver,Flames Eyes,Dark Brown,,Military Hat,Smile mouth,
