id,price,moonRank,💎 score (%),storeURL,Background Color,Beak Color,Chain,Ear-ring,Face Tattoo,Favourite rapper,Head accessories,Head Color,Neck Color,Position in gang,Shades,Smoking,Type
2878,40,1028,0,https://magiceden.io/item-details/G97ZNakDCX4RtBzjtjRFQ5sN47RDzyhCx6usBkpkywED,coral,gray,none,silver,none,biggie,normal,gainsboro,rosybrown,enforcer,standard,none,normal
2888,45,3204,0,https://magiceden.io/item-details/AQzBHhzR8U9THaBkJ1VS8UVY2RUkG9saaMEAdDtiGrA4,aquamarine,darkslategray,none,none,none,mobb deep,normal,lightgray,gray,thug,standard,none,normal
2891,34,429,0,https://magiceden.io/item-details/CrBg8u1cx41AAXFo3jxPU3demwdoWs3N123jBnvzeNhN,coral,darkslategray,silver,none,none,tupac,normal,lightcyan,lightcyan,thug,standard,none,alien
2904,30,2494,0,https://magiceden.io/item-details/5BpHPzT5PuCpZij496vcF2vGk9C8wsLQ3dFwhVFLq3Xr,lightpink,darkslategray,none,none,none,nas,normal,gainsboro,cadetblue,thug,standard,none,normal
2944,75,2505,0,https://solanart.io/nft/6ZoMqaWhzSNgwgnZEha46eJn6H1oLP3X13xRdvy31hgJ,coral,lightsalmon,none,none,none,mobb deep,normal,lightsteelblue,darkseagreen,thug,standard,none,normal
2963,36,2705,0,https://magiceden.io/item-details/ENMs9VRW9nEQg7uEMZ6b4R4bcDtDxhkcQEoHnbhZ6tJV,lightpink,gray,none,none,none,jay-z,normal,lightsteelblue,rosybrown,thug,standard,none,normal
3022,75,1110,0,https://alpha.art/t/4eWXtfR2cGrtEGMaKziiQfKsLNardur6bvoyB9bYoz35,aquamarine,saddlebrown,none,none,none,mobb deep,doorag,lightpink,gray,enforcer,standard,none,normal
3026,28.75,3235,0,https://magiceden.io/item-details/Gn7LV7yb53NsWXpMUsbXwSigZ4KQTivpRwrzmG2JuRuD,thistle,darkslategray,none,none,none,ditc,normal,gainsboro,gray,thug,standard,none,normal
3027,59.69,1036,0,https://magiceden.io/item-details/9WYp4pF77xH31VFjmT2hGAvd2zkUahpRFwNYj9CU3vjM,lightpink,saddlebrown,none,none,teardrop,tupac,beanie,wheat,gray,thug,standard,none,normal
3045,50,1355,0,https://magiceden.io/item-details/Cjkgbb8vrL9Zok51xpEJQR3n6kY7AbbkfWPkYv8vSqBa,aquamarine,darkslategray,none,none,none,gang-star,backwards cap,lightgray,gray,thug,standard,none,spotted
