id,price,moonRank,💎 score (%),storeURL,Background,Clothing,Eyewear,Fur / Skin,Head,Mouth,Teeth
3140,99,4032,0,https://magiceden.io/item-details/4jbH4fJq4mqrwTeK2kpneKqHX6BMzagpHphbYz3CCtTJ,Yellow,Turtleneck,Round Glasses,Purple / Peach,Captain's Hat,No Traits,No Traits
3146,115,7156,0,https://magiceden.io/item-details/AnkkYxHbxqWKabe9cjTYK6YZf3e1MiHwuc5tkJBQhhbi,Red,Leather Jacket,No Traits,Red / Blue,No Traits,PV-Ape Glue,No Traits
3147,900,34,0,https://magiceden.io/item-details/f3KXeR9yDdoVi4qKz8g2GmCcJMFZnuaaoN6LuXntEgk,Yellow,Academy Uniform,Round Glasses,Gold,Floral Crown,6pc Tendies,No Traits
3161,138,7137,0,https://solanart.io/nft/7RmJsXe3rKfGLxtsuZq19NyEmbYzfd49xPvt6sDm4CJ7,Yellow,Turtleneck,No Traits,Brown / Peach,Sun Hat,Grilled Cheese,No Traits
3163,290,1563,0,https://magiceden.io/item-details/EVugYttGWaGnRsgSZvYq2xVQ2LJ1NpEcGdHD5kmgTpfL,Green,Degen Service Shirt,No Traits,Green / Green,Degen Service Hat,Ape-le Juice,No Traits
3175,184.899994,849,0,https://solanart.io/nft/DraiDXGkZrbHkvzpbzwKkrVydPug11aAxjk5piGYwRBf,Yellow,Striped T-Shirt,Round Glasses,Purple / Purple,Conical Hat,Pizza,Wooden Tooth
3199,100,4338,0,https://solanart.io/nft/FekGcHz7yB2JtASpn9yULsu13zhSEnpfZrpiBZdZFys4,Black,Police Uniform,No Traits,Black / Gray,Conical Hat,Drool,No Traits
3214,85.690002,3573,8.49,https://solanart.io/nft/3WHsS6H6dE1BNBZtxYTr4VnGRkxAMVRyju1H3cvRJihT,Blue,Turtleneck Suit,No Traits,Albino / Peach,Sun Hat,Eggplant,No Traits
3217,515,851,0,https://solanart.io/nft/HGgbTJheJnHmrueqmR1EZZLPdpwJcEa1T2fo56pzKE2E,Black,Leather Jacket,Aviator Glasses,Black / Peach,Pope's Mitre,Soda,No Traits
3224,118.790001,1129,0,https://solanart.io/nft/uKmrmvx79Tzhc2bsZgYjSvcaGjbjvaPEz4Gsa296jsB,Red,Striped T-Shirt,3d Glasses,Red / Peach,Racoon Skin Hat,Donut,No Traits
3233,150,558,0,https://magiceden.io/item-details/GLa7qJuYzqs46eBKtcviPqGA51K1eR2PApVWcRFdDv4W,Green,Overalls,Wayfarer Glasses,Green / Peach,Policeman's Cap,Sandwich,Wooden Tooth
3247,299,1161,0,https://solanart.io/nft/BvYgsGx3uHYTz246K2okTYkAje6D3Rz7CkNHboouZh5V,Purple,Suit,No Traits,Purple / Peach,Snapback Cap,No Traits,Wooden Teeth
3250,288,1734,0,https://solanart.io/nft/3G7T8Zp282hKJSJoF8FA1F7HcJYcXB1tCUzDquicABUw,Green,Maid's Uniform,No Traits,Green / Green,Pharaoh's Neme,Pipe,No Traits
3267,145,4939,0,https://solanart.io/nft/7MXs31pGYriZ7wrYxAWwu3f5NquQ711bWh5eCXze53gi,Blue,Turtleneck,No Traits,Albino / Blue,Policeman's Cap,Soda,No Traits
3304,90,5423,0,https://magiceden.io/item-details/4movm63EpQKD5R3SbqLG3tAVRGrpyp4aaAqkzppDbfsB,Green,Academy Uniform,No Traits,Green / Peach,Racoon Skin Hat,Grilled Cheese,No Traits
3317,120,7574,0,https://solanart.io/nft/38VAzNeTRWUfL34wkkoQ4YTm53b7NrQYDKb5XJLgEz8F,Purple,Maid's Uniform,No Traits,Purple / Peach,No Traits,No Traits,Wooden Tooth
3332,111,5486,0,https://solanart.io/nft/Ax51CQJPc7ADrHCwJUu69zAFYkL4GE7Avu1gUPs6MGW1,Black,Cheerleader,Aviator Glasses,Black / Gray,No Traits,Soda,No Traits
3335,250,4921,0,https://solanart.io/nft/9TvCm9hf64EWi7ab2Hn4AANa9xN8RHfhUJxPdbArQXWa,Yellow,Police Uniform,No Traits,Brown / Yellow,Beer Hat,No Traits,No Traits
3337,96,4269,0,https://solanart.io/nft/8YLv95T7fBpzd2eHrp3PWb9YD4DHPijbo4qjAWspdPPE,Green,Bowling Shirt,Wayfarer Glasses,Green / Peach,Pilot's Hat,No Traits,No Traits
3363,4100,358,0,https://solanart.io/nft/9FApNiYsC4XJSVYcRDUPYLeQDxN5nHrxSjzQGMzDPpjU,Yellow,NB-Ape Yellow,Round Glasses,Brown / Peach,Mobster Hat,Sandwich,Wooden Tooth
3371,225,1098,0,https://magiceden.io/item-details/2AJeRUbnrPZLYUodKkBTHLThwitMG3cPikUVRGLLzrXM,Green,Cheerleader,Round Glasses,Leopard,Knight's Helmet,No Traits,No Traits
3372,500,3775,0,https://solanart.io/nft/6vTS5xGzRKnZoiLiYHechqBq4y57bBTzkgRaox6rxfRr,Yellow,Overalls,No Traits,Leopard,Pope's Mitre,No Traits,No Traits
3390,98,7518,0,https://solanart.io/nft/B617pHv9zrxoaiuYrkUP5AP7giN38fSiHKG4qjAPuLmv,Yellow,No Traits,No Traits,Black / Peach,Judge's Wig,Pizza,No Traits
3420,154,1036,0,https://magiceden.io/item-details/Cq4y48ZJwef5BvS2v45HBSSocmzDnFNyt3D36cBSnEUz,Blue,NB-Ape Yellow,3d Glasses,Blue / Blue,Bucket Hat,Soda,No Traits
3423,144,7525,0,https://magiceden.io/item-details/6TmacyBFeG2vsRLc6BVMgDWoFYv8KoDJXepTeoAMMmXC,Yellow,No Traits,No Traits,Brown / Yellow,The Croc Hunter,Drool,No Traits
3430,88,8020,0,https://solanart.io/nft/9ztXWqDkgXYVBMtoBRZ4WQXWzAf3PWUw8Y44iA5BasqW,Green,No Traits,Wayfarer Glasses,Green / Green,Floral Crown,No Traits,No Traits
3440,888,878,0,https://solanart.io/nft/Hpn25HjMw5C6BmFPkKBRLAtVz6fRBcC4Jo7NaPSZ3NN1,Blue,Ski Jacket,No Traits,Blue / Peach,Roman Helmet,Ape-le Juice,No Traits
3449,150,1982,0,https://solanart.io/nft/6qJVgfJHtFFbu7n7ZBFtuqrQmWqxB4JkEVibYJbydAC4,Black,Hawaiin Shirt,No Traits,Black / Peach,Baseball Cap,No Traits,Gold Tooth
3487,150,5015,0,https://solanart.io/nft/6H4dSSwJivkfro1L6mUyGadKRQoUZE2NzBFAKC1E8bDC,Yellow,No Traits,Aviator Glasses,Green / Peach,Fireman's Helmet,Pizza,No Traits
3491,120,1238,0,https://solanart.io/nft/FJzXeLGk57qA1rsQhhFBq572tWgdygsFFA6XWCH13vL,Teal,Overalls,Aviator Glasses,Green / Green,Conical Hat,Hotdog,No Traits
