id,price,moonRank,💎 score (%),storeURL,Background,Clothes,Eyes,Head,Mouth,Teeth,Type
271,0.075,155,85.9,https://magiceden.io/item-details/29dW996ekQFXVwhYJ7HeC48Vue7AMr2nUG8KVCvn3vwm,Purple,None,3D Glasses,Red Hat,Blue Vape,None,Dark Skinned
284,0.5,359,63.56,https://magiceden.io/item-details/HSY1FtkFG7x61Je4i5G2aFNf3UwJ1bcHQPUEUWfjeKRp,Pink,Black Hoodi,Black Glasses,Blue Bandana,None,None,Green
286,1.5,226,65.36,https://magiceden.io/item-details/5AYZmoNAmeFEPiuPkuT1pz4DTw7JDskfmca9NzApJD32,Purple,Builders Vest,None,Camo Helmet,None,Steel,Green
289,0.9,293,65.41,https://magiceden.io/item-details/GY3w2Fo11uP7cgihrr7AYj3cG48MJz9hgTdLeovi3pMF,Pink,White Hoodie,Black Glasses,Black Backwards Cap,None,None,Light Blue
297,0.4,89,88.51,https://magiceden.io/item-details/6pi9J5X8qewxdV1wSuCSCWDaL6xGyoJRUG3g6XtxHeNL,Burlywood,None,Terminator,Red Hat,cigarette,Steel,Green
311,0.05,170,84.82,https://magiceden.io/item-details/7zuwscQc8HyVDjSbYxFskerVn2MSG1TUNrLrQfaN7KvM,Light blue,None,None,Blue Bandana,Blue Vape,Steel,Dark Skinned
313,1.1,309,61.99,https://magiceden.io/item-details/vbZ9GzrJ6GS5SVEW66jF5U7hm9FgqDMErRFuBYju3fD,Green,None,None,Afro,cigarette,None,Light Blue
321,1.1,206,71.13,https://magiceden.io/item-details/ECpYuvdYdgBr6RfVTa77bEkRTwfvLWVS74MzVzp6APos,Pink,Black Hoodi,Yellow Glasses,Red Bandana,cigarette,None,Green
332,10,92,0,https://magiceden.io/item-details/BBUZ1WZNVxuxU1e93HvErBv8hy18b52v4bXaYATjfurq,Pink,Sweater With Heart,None,Red Hat,Cigar,None,Dark Skinned
336,0.3,164,82.85,https://magiceden.io/item-details/GhSq3D37tp6sGJtJnZfaUUqtXH55GH4CjT57U1xuKs7K,Burlywood,Magician Cloak,None,Afro,None,None,Yellow
345,0.24,124,87,https://magiceden.io/item-details/6EEEC7oLxUAZphfL8pCQyNnj2gHxs4NosiAvPcCbkEpP,Light blue,White Tee,Yellow Glasses,Purple Backwards Cap,None,None,Zombie
347,6.9,321,2.93,https://magiceden.io/item-details/GGnvsbtxyovqfRg6cqxUUJWDQ37bMutft8DDxya9nPcU,Light blue,Black Hoodi,Blind,None,None,None,Light Blue
350,0.25,253,75.46,https://magiceden.io/item-details/EkvZRza1Aq1UoJqsdFjSeUJFaowaLWXSShMacTbY8EZ7,Purple,Black Sport Suit,Eye Patch,None,Blue Vape,None,Yellow
355,0.4,200,78.66,https://magiceden.io/item-details/J1dVBtnFkku9Ha1cdLmgQswTM7pCc8dJ5pTqepiNAo77,White,None,Terminator,magician hat,None,None,Light Blue
