id,price,moonRank,💎 score (%),storeURL,Background,Edition,Eyes,Head,Mouth,Outfit,Skin
1586,10,1642,0,https://magiceden.io/item-details/tYJTMPqZZxeDK1aiyFErABrUqBmrvyvd7YuoQFkuzZ8,Orange,,Blank,Safari,Grin,Shirt Camo,Natural
1605,1.5,1096,86.81,https://magiceden.io/item-details/GFoWJmmxscKSDBKtcvz3ao3vPFUoD9hRhboH58et74kB,Amaranth,,Jaded,Captain,Fangs,Hoodie Light,Natural
1633,0.99,1418,90.24,https://magiceden.io/item-details/HzKavcaaxpcR225vizJzAxX7FHNrEnVxtMvxfgYaR2NZ,Blue,,Scar,Afro,Smile,Sweater Light,Natural
1797,1,7694,57.59,https://magiceden.io/item-details/Ds6gYxfb7vxUMW3uskTrioXoku7x8L6HzLtTh1i5F1rp,Sand,,Jaded,None,Grin,Tank Top Pink,Natural
1815,1.1,2489,83.59,https://magiceden.io/item-details/DZWF5h2U5FSFnVC8aWdd9FS4aNbSWs2b1mGTmy2RminA,Blue,,Blank,Safari,Closed,T-Shirt White,Natural
2053,2.24,576,82.11,https://magiceden.io/item-details/AhCiZjfaTSnRb6HaV8jmS6ZH7P2juen2jHrQmkDqcWtL,Straw,,Eye Patch,Astronaut,Smile,Tank Top Pink,Natural
2062,3,929,72.68,https://magiceden.io/item-details/B5NZaarGpDsxhR6qsmKabhyYoKE6PraCKVJxz7zfA8Dq,Amaranth,,Shades,Viking Dark,Blep,Tank Top Purple,Natural
2072,3.5,724,68.74,https://magiceden.io/item-details/B1T7bgeawXusjU55xJS8fHV6sLydubq2peURRxWYAvYc,Blue,,Standard,Backwards Cap Dark,Beard,Scarf Striped,Natural
2138,1.55,3246,75.16,https://magiceden.io/item-details/3NXMfMwJKYnBzMgj8qgsyXTge2KpbLzRXCkRDx8YsBUD,Champagne,,Thug,Backwards Cap Camo,Smile,Scarf Purple,Natural
2187,5,980,52.42,https://magiceden.io/item-details/EASxkDea9zKQnPT7Kzke3vyCuJiMp9GYXvgfTtLtFBqQ,Sky,,Mutated,Halo,Closed,Shirt Flannel Blue,Natural
2255,11,1153,0,https://magiceden.io/item-details/GeehE5mRG16bb2gPij5SzDS9B4RfYo8fo3uniqthPMBo,Straw,,Angry,Viking Dark,Smirk,Tank Top Purple,Natural
2448,1,4510,74.1,https://magiceden.io/item-details/AoHbcraMhYYiRY9oexvXHs9pHwBPJqfTz8eQ2NZzJubY,Yellow,,Scar,Bucket Hat Green,Smile,Sweater Red,Natural
2509,1.1,1625,88.07,https://magiceden.io/item-details/8APribqq2qDeMPdPcZGxwiMHatvzrT8RfbNBGKkps48u,Persimmon,,Jaded,Sportsband,Beard,Shirt Flannel Yellow,Natural
2645,3.5,2324,60.44,https://magiceden.io/item-details/4zPHoBNtbRDrhjW8tfnp7bavti5t4fy1o9bYQbcsGHtG,Straw,,Standard,Viking Dark,Smug,T-Shirt White,Natural
2733,4.8,967,54.48,https://magiceden.io/item-details/DP4xe9ESh7j8t474AReYghJLNszjNvwAoRkNt1b8PgTG,Mint,,Jaded,Crown,Fangs,Sweater Dark,Natural
2736,3,2700,63.49,https://magiceden.io/item-details/DazoNZY11doqSccpDgHeEW8WgVAWp5dJkRNoKRpvpuTA,Violet,,Thug,Cap Dark,Closed,Sweater Purple,Natural
2770,1,7511,58.54,https://magiceden.io/item-details/91FAnniT2shMR94KSSB7z5ZT5NzbcueWjHmbeWqFGsQg,Straw,,Angry,None,Drool,Shirt Green,Natural
2810,1,7292,59.67,https://magiceden.io/item-details/DR6i4HPaWyzAif4y8jGnJpJAesZX7D9FaA6piemNmFt7,Amaranth,,Thug,None,Blep,Turtleneck Orange,Natural
2908,1,6601,63.26,https://magiceden.io/item-details/89zUzhDHVpCwU5NChTMfZ33qh4DFD9Q5RPsaR2JwRHZn,Emerald,,Standard,Backwards Cap Camo,Closed,Hoodie Light,Natural
2955,0.99,1541,89.61,https://magiceden.io/item-details/CZDkjXRyregPJ4xxryaTDvkRkDTnvp2jcuimsPYrbtsJ,Champagne,,Shades,Valet,Smug,Tank Top Pink,Natural
3097,2,2778,73.09,https://magiceden.io/item-details/54FXQMaDaLrTKcedi7dzKAMsPxPwsUArbztHVNX9M4hv,Orange,,Mutated,None,Beard,Hoodie Pink,Natural
3102,1.07,962,91.81,https://magiceden.io/item-details/6SHGSZKBCn8v8iPZ95yPqfpggQ6djUi9iDxvQtvbaTeG,Rose,,Raised,Headset,Smug,Shirt Pineapple,Natural
3127,5,5954,26.61,https://magiceden.io/item-details/9BBEDdQTzhimr7qbjwieQYRdNABi9txqaW8CvUm3feQP,Emerald,,Mutated,None,Grin,COPE,Natural
3179,1,3828,77.64,https://magiceden.io/item-details/7ka7B41rowpLFvay2P1ZCK78r3tPFA4W55SyXZWkxCiD,Violet,,Thug,Headband Patterned,Smug,Scarf Red,Natural
3184,2.19,698,81.98,https://magiceden.io/item-details/4a6DsUM4UxWbnEpRpv8Zr3JSHWxx45Q3q25zvRk8mjZQ,Rose,,Synth,Viking Dark,Fangs,Sweater Light,Natural
3247,3,2865,62.64,https://magiceden.io/item-details/7uC5vyQY3Tu5xX9eW5C218pVUpLoZ67utUS2YXhe9XUi,Rose,,Mutated,Headband Patterned,Fangs,T-Shirt Yellow,Natural
