id,price,moonRank,💎 score (%),storeURL,Background,Breed,Clothes,Eyes,Face Decor,Full Mask,Headgear,Lower Face,Mouth,Whiskers
900,0.2,478,93.44,https://magiceden.io/item-details/EGZjX61EyQDooaiNwKy9s8wi8ShkCme495YLvqQ8eSTS,Lab,Siamese,,Scar Sad,,,Antenna,,Robotic,Electrified
905,0.25,2937,63.33,https://magiceden.io/item-details/544WWRqNwJps4K7358cko6mi33L9v2D2gTqfrdqZcS7k,Cyan,Bengal,Pilot Suit,Evil,,,,,Shocked,Messy
995,0.3,1534,79.73,https://magiceden.io/item-details/F7oTJmcTdEXzfCRZsuJeBtNghW9Py4dEM9MusW5GCMJ9,Navy,Bengal,Cyberpunk Dalai Lama,Beat up,,,Army Beret,,Happy,Messy
1046,0.13,2686,67.55,https://magiceden.io/item-details/8izSUpYQ2Jyp5XRcV1X2NFS6wCydpRuupq2YzTL1iYEE,Yellow,Siamese,T-shirt,Happy,,,Tinfoil Hat,,Shocked,Two
1047,0.3,1610,78.81,https://magiceden.io/item-details/8hf7QHVQLZjEYftFPmsJqXaa3poe2JiLK6WbRVDwne6d,Yellow,Black,Patient Coat,Love,Eye Patch,,,,Happy,Messy
1059,0.13,2283,72.41,https://magiceden.io/item-details/A4d7Cb4MaRKaGA9wVbnyXPR37LqXXkHTDYGAtxFppVu4,Lab,Persian,Superhero Suit,Beat up,,,,,Excited,Thick
1088,0.25,1280,83.28,https://magiceden.io/item-details/DMoYgZfW7f6ArtND5hcwbgyDECYYrTUVzRUBY1Cdrz3z,Magenta,Black,,Love,,,Mohawk,Bandana,Excited,Messy
1171,0.3,953,86.72,https://magiceden.io/item-details/3Fc3g7QnYtGLVbSywkznXfiYq3qaLrXs6NGQ3d6qJ2rH,Lab,Zombie,Cyborg Technician,Disgusted,Monocle,,,,Standard,Thick
1375,0.2,3139,61.4,https://magiceden.io/item-details/AQ3de6NPit229ZRNc6ufVN1qFRJbtihooonQBJeNssb9,Classroom,Thicc,,Crying Cat,,,,,Excited,Two
1407,0.18,3068,62.46,https://magiceden.io/item-details/CUZJv9bA3m2QZW2gFRGNSr1RbaeTjMdsuAnNzL7CFHUn,Magenta,Spotted,,Sad Crying,Eye Patch,,,,Standard,Two
1498,0.27,2383,69.8,https://magiceden.io/item-details/4KTEsF7HHH1myVnnDPj96MYgGsGZhRbX4ycExDfRg7aK,Navy,Persian,,Tranquil,,,,Oxygen Mask,Happy,Curly
1576,0.2,3271,59.81,https://magiceden.io/item-details/CeSuCtZo3MBaFFsXRkKDxgbzTyMexjiB7YqRZcEtEszi,Cyan,Spotted,,Tranquil,,,,,Happy,Thick
1759,0.13,2685,67.57,https://magiceden.io/item-details/5Yvq4zitmaW4ck4ZiDTPUEku9RtTVxm2MNvwESdwmP7C,Night Blue,Siamese,T-shirt,Happy,,,Sandwich,,Happy,Two
1766,0.21,805,89.4,https://magiceden.io/item-details/F5dXUrFFE2VqHYXwpLtTr725gcWuao6Xqba5b5cPiGe2,Cyan,Bengal,Mecha Enforcer,Bored,Steampunk Goggles,,,N95 Mask,Happy,Curly
1775,0.12,2498,69.92,https://magiceden.io/item-details/G5c4V48Mpf83rjXGUrVYh9CfUFaNcnY8NUU24Vp5nFde,Night Blue,Siamese,Hoodie,Amazed,VR Headset with LED,,,,Standard,One
1805,0.12,1609,80.62,https://magiceden.io/item-details/FCeoSryGoCGvk9Mro4d6sLzkPaZ3G82rap8db61rbaYJ,Dystopian Ruins,Bengal,Bling Bling Necklace Silver,,,Mecha Pioneer Head,,,Shocked,
1818,0.25,1536,80.2,https://magiceden.io/item-details/9WBkrEv73zTWBSQdw3U5ECzWqSu14fUNaQUumPSwDxcR,Violet,Spotted,Mecha Technician,,,Mecha Pioneer Head,,,Unhappy,
