id,price,moonRank,💎 score (%),storeURL,Background,Baloons,Crystals,Dome,House,Lower Floor,Original,Upper Floor
1844,0.1,1656,68.57,https://magiceden.io/item-details/GsH5CXpuayiBHaYUhtLD5eRWV3ggXmc8oJAXdk5Uj21h,Space With Planets Variant,None,None,None,On Sale!,Green Crystal,,Solana City Red
1846,0.082,2106,60.42,https://magiceden.io/item-details/ExA61ssx3rc4U6mE9YEBHCDVenLppzinHsGL7mvvxPgj,Space,None,None,None,Gold  Mushroom,Blue & Brown Shaded,,Stones
1847,0.1,1472,71.97,https://magiceden.io/item-details/6vsY45RAtyBRfzq5rCfyWL8owdFzKUT7PmByknjWUEQn,Space With Planets Variant,None,None,None,Hammock Purple,Brown Shaded,,Pyramid
1848,0.1,366,92.42,https://magiceden.io/item-details/96YL5WHo5ZB14BWy9xJDM8FFdCWPfCicheUWxzX5S2fi,Clouds & Light,None,Tanzanite,None,Dimensional Portal,Green & Purple Shaded,,Blue Basic
1849,0.1,271,94.18,https://magiceden.io/item-details/GzZ63fkjG8yyWXFuK8PnTcRxVD6e5e51VXVDhxyP8XE,Red Sky,None,Gold,None,"House, Store &Tree Red",Green & Purple,,Blue Lava
1851,0.1,462,90.65,https://magiceden.io/item-details/HQ6k6YKhw8iXM8NC6vyXLePruN7tVPTqCMnZnUZLJGNn,Clouds & Light,None,None,Water Dome,Orange Light Tent,Blue & Brown Shaded,,Solana City
1888,0.09,944,81.83,https://magiceden.io/item-details/9d1PcpKbBjV598JBAoxf7YjRN5LuqJHsrTfkhYiPzRt4,Meteors,None,None,None,Portal,Rare Crystal,,Pyramid & Markings
1921,0.042,2119,60.58,https://magiceden.io/item-details/3FsmHbpbBzDQTQW7CmyEx6AcKQjty7GV4Qom7pEw6jH3,Heatwave,None,None,None,Orange Light Tent,Blue & Brown Shaded,,Stones
1925,0.06,1389,73.9,https://magiceden.io/item-details/5GkCxu6qizLNT2KucYhZPPhq5cBoDmW8ddRSbaRRefA2,"Space, Stars, Planet Moving",None,None,None,Dimensional Portal,Green & Purple Shaded,,Snowy
2190,0.1,1262,75.85,https://magiceden.io/item-details/DqmogANyabHE8dpjtbzcd2JQ4WstEpz77tCZdcDDgK3b,Heatwave,None,None,None,Yellow Mushroom GM,Ground & Tourmaline,,Solana City
2196,0.1,1641,68.84,https://magiceden.io/item-details/4zNE2Csyz14AbYThS8By35LrsmhDyrVd6cNjw7vyVwD5,Space & Planet Moving,None,None,None,Hammock Purple,Purple & Green Shaded,,Pink Stone
2197,0.1,1226,76.52,https://magiceden.io/item-details/6kMupvpLntudDqp29y5fkYpeK6yqCfANAPiEQtgDdRs3,Space With Planets,None,None,None,House & Store GM,Brown & Blue Shaded,,Gold Stone
2198,0.1,476,90.39,https://magiceden.io/item-details/2CYsm1gnUsd9KhUNQ4fjPorg88DPR3GdBsbfsj7RbKV8,Space & Stars,None,Tanzanite,None,"House, Store &Tree Bloom Bluish",Brown Shaded,,Solana City
2204,0.1,809,84.23,https://magiceden.io/item-details/ADHm69vTGZAR3Z6WXqskiB8Ez4Z89T1PggTnxWgZYV26,Dark Moon,None,None,None,House & Store Purple Variant,Golden Ice Chroma,,Basic Stones
2205,0.1,226,95.01,https://magiceden.io/item-details/65jFxayn52FLbY2MFtUyTovP28od9DbHewh6NTHYFeYU,Clouds & Light,None,Tanzanite Rare,None,Orange Light Tent,Golden Ice,,Snowy
2206,0.1,1434,72.67,https://magiceden.io/item-details/CCSQWmbTZLdxY4J193thdZBwAKtCWDtMa1dic7emTZ5T,Space & Planet,None,None,None,Golden Sword,Redish Crystal,,Green & Pink Lava
2217,0.09,1571,70.24,https://magiceden.io/item-details/FM5GGnGh11zNxiDw1NZRH7yaKvbgZqWe8aMwvwQo4qc2,Moving Space,None,None,None,A-Frame,Bluish,,Blue Basic
