id,price,moonRank,💎 score (%),storeURL,Background,Body,Clothing,Face,Hat
569,1.5,2086,55.16,https://magiceden.io/item-details/7TgfG9k89cy2hRc1pzsSztF3Sige91WziLVE6DXdxDQh,Beige,Blue Kitten Skin,Knight,Happy,Ninja Mask
600,2,1525,60.34,https://magiceden.io/item-details/G8WEfbCmX31iVQUKM2JpaehR9mYx9Qi1mcUq1wWSPwqt,Blue,Blue Kitten Skin,Suit,Hearts,Frog Mask
613,0.95,1065,79.18,https://magiceden.io/item-details/454FoyYstJ4Xk8tXo3pEeCz3yDTvGW6YpoypoTbZLdEo,Blue,Blue Kitten Skin,Purple Sweater,Devious,Medieval Helmet
616,10.69,286,0,https://magiceden.io/item-details/4ghQ6NpxNaJizeao12x8MyUkgSQ2xXFihdYiWpDdiyru,Blue,Blue Kitten Skin,Gold Chain,Sleepy,TV Head Face
619,3,891,61.84,https://magiceden.io/item-details/7wYJa6N3d23X2C9soQxJ4t3Mn4ndato2n59DBr8HsRGz,Blue,Blue Kitten Skin,King,Devious,Red Apple
632,8.5,56,21.98,https://magiceden.io/item-details/3vNvCpr14eGPUm2rbc8v2JbhaynGfVodphtWeUuRmeGW,Green,Blue Kitten Skin,Ninja,The Cool Kitten,Halo
638,9.5,43,12.22,https://magiceden.io/item-details/BK3jvRZusah5sUoBWB75iUQfSPh5CNg7q2B9A71SK9on,Pink,Blue Kitten Skin,Green Sweater,Diddo,Purple Flower
654,5,1579,29.36,https://magiceden.io/item-details/EEFu2QXuTAtfsB1HL6BpkBVsvbRLjmEWwZnwJMe6beQZ,Orange,Blue Kitten Skin,Epaulette Black,Blue Shades,Pink Captains Hat
661,8,1746,0,https://magiceden.io/item-details/76i4QuYycNTCQGuBapo5SZf2iCzuMxJ1v4zKDuRRZGq,Blue,Blue Kitten Skin,Ninja,Blue Shades,TV Head Static
673,8,1586,0,https://magiceden.io/item-details/7zMdPCwqRSUbtsgQ9PfYMLs5gcHRpVSFSin7j3wfu2W6,Blue,Blue Kitten Skin,Yellow Hoodie,Blue Shades,Egg Mask
698,1.7,1608,61.83,https://magiceden.io/item-details/8fNMgJPoZUG4a2G7B4htFfg8ibshPhnaxrGrjWL5bDUg,Pink,Blue Kitten Skin,Flannel Black,Sad,Pink Flower
700,5,711,45.1,https://alpha.art/t/6s4DaJgmGNDSpzrnh87BnHiAoQgNcNGiEVsJENZuxg7o,Blue,Blue Kitten Skin,Yellow Hoodie,Gamer Goggles,Red Bow
734,1.35,2052,57.28,https://magiceden.io/item-details/5yLsig5gfEE3g2uqcqr4eLszPaa3veMWAqNrZmSVtTaT,Blue,Blue Kitten Skin,Flannel Black,Devious,Red Apple
738,2,1824,54.91,https://magiceden.io/item-details/CBu83xiBmueDjDX1v4Zjv3Ce6AcE8XCqAJRYq7FEJCSF,Blue,Blue Kitten Skin,Tiger,Blue Shades,Egg Mask
743,4.8,279,54.94,https://magiceden.io/item-details/5pDUFgkJEBARMaa2koBdPbx6355YMvn9MfeaCfuaDeUA,Blue,Blue Kitten Skin,Knight,Sleepy,Rainbow Unicorn
756,2.5,36,82.35,https://magiceden.io/item-details/Hr4XL9U17wUJMrsyzDfejnYxYsN9UUVifSVRrkoUfrq9,Purple,Blue Kitten Skin,HotDog,Diddo,Frog Mask
765,2,421,80.36,https://magiceden.io/item-details/HU2pKNoztUJrsmTuz53dGhtzQo1bCNRLLqq3XBcwCrv5,Pink,Blue Kitten Skin,Epaulette Cream,Cat Face,Red Bow
771,5,2067,20.5,https://magiceden.io/item-details/HUBXhpG7LiqfAKnrw9DuibtgQwUiZkv8b84mvFFd3Bep,Blue,Blue Kitten Skin,Ninja,Blue Shades,Pink Captains Hat
