id,price,moonRank,score,storeURL
1209,100,1387,10947,https://alpha.art/t/CzkCAv7AAfUJ2wHBwoQmeSACgnqLMYXPLUkyMVNmJ7SG
1236,12.3,1843,2633,https://alpha.art/t/8j2pbRuXBYPmUHPHfJYMXQRGUQZJXcYzLET91UhpHiYy
1258,6.4,3553,3753,https://alpha.art/t/CtfeKo8Dq6XyV8Kgsjt7XkYBfUMvYUAUwccZSMC87gmb
1260,6.3,6802,6992,https://alpha.art/t/GjcWMjVqeocydjG55BjBtLfrD97mgk4xbdaDB7Y7W4Lg
1264,6.4,6436,6636,https://alpha.art/t/HuxhUDttxsEmY6icMNj57Vsc6cwRsgzbsmcWwYbFG4ML
1297,6,2038,2198,https://alpha.art/t/JAZSL7V9ZkxrRaw7fPCpHxiz9iNq3fS6p8C1fyXBGqoF
1299,16.69,7527,8756,https://alpha.art/t/3mzWu9tBiMCvDHhWtXjys5KrQouRiQe9KPh7CtzA2jGN
1318,10,1110,1670,https://alpha.art/t/7ssFhZ7GsKystYf9YpauuDvEoCevp1FtGwxNr1P4psGq
1320,5.6,7380,7500,https://alpha.art/t/GPJYxeW7rhSRMiggCxXytjo6y8uxxfpqjzFvGirMMnYR
1322,8.41,7996,8397,https://alpha.art/t/HVuV4XypW7Zhi1emreFHD49ey4fVVh15emMJxyEdczGG
1326,6,8680,8840,https://alpha.art/t/FTVt89idDNFSJs87VZVArVgtCUnUSM62apJfngCz3FEt
1337,8,3217,3577,https://alpha.art/t/12DLpsFdqLXpjYhFGjFwnKQW6ystUGsf1p1niiSQyXWQ
1352,69.69,3416,9945,https://alpha.art/t/G1e2Zt3grcy8h2DF6cCDa1mW9BCDooQcKWMGTKkJ8FJw
1374,550,1402,55962,https://alpha.art/t/HpqPvdi8FV87iHzPHjhNdhQXphrzpfGdptzoduy2djAQ
1383,5.6,5218,5338,https://alpha.art/t/qcQ6GM8CBZDRu5QYJ7awTt2KtVaVZG2V6iZNuQrPmVk
1405,450,92,44652,https://alpha.art/t/Dc6qc4LMWz2Qyb4r8PveFk3B6zDkycwgwktW6aQDgRSt
1406,38,6782,10142,https://alpha.art/t/HSPc5vHgwiHKTjj2DDfn7952naw3p7VUzdP68ZDGAxdN
1412,5.4,9303,9403,https://alpha.art/t/G3iNbLGSFUNKvEDcohBJ1xtmBAQobFStGM6fYiRHYDEX
1413,6.4,1219,1419,https://alpha.art/t/Gu2TeRzf8Ng7dD4Z42A6E3oxUSrZsTBLzRjpU2RkLgfN
1424,6.5,7659,7869,https://alpha.art/t/67KTnd36FDKo2QL9gzyVwv1kYtmq88d2jocy7v6ntAvi
1442,33.299999999,2935,5824.9999999,https://alpha.art/t/5oK7BWi3MrEiaCgNTbPTs1mHPrEk1bksR3Lp9bV5DJjr
1471,5.6,8256,8376,https://alpha.art/t/GWDRQTTPEPuUWpNVKf1KnMXWf6xPrBVBLeSwcwj3ejdX
1483,22,8522,10282,https://alpha.art/t/G2fRvqRVzz4Wd2Jr3NsiMDD1AnQDuMkMPBD8vGZV4VSa
1491,6.66,7515,7741,https://alpha.art/t/CxL3SHZVV91rCc9f3BmtjP25VhsYTjakkMVo5fX4d2wV
1492,33.299999999,4786,7675.9999999,https://alpha.art/t/357hAqgreFMBtfP2GvVgY5kP8f4N9vNoDSQ3w6dydV7o
1512,5.4,6435,6535,https://alpha.art/t/A42dd6tmXjxQ2GTTJciMtTEh5jYbjbi4Rzt9bJSW6NvJ
1514,7.77,9526,9863,https://alpha.art/t/G7W1c8UYmyJjBufuGWMLvY88zKNPVhGfhSXjbjAWtLtN
1555,7.69,4620,4949,https://alpha.art/t/7edY59cc52wn72GiY7hmWRYMsT6VkZbKcgYSSNbA1g3e
1580,9,8279,8739,https://alpha.art/t/5ZenUYt7ezy3kcLhxgWYCcqGRhkoaZc9yuLSyPKxZkuM
1607,10.6,4238,4858,https://alpha.art/t/DZizrYc2jySsmc3RbDtepWAiDCkZHJ1heHeg4oc3kAE2
1625,19,8193,9653,https://alpha.art/t/C1hbQFRjVJWV9QGzwFTNThUs8gYquV42Un4cWwoNtWdL
1633,6.66,9264,9490,https://alpha.art/t/6R7YLTt9uKhhKwhjU1AVcysGUzaFxLtcLbMkKmrFR5JM
1640,10,3441,4001,https://alpha.art/t/9s8pycWHdTmCtRaxQFW5GemL82RmgUkK2Dxj3LGmDEX9
1644,12,5914,6674,https://alpha.art/t/3vVbkq1iRpnNJYosHHKUmggA5vDRFizgLKZQ8hgKes9t
1645,50,9276,13836,https://alpha.art/t/2QtvRUG1AHQkJATpEebKEpSmPjFcxK4NCGb3ZWesRc11
1654,111.11,638,11309,https://alpha.art/t/A8taAYrKsX1BYkByQMzc6B5zcajufw6GD266JkaudQ22
1676,11.11,6081,6752,https://alpha.art/t/5JgsfhC4qsGkWA2EBMEDKpvX7n4oMbxyLzHVpSqsJNy3
1704,54,3596,8556,https://alpha.art/t/7GfDXbQeDCkU6eVhK8Vs13bafABtCZ1vQrGWvA3tNSRv
1725,13.99,5469,6428,https://alpha.art/t/DR3CZrZDpFFeeGyWDsgbucmu8sWRazDS6NfKjs4kf4qV
1726,5.69,3242,3371,https://alpha.art/t/BCQmtjo2LqEYzPb4XeJ2yrrgonn7BttXuYeXtCPwjRBQ
1727,6.9,6078,6328,https://alpha.art/t/DA4bEdfPfwY4Xj2awK4WCEgV6ehTSzQFNgJTZ19uzrD8
1737,10,8946,9506,https://alpha.art/t/7mPBhWSE7TjiY2AVAk3iGGvpNcXB3uNecHKAQrHubF49
1751,5.32,8535,8627,https://alpha.art/t/AndcqWfYa6Xa1YJcLFgKgsPVbXyGYsmFQSMxdqNgsa2K
1773,6,1717,1877,https://alpha.art/t/EjEFjxRRFyjVsg58oLKo4gQqHnaWouqA8Kib6K48BUYx
1786,7.25,8654,8939,https://alpha.art/t/ExvoSttLCFVWvfJFXUoA24NPzZPydmrhTPNfVwRFA9yE
1790,32,1902,4662,https://alpha.art/t/9aegZFvqGRfgUXqV6rsujrfwyb59GTAEhLZvUYgjKef1
1796,12.69,1190,2019,https://alpha.art/t/BbR4HtCoghiEPuBFi8Kgs34ucEYtsarBimp8jRtp9pMu
1822,6.69,9112,9341,https://alpha.art/t/4tn67gFa9DdVn8Ux4pNRstgGFFQPQLNGBHdAZfaWEiQ5
1834,6.66,7294,7520,https://alpha.art/t/En1Sa48cAJ6mXSWvrgiNjLmfpuGjWGGHyBxA9VgWoXjA
1836,25,4594,6654,https://alpha.art/t/Ba5fkqbF6VExXr2c7f9ooKoCgJQgjs5EapvZ4WKqP34i
1864,39.33,4632,8125,https://alpha.art/t/eMeWmNSwgzDyKwHHVbvT6UfQ4KSoZbsxauna8mhXqMx
1889,80,1604,9164,https://alpha.art/t/FNopyaNtPcsQjKFsYiXsHk1CXr9FSFimLqGao2V1HcmA
1898,6.5,4082,4292,https://alpha.art/t/9dkru1K4TjVTGYg8YWAcmeoKrca7HjHboeZKsHj8f2EV
1906,14.99,9350,10409,https://alpha.art/t/8iyR4oR9hSUW9DYwAYTSpHg1HtuGgZfKVKzjfTLNmapu
1929,39.1,9613,13083,https://alpha.art/t/2VfX6tP5iY4yC5zraEAbxuQAwwn2HM8ga9DCgpg4d4jX
1937,14,3283,4243,https://alpha.art/t/4cNp7FqPNSeWRYdKSswPnjfFeUo6TSDUaAGzTMJWyV1m
1988,50,769,5329,https://alpha.art/t/DhrEstnPKmTC9ESnLKmnxBiiRrUxDwhnRu5K9SbMSz7L
1994,10,3043,3603,https://alpha.art/t/6TrmPJtMNoPhX2biVPN2xotAjuW6ME5m4jFmmJX7Rq1x
2008,16.899999999,2620,3869.9999999,https://alpha.art/t/6dpjxpvz21QTFUVsygxGg9fM1wh8hRcVm66417BmthmB
2009,21,615,2275,https://alpha.art/t/Bb7JCyL39RzgZcTCE3V9mfqW3HE12BHywTXWhcQ2zgPU
2059,6.99,494,753,https://alpha.art/t/7Zhr9KWyx6R8psmkmFaTWPZnzgZUvgCjgzpWRUcdM9c5
2072,12.5,9099,9909,https://alpha.art/t/DCH6WfFFByKq1AK48nRBrGxhK9ux2pdW8e9aHCHr1kx
2121,7,8517,8777,https://alpha.art/t/HLEwp8BHFnnk83wVQ7zGAaSUnNV6wYwcMPFu5w9TXbtS
2224,9.4,898,1398,https://alpha.art/t/2x8fG4UPxC9NuEChJLDdhtxPpMMjy2oXSpXQQfXVJG1x
2226,17.9,48,1397.9999999999998,https://alpha.art/t/2pxqtpGtjWQnBfToanWuywF1jPqgT8L5QtftbqcVLCYN
2227,8,4739,5099,https://alpha.art/t/9fEjmDU2DPNpXf2FTybnyUfAUKDbgMf58DaG8oCcjm6U
