id,price,moonRank,💎 score (%),storeURL,clouds,far object,foreground,horizon,midground,near object,sky,sun
808,2.2,763,74.81,https://magiceden.io/item-details/EBoxftYJRfzLr98sjBBusLNY3Hgz6CSjaVbCnE5vZhFg,red cirrus,birds,crag top,rock mountain,cristal lake,owl,turbidy,big sahara
809,2,561,78.63,https://magiceden.io/item-details/29RqU7zAg6m2pbzWtkootg2mscmXY4hLXkzdqAa27h4Z,none,rainbow,crag,none,lake grid,cyber ronin,chernobyl,normal bright
813,24,546,0,https://magiceden.io/item-details/5jaESi4fN3rnXnDS3iSU8ji9wTCT2Nk4ycG5CvG5yDjV,stratus white,big-moon,dirt road,dragon castle,lake forest,motorcycle,green,normal bright
817,1.25,468,86.97,https://magiceden.io/item-details/5zxjPF7LMRHBX4gKZHNGEnExBST6TNFr8WSr9tnoQxp9,balloons,moon,coastal,industrial valley,beach,tall grass,cyan,sahara
830,2.21,1427,68.71,https://alpha.art/t/F677eEMYwxRCV2sr1JWSwZJbJDcdTGxvqHfekr7pnRo7,none,train,crag,none,cristal lake,motorcycle,chernobyl,west coast
831,9,354,10.5,https://magiceden.io/item-details/5UoDrF7EBJPHYPN42KhKgSTg63qfizWFqSLqDTvUBk58,balloons,rainbow,high road,coastal,cristal lake,pair of pines,chernobyl,micro bright
832,5,2192,33.9,https://alpha.art/t/h684SHWESKSghEKQqnBYj8KpKEAFCtVrQhupy4CLkUT,altostratus,comet,crag,rock mountain,cristal lake,david columns,pink,micro bright
833,0.72,2520,73.74,https://magiceden.io/item-details/6xwnVnpd1qazXZVFw2iomCwZadTrMFm3reZZQw2xD3xi,altostratus,moon,crag,vulcan,cristal lake,palms,sahara,west coast
836,0.666,3410,66.24,https://magiceden.io/item-details/DZAya34Kc3yPQXHMKjsvRrbwtkQWu8Hee5ZuWTeVVjTe,cirrocumulus,moon,palm springs,forest,beach,none,sahara,high warm
840,3.19,2574,48.55,https://alpha.art/t/36BcK1GjVXVYPADCscT62X2C968eH2BTNG4qW42u1q7p,early birds,comet,high road,none,cristal lake,none,turbidy,solana sun
844,42,97,0,https://magiceden.io/item-details/DV2yrLcgvadJt1f49DUMDokCoyozKpR38qodq87RKBrw,stratus white,big-moon,huxley cactus,pyramids,lake forest,motorcycle,turbidy,normal warm
847,0.7,4374,57.2,https://alpha.art/t/8stxw6si6CENVE5a5hiWHkef2Efkh4JndeFnktfTSL2w,cirrocumulus,moon,palm springs,forest,lake forest,none,green,normal warm
855,3,537,68.85,https://magiceden.io/item-details/3V5JH1wNnqdcnsSq4Sc2tc5bbUHkEkzQpcS3TJxKVBL4,altostratus,moon,dirt road,arizona,solana temple,columns,tea,normal warm
864,0.8,3957,59.96,https://magiceden.io/item-details/CBK7cSPfwe4ELP8dhrYXDCGNA1LUGwMmo25m9p5Pk256,red cirrus,moon,crag,arizona,big river,blue lambo,turbidy,normal bright
880,1,2394,72.08,https://magiceden.io/item-details/HA9jkna2cTRFmWoT54ukwt3KnwjSnP58qQDTjnCp17EA,cirrocumulus,tower,prairie,jungle hills,big river,frens,turbidy,sahara
908,1.5,888,80.68,https://magiceden.io/item-details/2t7xZ9pMu9obNvaMGgaEEfaTTpmSgn3EUKAHwn8JnzEN,altostratus,big-moon,dirt road,jungle hills,cristal lake,cyber ronin,dark blue,normal bright
917,7.7,622,21.08,https://magiceden.io/item-details/4DpeEHPRT9ctEGNmXRbU67ZQRxMZMWJ4xF7bz5DwBFmt,red cirrus,stars,pine road,synth pyramids,beach,blue lambo,sahara,normal bright
