id,price,moonRank,💎 score (%),storeURL,Back,Background,Body,Body Color,Chest,Head,Metal,Topper,Visor
1716,1.2,1526,77.55,https://magiceden.io/item-details/BQDpui43V9X9GxDbZkuoLUx1BSTmzfvghDyaC6kHHeLs,Zippy,Plum,Quadrid,White,Pump,Cyclops,Steel,Fins,Black
1721,1.27,2980,59.37,https://magiceden.io/item-details/D2jqruveHuNLELVDpSWjBZ7aMNRmg1L7TZNUMDx948nJ,Staff,White,CryoTank,Yellow,Grid,Atomic,Steel,Extensions,Black
1746,50,1336,0,https://magiceden.io/item-details/J6xBKgFSfVm5LN94LruDyhWXAzQyQwRAn7WKXtPX9WkY,Blasters,Blue,Breach,Copper,Pump,Hydro,Steel,Dish,Black
1755,3.4,636,66.25,https://magiceden.io/item-details/64HtFGSawFg9v2MEEMdboVe3hRGPBAK3sPmudJuJ5zsJ,Squidy,Blue,Issue,Green,Vent Pack,Aero,Copper,Overscanner,Black
1768,1.5,2517,62.64,https://magiceden.io/item-details/vSs48wNtxpNsV2m6WL2BqNo57HCZYdQTWrhbCjq7vVG,None,White,Heat Sink,Magenta,Grid,Flattop,Copper,Extensions,Black
1769,2.5,2400,54.04,https://magiceden.io/item-details/JBXZ7SifXidgamEn7wCPUM6JEiSjCR5WjQ36gmdcUcHK,Zippy,White,Heat Sink,Black,Steel Insignia,Hydro,Steel,Fins,Black
1774,1.28,1442,77.76,https://magiceden.io/item-details/GjrrP6qnZhgYP5xDhtSibgd7bLhCSzNJhPrM4eGJXz23,Volt Pack,Teal,Scout,Blue,Vent Pack,Flattop,Copper,Intake,Black
1778,2.5,684,74.67,https://magiceden.io/item-details/7RpFipdXe3F5k1A8kTfhC3fYarwePuE8fYVJZLW48Asq,Foils,Sage,CryoTank,Teal,Jolt Pack,Atomic,Steel,Fins,Black
1795,4.9,2993,22.92,https://magiceden.io/item-details/7bTjVJmD46AWfAvJRNQRC6xjgqy3zi1X24K41XWaNUcG,Squidy,Plum,Workforce,Red,Pump,Aero,Steel,Duel Antennas,Black
1805,2.2,629,78.33,https://magiceden.io/item-details/63ptFAxHSNDmoGzXDNW3rU8Cg3LeSNNaby4i6suqk1HC,Drip,Solana,Workforce,Yellow,Jolt Pack,Cyclops,Copper,Fins,Black
1811,1.16,2215,69.67,https://magiceden.io/item-details/EwpGpjjC1zdTwd9jwP5WGpZFs6qb2DRQQSehc4Po8JP2,Volt Pack,Black,Vector,White,Gold Insignia,Atomic,Steel,None,Black
1840,1,2145,72.11,https://magiceden.io/item-details/6LbxnXLec5oz4AhDP3UN4nsrkknxE6oSVJJWAybdUtWE,Minis,Orange,Breach,Black,Filter,Atomic,Copper,Duel Antennas,Black
1843,1.09,869,86.55,https://magiceden.io/item-details/FpiZQqvdz9UMm6hQEBYuq9uDTmcA2j51JaodG8vixAaU,Cryo Charger,Sunburst,Heat Sink,Yellow,Grid,Miner,Steel,Intake,Black
1848,3,535,71.46,https://magiceden.io/item-details/ETfM1vKtHM9goBtk5LPnHXozgxwihZxEYNAER5pSzfBw,Gem Sword,Forge,Workforce,Green,Copper Insignia,Slim,Steel,Extensions,Black
1859,2.2,871,75.42,https://magiceden.io/item-details/Et4JhrE7RfqidaKWUxsnVeQUeCFMZmd3BjtwL7qqfvzN,Volt Pack,Forge,Vector,Black,Jolt Pack,Miner,Steel,Copper Insignia,Black
1865,2.5,320,79.04,https://magiceden.io/item-details/GdTwMEFC28N2rhu82TtZ9eJdrqzDAT2WJ2vWPBm3k1R4,Blasters,Solana,CryoTank,Blue,None,Spirit,Copper,Copper Insignia,Black
1872,2.49,1430,65.8,https://magiceden.io/item-details/66DDxGgKo7pQCkbq4wUi5kVCQ3h8YbVr7EUvPMcpCHjU,Sector,Sage,Issue,Yellow,Copper Insignia,Airframe,Copper,Copper Insignia,Black
1875,1.2,2763,62.68,https://magiceden.io/item-details/CqHXGfYpHT61jSvHzbvQFGNsyyegXhop659P8FmMtZXr,Volt Pack,Plum,Workforce,Teal,Filter,Boxy,Steel,Dish,Black
1882,2.2,2546,55.29,https://magiceden.io/item-details/13XN6iqx9FgRYYCuHNC1T9SHqJeTFtNTzTHMRCeVKucL,Staff,Blue,Workforce,Red,Vent Pack,Aero,Copper,Intake,Black
1900,10,1970,0,https://magiceden.io/item-details/rBLu1JN7nrfgaT9R4HKiVnKTKbyYFvTJhE8NDDjSNFW,Staff,Sage,Issue,Black,Copper Insignia,OctoView,Steel,Fins,Black
1925,20,790,0,https://magiceden.io/item-details/FCv4SyNSikRgq9DiWHRviTAWUhWLxkQ6pw7zZVKHY8hi,Squidy,Surface,Heat Sink,Green,Jolt Pack,Grin,Steel,Duel Antennas,Black
1937,1.19,743,87.06,https://magiceden.io/item-details/EhBdubD5j9nqBmcfRYCcjA4895W9qw9V6VLQSRSCX3UG,Minis,Sunburst,Workforce,White,Facet,Aero,Steel,Gold Insignia,Black
1940,15,153,0,https://magiceden.io/item-details/H9i6Cvyr8i6m7JeW1ewRP7va2XXXZVhhtc8QUNBq7gUZ,Drip,White,Heat Sink,Sunburst,Facet,Slim,Steel,Intake,Glowing Orange
1953,12,110,0,https://magiceden.io/item-details/ShA4vnmh8UWut6pUWDtY7ZXbKjqDK4WSZ2qH7hK62ok,None,Solana,Vector,Teal,Copper Insignia,Hydro,Copper,Overscanner,Black
1962,1.3,2377,66.32,https://magiceden.io/item-details/8iHeeDtwYqvptce24vhKZfUdeWkDZzcWgqkD5PK3j263,Staff,Red,Issue,White,Copper Insignia,Entry,Copper,Duel Antennas,Black
