id,price,moonRank,💎 score (%),storeURL,Background,Body,Clothing,Eyes,Head,Holding,Mouth Nose Ears
3553,3,7682,41.85,https://solanart.io/nft/5FDnWz4C3GYkbhNJ2X1TqN2o8QoEnXonf1rJ5hJse4Tz,Blue,Blonde,Viking Clothing,None,Normal Horns,None,None
3559,0.8,2231,85.74,https://magiceden.io/item-details/BNnFtqXdJi7peGAc9fdiKFrUKfQ9cMidSqEVJB1i8YWD,Orange,White Scars,Suit Cream,Reading Glasses White,Old Beret,None,None
3560,25,4492,0,https://solanart.io/nft/AhF7KunukmXHSSfFrURkbUFz4WrwBxUrDSquBzp9P9vB,Green,White,None,VR White,Combat Horns,None,None
3571,0.79,1216,89.92,https://magiceden.io/item-details/FxofDkZvjvRLdpnc8353HmjQcKgWndZYv1uKPTM966AS,Light Green,Blonde Viking Tattoos,Sleeveless White With Chain,Protective Glasses Orange,Mecha Horns,None,None
3574,5,7498,22.59,https://solanart.io/nft/9eQdmswyjywSna51XNfJST7jPiW88StzFgCfvAcrYUxY,Green Blue,Black Viking Tattoos,None,None,Two Tone Horns,None,Gangster Toothpick
3579,0.5,7071,69.3,https://magiceden.io/item-details/3sNj11EEfoRD2Ecr6qHAeJA6Z1Z9DHphmbkyUg83vyXN,Silver,Orange Tattoos,None,None,Zombie Ax,None,None
3599,5,8967,16.69,https://solanart.io/nft/AAtXxwHJMKBVkH8pL1iLbienVAaxLcWTJ7FKbC3sX6h4,Red,Black Tattoos,None,None,Miner Helmet,None,None
3602,2,2249,73.67,https://solanart.io/nft/5raabcYccKpmN6zfvndURZi1qp9EQwBkzfuiHYza6NWM,Orange,Black Viking Tattoos,Pirate Clothing,Mask,Cowboy Hat,None,None
3606,6,3988,26.68,https://solanart.io/nft/AKMBZ6vsmA1pogyD2pYzxQYry9SyuPwr3RxZUu2mqy2S,Green,Red,Bull of Steel,None,Clown Hat,None,None
3617,1,9556,54.32,https://solanart.io/nft/3Yd6Fw161YH13Qc54Fhs8JyY8GYyFjJyJdUcjaLfX73r,Silver,Red Viking Tattoos,None,None,Normal Horns,None,None
3619,1.4,5709,65.77,https://magiceden.io/item-details/FotJU4KQBHFKQZh43ZzNAgbg1tB7dbRM6xVwtGut32zP,Purple,Red Tattoos,None,None,Two Tone Damaged Horn,None,Silver Combination V2
3620,0.37,5597,76.52,https://magiceden.io/item-details/GoP1Fvg5UF2C6CBNAHojtPScLZvrN3CiLPzJAzcLYcG1,Bronze,Orange,None,Sunglasses,Zombie Ax,None,None
3623,99.989998,1420,0,https://solanart.io/nft/b6TL288P1HiX89Y5MLGCnAJJDZkjwJWT1MiMbL42AYi,Orange,Black,Polo Sand,Convertible Glasses,Normal Horns,Katana,None
3631,70,3854,0,https://solanart.io/nft/3sHA1r3pq7G9Tf45w3n6cYH6ZKS8Z4JVhgaHdxBRWCvz,Light Green,Red Tattoos,Bull of War Armor,None,Miner Helmet,None,None
3638,1.49,1996,79.78,https://magiceden.io/item-details/6YDYqLM3V2TYnsHDUxp2GMtEcUkB5mKfp5VG8yuFcedt,Purple,Black,None,Taurus Eyes,Swat Helmet,None,Cowboy Straw
3647,20,1373,0,https://solanart.io/nft/ADHnC9P2KXjHWBR3mZjiabeaQFdRmFsnXjm1ZdgQeUqG,Yellow,Orange Scars,Swat Uniform,None,Beret,Stop Sign,None
3649,3.45,8834,32.72,https://solanart.io/nft/EUPCtTE8PqUsZuk3zd4Q1ammhVynSZqCE669wf1xGJhN,Yellow,Orange Scars,None,Round Sunglasses,Normal Horns,None,None
3659,1,2955,80.83,https://magiceden.io/item-details/29CqrsGdzszfWBWdaqjpf7n24BSfsn6w48z9ixbXGhpC,Blue,Blonde Scars,Prisoner Uniform,None,Two Tone Horns,None,Soldier Microphone
3685,10,8890,0,https://solanart.io/nft/34MMc3dE4cMeW8wwfJMhTgJVvem5gWCdHY28K3d8hSPS,Yellow,Blonde,None,Reading Glasses White,Normal Horns,None,None
3690,1.69,9913,45.99,https://solanart.io/nft/AicQgDKPUiK3RnoNiHBB1SF8G74XNUGBipZSwkJtChjv,Gray,Blonde Viking Tattoos,None,None,Normal Horns,None,None
3710,2,4383,65.1,https://solanart.io/nft/F7RirAtbffubQwoX6pDeQwBphd7tcgL3jEsgEn3CCCcH,Gray,White,Gladiator Armor,None,Normal Horns,None,Four Silver Earrings
3711,10,3538,0,https://solanart.io/nft/7Qi8H5abGrtQ75xmjHajYad1ZZRBus76RsCr3sZ8ctWX,Blue,Mecha Red,None,None,Two Tone Horns,Astronaut Helmet,None
3713,1.25,9403,52.44,https://magiceden.io/item-details/3fXvVn43SaX9Sh87gqwserFYn2tb36RZhujwHEBkj36k,Blue,White,None,None,Miner Helmet,None,None
3719,1.15,2930,79.43,https://magiceden.io/item-details/EcAcpzRHsMsadjrCk3hzjqEtgqWR6qzCrtPpbKBwEzj6,Green Blue,White,Clown Clothing,None,Two Tone Horns,Bullminator Shotgun,None
3727,500,2293,0,https://solanart.io/nft/cGs6XJjbRw3ZuNdAbrkhawo4podp6moUuhUPSEMoufM,Bronze,Blonde Viking Tattoos,None,VR White,Normal Horns,None,Party Whistle
3728,2.3,9621,41.06,https://solanart.io/nft/6AhBLFSUQtX3HVDg7wy26ZeCyFXykXg6pWkjdDmSk17z,Bull of War,Black,None,None,Normal Horns,None,None
3729,100,7023,0,https://solanart.io/nft/ABBcpisRQXKgvxDBJjhvv6hGb8qp3gqMPr5L6y3M1BCA,Orange,Orange Viking Tattoos,Torn TShirt Gray,None,Normal Horns,None,None
