id,price,moonRank,💎 score (%),storeURL,Background,Background Character,Body,Glyph,Head,Minion,Scenery
Goblin Experiment 5040,5.62,241,46.14,https://solanart.io/nft/DTwXj5ER761yFMLdykNybYwMFZVTuWL3KmpopmcTfBjJ,Purgatorial Void,The Tinkerer,Diligent Protomammal,Intransigent Glyph,Squirming Starlet,Bertram,Omniscient Rock
Goblin Experiment 6327,5.7,670,43.8,https://solanart.io/nft/9tyE6Ek8jmLKX9QhCWVHGFrXiKy1mk67vpWyRagVUeaM,Tranquil Expanse,The Tourist,Primordial Beaver,Hubristic Documents,Errant Rex,Rolund,Mesozoic Shrub
Goblin Brain 8202,5.85,7721,16.91,https://solanart.io/nft/7TZRq5qm2xvajwFRYZKzdGa7ykhZQDVyggJNJxcJsgEc,Ignoble Tundra,,Cerulean Fishmonger,Trenchant Ocarina,Mewling Tyrant,Everard,Jurassic Fronds
Goblin Brain 6231,5.9,2878,33.85,https://solanart.io/nft/BX6xEGDSMM7KxcG7P69rDB3w6DDkLdLcjtK4WKUPb2oj,Equatorial Solstice,,Boorish Thug,Pedestrian Bowl,Courtly Goblinoid,Asher,Dying Ferns
Goblin Brain 9286,6,3879,29.24,https://solanart.io/nft/9g4FhwekwVUaQwZpDo3CDSJSV8oyj3XewavfrZsPrrw4,Resplendent Hillside,Deranged Pachyderm,Irradiated Vermin,Ratfruit,Noble Neanderthal,Sadon,Beloved Statue
Goblin Brain 6841,6,2239,35.15,https://solanart.io/nft/CeyWZ1W3Nk7aKeJADjEKPh66fsFWgYrNW4dR2TmJpGTz,Purgatorial Void,,Smarmy Fellow,Trenchant Ocarina,Ignorant Bystander,Zemislav,Stump
Goblin Experiment 2525,6,914,39.92,https://solanart.io/nft/DnLL6BPp1RyFtkSqVbZi5C7MEBphpKHagU65AmruvFjt,Resplendent Hillside,Broadcast,Euphoric Berserker,Voluble Pen,Precious Pignut,Althalos,Gravestones
Goblin Brain 10870,6,9124,10.35,https://solanart.io/nft/DxPF43u4Qx6YX2tRB8koiTCx1LdJJRuZvcvf1PdifXu5,Tranquil Expanse,,Irradiated Vermin,Noble Vial,Errant Rex,Bertris,Forgotten Rune
Goblin Experiment 10279,6,1728,36.99,https://solanart.io/nft/APfoFtdvYFxa6dtM6DQAaa1hfcRfWXvKWNh36Zux5Fxk,Stupendous Sunrise,Bathonian Mirage,Nimble Peasant,Irksome Serpent,Shrewd Brigadier,Gorvenal,Arashiyama Portal
Goblin Brain 7197,6,9942,7.41,https://solanart.io/nft/5mSj2EgzY35vFzGPPxWfHtMTRmCjqdHxNdoaFp7JafgY,Primordial Grounds,,Sluggish Busybody,Sagacious Fossil,Virtuous Saint,Althalos,Shinjuku Portal
Goblin Experiment 1985,6,8653,12.05,https://solanart.io/nft/7omfoakPFzCmBGkcDmPyCQwHECsaEohBwyq9VeSPftyh,Sublime End,,Primordial Beaver,Righteous Telescope,Knottypated Marmot,Zemislav,Hyperspace Egg
Goblin Experiment 5001,6,3786,29.58,https://solanart.io/nft/5NVNrjM7D1k1jz9WKispvZ1ofqzHeGLMSudezmVuomSR,Delightful Apocalypse,,Corpulent Beast,Comely Pouch,Pribbling Dewberry,Odo,Snail River
Goblin Brain 6559,6,10954,3.76,https://solanart.io/nft/GkhkrCFMwj13uuA9WsYK3TYGpUhfeF1Ggnu8KEhurjZT,Idyllic Moonscape,,Humble Peon,Zealous Omen,Festive Trog,Finnian,Lush Fern
Goblin Brain 6037,6,973,39.71,https://solanart.io/nft/HXPF6XSqtuHMfV3kJ4trHVQdphsSKZTv4ZHpyVKvAQvL,Resplendent Hillside,Evolutionary Deadend,Mesozoic Mammoth,Voluble Pen,Squirming Starlet,Ranulf,Television
Goblin Experiment 609,6.09,7248,16.21,https://solanart.io/nft/2E3MXXPMJ6SQzL9heUQhEB1BZqVubsLYV5dAF5kQhuWe,Stupendous Sunrise,,Queueing Reptile,Munificent Pointer,Friendly Neighbor,Odo,Splendid Decor
Goblin Brain 5570,6.45,835,35.7,https://solanart.io/nft/Aas8w4rNnFvonqXdgyJErZ8RHLz5u7468hDENinheP5Z,Tranquil Expanse,Hogbert,Quilled Beast,Voluble Pen,Tusked Warbler,Ives,Omniscient Rock
Goblin Experiment 9739,6.5,1344,33.37,https://solanart.io/nft/Dq29MZ6Kj1NJ7fUm1KpPfPBCjpGAn5WGEhVetibigdbE,Stupendous Sunrise,Irradiated Marsupial,Cerulean Fishmonger,Execrable Tooth,Impaled Froglet,Asher,Lush Foliage
Goblin Brain 6478,6.525,1473,32.66,https://solanart.io/nft/2QdAVm3bfp5FdiopKZhjBNxbzGTNfAvCxYjRBJEzeYbZ,Resplendent Hillside,The Tourist,Corpulent Beast,Feckless Anvil,Salacious Pachyderm,Morgellon,Lush Fern
Goblin Experiment 2336,6.66,5939,15.22,https://solanart.io/nft/rhRetodzmBJoX1ZEmn7xjECyhUsZbm1jVGZocQsPXnQ,Delightful Apocalypse,Sentient Shrew,Imperial Stand,Mesmerizing Brooch,Pribbling Dewberry,Asher,Omniscient Rock
Goblin Brain 4541,6.85,7071,9.25,https://solanart.io/nft/FtLy7s6VCqWpWZKJUTQdy9kVb74zv22nawAteHQb4Au7,Idyllic Moonscape,Irradiated Marsupial,Pedestrian,Taciturn Choppers,Petroleum Guzzler,Zemislav,Architectural Marvel
Goblin Brain 10578,6.99,1235,28.86,https://solanart.io/nft/HGETzzVKmyGuA7z7mJsHxtfg3YhSqL9bdmhQMe7uMjxc,Equatorial Solstice,Evolutionary Deadend,Cerulean Fishmonger,Salubrious Puffer,Virtuous Saint,Althalos,Beloved Statue
Goblin Brain 4200,7,128,32.75,https://solanart.io/nft/An6zjF7jQ7nu9FnJsgRogJ7HhvY8Rb17EtWvWFxcdznh,Goblinesque Prairie,The Tourist,Alchemical Toiler,Pedestrian Bowl,Sneering Goblinoid,Finnian,Stump
Goblin Experiment 10414,7,62,32.99,https://solanart.io/nft/Aj39WyPMSkQEy7kRtosoP8gpNC9mxXv4RZ2WA2RiCuD8,Idyllic Moonscape,Evolutionary Deadend,Red Phillip,Spasmodic Saber,Shackled Wizard,Finnian,Sumptuous Lantern
Goblin Brain 7488,7,189,32.53,https://solanart.io/nft/8kvSJmX7XJrTJefxordYLJvTHXewEs3e7ZPDeBPyF7zC,Primordial Grounds,The Shifter,Cannon Fodder,Trenchant Ocarina,Friendly Neighbor,Althalos,Gravestones
Goblin Experiment 10545,7,275,32.22,https://solanart.io/nft/FasDsr8UU5pjycq9FAQhD4zyiLxdJMmr9s56o2mMnk61,Resplendent Hillside,,Pedestrian,Ruminative Candlestick,Whiny Protomammal,Odo,Beloved Statue
Goblin Experiment 6021,7,7230,7.17,https://solanart.io/nft/2yAcZwXVPrBkPiqPperwifaJKMcAu3mUi5Tep2tNhEmP,Stupendous Sunrise,,Cynical Quadruped,Ruminative Candlestick,Enlightened Mammoth,Zemislav,Odd Foliage
Goblin Brain 9534,7,10074,0,https://solanart.io/nft/G3WUydnJZySaqt4CMuhuFHxEx3EBfjsQ5HgzaFVTtYZQ,Idyllic Moonscape,,Glorious Goblin,Minatory Whirlyjig,Lead Gossiper,Finnian,Omniscient Rock
Goblin Brain 2161,7,1407,28.14,https://solanart.io/nft/GqaEHtHfNkNBcy5N5zNeaG6QN5TjGtdDntx8NsyrKvus,Ignoble Tundra,Hyuck,Mesozoic Mammoth,Munificent Pointer,Frilled Brother,Rolund,Jurassic Fronds
Goblin Experiment 8806,7,1639,27.31,https://solanart.io/nft/BJm3CyjFowj2ysZ8HiunwVhrHoRHcnbZhvEeLieskRw7,Handsome Interior,The Chancellor,Cloistered Amphibian,Hubristic Documents,Lore Master,Finnian,Gravestones
Goblin Brain 2805,7,4248,17.91,https://solanart.io/nft/2jixsTKdQoG3pRnCN1Jpc6xYu5QXLDgcyfN8db1AAiko,Tranquil Expanse,,Chameleonic Frame,Hubristic Documents,Righteous Accomplice,Althalos,Sumptuous Lantern
Goblin Experiment 5622,7.52,962,24.55,https://solanart.io/nft/5CuA85rXytJyjSKjCbypPxAPE65rggqQ49rfxMw4rPhK,Equatorial Solstice,The Tinkerer,Quilled Beast,Withering Bow,Heroic Countenance,Althalos,Solukhumbu Omen
Goblin Brain 2351,7.77,3254,13.79,https://solanart.io/nft/AxCRPZvrrThgxMxct9Ut7idj6V85P2Y6vxbeBQBWTzsU,Primordial Grounds,,Karst Gobbler,Mesmerizing Brooch,Observant Eavesdropper,Rolund,Beloved Statue
Goblin Experiment 3113,7.77,5061,7.29,https://solanart.io/nft/GPdJ6o629LbCWbjpAVEU9YLFo3dcfji9Sv2GRuL92RnA,Resplendent Hillside,,Diligent Protomammal,Habilis Tool,Heroic Countenance,Hobodor,Living Stones
Goblin Experiment 4653,7.99,261,22.37,https://solanart.io/nft/GqvXexu4siKpHEvGVUFeE1F4Z8erfpKMvoNYFoWGUDSx,Handsome Interior,Hyuck,Blue Phillip,Mesmerizing Brooch,Heroic Countenance,Morgellon,Architectural Marvel
Goblin Brain 668,8,2698,13.49,https://solanart.io/nft/8EvyFqeHEXJpD2scPP6sd4P8a9DJ6pT3TWoRp3DypMko,Primordial Grounds,Hyuck,Humble Peon,Inveterate Remote,Mortachais Brain,Sadon,Lush Fern
Goblin Brain 4367,8,4136,8.32,https://solanart.io/nft/A4AXAR1LpDARXBpqGgb4meHD91uLQuUzCtmwge5FUyDU,Cheery Grotto,,Turkana Scribe,Sclerotic Sextant,Veritable Chameleon,Carac,Red Weed
Goblin Experiment 7114,8.018,8028,0,https://solanart.io/nft/4gSfWJakqFEjUbw3irSeHNkyvnN6Z7686o6PTocj9LGv,Purgatorial Void,,Wetware Surrogate,Jejune Groggerbit,Fly Bitten Gudgeon,Asher,Solukhumbu Omen
Goblin Brain 11037,8.5,1180,13.96,https://solanart.io/nft/9FJUktr9WKwXBZ4jPoL28dXRhGKEZF7p7T6wZDcRf7jZ,Insipid Moonrise,,Smarmy Fellow,Minatory Whirlyjig,Veritable Chameleon,Gorvenal,Serene Well
Goblin Brain 2454,8.8,442,13.62,https://solanart.io/nft/FRT5zP4qGsDjuaNgQt6pAYUScZ2Lp4FPLKdzrW8UJT74,Illusory Horizon,,Primordial Hominid,Taciturn Choppers,Salacious Pachyderm,Tybalt,Hyperspace Egg
Goblin Brain 9802,9,1959,6.16,https://solanart.io/nft/12ufyoQ8fT9pZbKesF85Vce6epaFtRn2vyZwmGiZgsWH,Tranquil Expanse,The Chancellor,Royal Poltergeist,Execrable Tooth,Metaversal Default,Umfrey,Gravestones
Goblin Experiment 7855,9,2803,3.12,https://solanart.io/nft/AtqeGQtccN7mYDYZMuKJuo2pWFzj5KCUrnejzx183eFA,Handsome Interior,Primordial Kangaroo,Primordial Hominid,Sartorial Pin,Ill Breeding Gazer,Finnian,Omniscient Rock
Goblin Experiment 9425,9,607,11.02,https://solanart.io/nft/C7ctZ9HUjcY9R2tRRad7bhmXozajWUihv2UTuhNQCR3g,Delightful Apocalypse,Archaic Beast,Cannon Fodder,Habilis Tool,Impaled Froglet,Lucan,Odd Cable
