id,price,moonRank,💎 score (%),storeURL,Background,Base,Clothing,Eyes,Hat,Mouth
0493,2,220,74.64,https://magiceden.io/item-details/949MNY13pVyHKLXC3NEQRvtM92ixRrFk39LGeYwuPDLJ,Rose,Dracula,Blue Camo Hoodie,None,Black Panel Cap,Gold Tooth Left
0497,0.26,1070,61.3,https://magiceden.io/item-details/8kGW6nAcJcshRYetWjHNcWxwtnK3ybqFDqBRx6w6YLqF,Blue,Dracula,Black Hoodie,3D Shades,None,Blood
0500,4,677,38.12,https://magiceden.io/item-details/Bf4VRpHLUPCwdKuTf6m5HY2no2EswGwYC5gTphGs7mXi,Rose,Mohawk,Standard Suit,Eye Patch,None,None
0503,1.8,706,59.07,https://magiceden.io/item-details/Ami8AE2w8nKieehN4zXBZCocpk981YxMcbfULpNqRPRq,Green,Dracula,Black Hoodie,Red Shades,Orange Panel Cap,None
0515,2,412,67.7,https://magiceden.io/item-details/HHgCSNE7q4gC2PXZk5sdMpvgKGPCaPRJ1ZRYQginKnnK,Olive,Dracula,Blue Sweater,3D Shades,Army Hat,Cigarette
0517,0.5,586,76.41,https://magiceden.io/item-details/6Qvk4VwVLzQmok2zi51wDJJ16AQiS1FQb9UPcrXVPz2e,Violet,Dracula,Shirt and Tie,Glasses,Devil Horns,Cigarette
0528,0.35,606,77.18,https://magiceden.io/item-details/fo9dJ3vWZTa34hak1uSGU8xu5XurykJaorkuvmS8buS,Rose,Dracula,Frost,Blindfold,Devil Horns,None
0536,1.8,599,62.94,https://magiceden.io/item-details/MWqp5FmLC6NahK9rWsCu887MQbFKfixrSWbgrngAWLN,Blue,Dracula,Doctor Shirt,Glasses,Green Hat,Blood
0552,1.5,99,84.02,https://magiceden.io/item-details/FeDTKMysegdMeTrE6D5mkXdQ1kdL2DHxW7vtYcm2QHsH,Blue,Dracula,Hawaii Shirt,Red Shades,King Crown,Gold Tooth Left
0562,0.49,49,95.93,https://magiceden.io/item-details/3bydKN1WJHPLm1BFtar64MzmhctzMe4YdxywwbYBS1gv,Forest,Dracula,Tie Dye T-Shirt,Old Fashioned Glasses,Greek Leaf Crown,Blunt
0566,2,69,80.1,https://magiceden.io/item-details/4B3J1Y1LojUKNnhcxP7eowBuhFFQ7JUziPBfwVdAqFjD,Violet,Mohawk,Blue Suit,Blue Shades,None,Diamond Tooth Right
0568,1.8,796,55.81,https://magiceden.io/item-details/BmuaXyzssqqe9JRcKEGNB3TH3qiEnSd7zex46HF7yZhJ,Forest,Dracula,Snow Camo Hoodie,Blue Shades,None,None
0576,0.6,511,78.12,https://magiceden.io/item-details/Bjb39xMwJRwTZKmegwycNDpeD6o8pLFb8yDkSHTaCQ3P,Violet,Dracula,Blue Camo Hoodie,3D Shades,Christmas Hat,None
0587,1.19,884,58.73,https://magiceden.io/item-details/HUR9rYVyfEsnx2eyvX3Zsv9KBUxn5PqmG6iSC43HQzA2,Rose,Dracula,Prison Suit,Aviator Goggles,Devil Horns,Blood
0591,2,552,62.64,https://magiceden.io/item-details/Bz6ZvaxkVQot51eC5na9y9boqXcbd95aWB6DQbQQSooN,Green,Dracula,Solana T-Shirt,Swim Goggles,Devil Horns,Cigar
0597,10,4,2.46,https://magiceden.io/item-details/9LVz8poYcvHAfdfmkRVup7pfZKbsuV1GqwL6CeCP3UGv,Rose,Zombie Dracula,Solana T-Shirt,Laser Eyes,Captain Hat,Gold Tooth Right
0601,1.5,622,65.1,https://magiceden.io/item-details/9W7d39cVUFibQUpWCp9FLr6BZm3RTccxDQgjL74SDNWF,Green,Dracula,Bath Robe,Gold Shades,None,Cigarette
0604,1.5,63,85.32,https://magiceden.io/item-details/Fu6uwSpCFgkZgxUtsBfsA4tdpJz9FhHVv7q3oKKpjQD1,Forest,Mohawk,Blue Suit,None,None,Gold Tooth Right
0611,0.49,600,76,https://magiceden.io/item-details/AownEiSshhkcZ4caymYTAfGy9iGjKPCF9wHM13Tq1yqa,Olive,Dracula,Turtleneck,Blindfold,Devil Horns,Blood
0617,2,701,57.25,https://magiceden.io/item-details/8ZyBMRTRNAKbKTCxjc2sb5zcbDqskVtUXK7vZqiFC4eY,Blue,Dracula,Blue Camo Hoodie,Pit Viper,Halo,None
0625,1.5,833,57.47,https://magiceden.io/item-details/6XYk9gTxRupEaZHKkwbC3AEiVqETPf19fGGjdMU5jArJ,Rose,Dracula,Blue Camo Hoodie,Glasses,None,Cigarette
0634,1.8,787,56.14,https://magiceden.io/item-details/DmwJbXbKe2GVqTocv72NRJQrssVrRQmECPPk46JDLs5R,Olive,Dracula,Doctor Shirt,Flying Goggles,None,Diamond Tooth Left
0639,1.35,562,68.77,https://magiceden.io/item-details/9xVCnaXNonoMXaPRehdmNv7dsUXQGtzH1AHA1r7CwwR5,Olive,Dracula,Standard Suit,Swim Goggles,None,Rainbow Grills
0664,2.09,1084,42.5,https://magiceden.io/item-details/9iamdtyJ6xmgM6trD8KCDYo3zTJq9pMAUo9GLGwgBNzr,Violet,Dracula,Black Hoodie,None,None,Blood
0678,0.9,1060,55.26,https://magiceden.io/item-details/DHpovLjPLB9sqoq4NU8TcDk3SYVGnvAi9mav6m5xrX2J,Violet,Dracula,Snow Camo Hoodie,Glasses,None,None
0683,0.51,490,79.78,https://magiceden.io/item-details/3A15AH44AHmhjG1KQFZ7nekdeKxHkHeZxu3fdh6MF6LZ,Blue,Dracula,Doctor Shirt,Blindfold,Purple Panel Cap,Blood
0687,1.4,13,88.13,https://magiceden.io/item-details/49R6bjkhanub1VFp99upLm9rWhHYmmceJMtZUs9Z6ykn,Green,Zombie Dracula,Blue T-Shirt,Pit Viper,Orange Panel Cap,Gold Tooth Left
0698,0.7,256,86.34,https://magiceden.io/item-details/H9MGpZhJbSW8sQGUfziAZGvcejJ59TH1MSk9vVe1oeZQ,Green,Dracula,Luffy Shirt,Swim Goggles,Captain Hat,Blunt
0707,2.2,504,62.37,https://magiceden.io/item-details/GHd5phN45527rp87tMJDEDb33CPR1tWw97ZTDBRHiqMq,Blue,Dracula,Kimono,None,Devil Horns,Gold Tooth Left
0711,0.6,482,79.17,https://magiceden.io/item-details/EmhZkHJYs4FJA5HEEBHUozitDyTxxYqnqYEjXngPSYwn,Rose,Dracula,Doctor Shirt,Laser Eyes,Green Hat,Blood
0724,0.75,607,73.15,https://magiceden.io/item-details/GgoRVNpTagqxubHBwRBHYAS33rRLevZupg9j1Uyyr9zB,Blue,Dracula,Cowboy Shirt V2,Eye Patch,None,Diamond Tooth Right
0725,0.88,1095,54.2,https://magiceden.io/item-details/74i1XLYsCeWPjntgJq1RhTCpNADfhhTovbMVEp1Uuapm,Rose,Dracula,Hawaii Shirt,None,None,Blood
0741,0.8,76,91.85,https://magiceden.io/item-details/Cenu9yYQ5hjjcMauUPHjpC9b65yidSVZJyjpvcKSomhQ,Forest,Dracula,Scarf,Purple Shades,Army Hat,Blood
0751,2.3,286,69.26,https://magiceden.io/item-details/KHyHXEH6FiJdNa7mc8wJLMTgjDjypNvG8vwgFTSVTK4,Violet,Dracula,Doctor Shirt,Eye Patch,Police Hat,Cigarette
0756,3,110,68.62,https://magiceden.io/item-details/5qJPocsDmv4MgqdYVq1zeSujvkpTHGKKgbGM32SWSgdh,Rose,Dracula,Turtleneck,Pit Viper,Football Hat,Gold Tooth Left
0761,2,283,72.36,https://magiceden.io/item-details/DmwAR8zQs4SnQVmP4EMKLLyzZFbcxNuBK9FSW4xExJAF,Olive,Dracula,Bath Robe,Flying Goggles,Orange Panel Cap,Gold Tooth Right
0762,2.13,1054,43.18,https://magiceden.io/item-details/4DrEqK18JE7uMXj8AJTJANFz7PTvDHK1ZJ1u8bLAG16F,Rose,Dracula,Pirate T-shirt,None,None,None
0776,0.5,1077,58.65,https://magiceden.io/item-details/AYprfUHDhnNKGdCZMBpF25H16BDAEWwWmqDZW8naQpUx,Green,Dracula,Hawaii Shirt,Swim Goggles,None,None
0782,1.8,766,56.9,https://magiceden.io/item-details/HK1bP98ZUi3oZzys77pfgwkNSB1PCGKaXNvsn7FD6tFD,Violet,Dracula,Doctor Shirt,Pit Viper,Halo,None
0798,0.67,654,72.25,https://magiceden.io/item-details/7RZsnukXfEd5cJQDtt51Bb7tVhNUpZD9JAQVHPUgiPZo,Rose,Mohawk,Christmas Sweater,Old Fashioned Glasses,None,None
0808,0.8,83,91.6,https://magiceden.io/item-details/6D8X3CYG97fW7Lu4GChNjfeT2wCUL5RpoyVhtWVtJKV7,Forest,Dracula,Blue Camo Hoodie,Glasses,Green Panel Cap,Blood
0834,1.7,872,54.06,https://magiceden.io/item-details/AY66JYEMKGRCkPspcEhg5xSmKpRGq3LWRkTkH2imkAjK,Rose,Dracula,Christmas Sweater,Purple Shades,None,Blunt
0836,1.8,714,58.78,https://magiceden.io/item-details/2d196nALaBhpv7gTfdbTME9ArVhcpotZARtVtCGAE9nq,Green,Mohawk,Cowboy Shirt V2,None,None,None
0839,2,460,65.96,https://magiceden.io/item-details/BuKBoqEMXKdzZLwAXtf8XSu1LrnRtCDubWUnwgKp9sPb,Green,Dracula,Blue Sweater,Blindfold,Devil Horns,Gold Tooth Right
0845,2,361,69.54,https://magiceden.io/item-details/GRz8KFMwbSDjhUzRiJgHaqkgoURokaKeZ16r4Co4d3MM,Rose,Dracula,Bath Robe,Swim Goggles,Black Panel Cap,Cigarette
0853,0.9,1040,55.99,https://magiceden.io/item-details/Bx97R4YjfdEDcQx1drt92ADBXFvVyyPLCTv8bUv1A9zF,Blue,Dracula,Orange Hoodie,Red Shades,None,Blood
0857,0.7,7,95.35,https://magiceden.io/item-details/BA4im8eFL1pCN4Abm3DR5WNgkyapiCmUinGcZtcT85q,Green,Solana Dracula,Tank Top,None,Army Hat,Blunt
0864,0.5,319,86.06,https://magiceden.io/item-details/9x4JwW3BK1F92AAYocsRmPCinR5hR71yxP9XTS9AmtYx,Blue,Dracula,Cowboy Shirt V2,3D Shades,Green Hat,Gold Tooth Left
0869,2.8,38,73.23,https://magiceden.io/item-details/EZYLgnV48zpBaUQJpBmPv9Xqrf4sHvWrKAJXyrwdndGh,Forest,Dracula,Tie Dye T-Shirt,3D Shades,Green Panel Cap,Diamond Tooth Left
0882,1.3,66,87.21,https://magiceden.io/item-details/5gkF7jV4rXenJdcN6decx5aJuM7MVzvX1pXeBpDnUZQ2,Green,Dracula,Sasuke Body,Flying Goggles,Green Panel Cap,Gold Tooth Left
0885,2.15,664,57.09,https://magiceden.io/item-details/HuioVGUTNndayZECkVdsbr8YRusCdauNU5zMxCx6RkeZ,Green,Dracula,Black T-Shirt,Glasses,None,Gold Tooth Right
