id,price,moonRank,💎 score (%),storeURL,Background,Body,Clothes,Eyes,Head,Mouth,Special edition
6 ,95,1132,0,https://magiceden.io/item-details/F7qSnrahd3gzxYWprLFoL9D9JwGArt5UNPFmsA9y9LTC,sky blue,normal wukong,jacket white,blank,army hat,blank,
18 ,500,2184,0,https://magiceden.io/item-details/8gxLGq3R4C2YQu84hvNCTdS8zbaqeFAyiZsNDR3CuWnb,grey,normal wukong,blank,blank,backward cap blue,blank,
19 ,33,2220,50.02,https://magiceden.io/item-details/8yvN1LRNEER8u71B1UXuRmMovsYDgkewzEujuoS7DRud,grey,normal wukong,turtleneck purple,blank,blank,blank,
28 ,120,214,0,https://magiceden.io/item-details/6CRGnMA5Q2PLAa4xjFQMtVkxCzSPi8eByFdNHRLEQTgH,grey,normal wukong,scarf blue,blank,sun hat pink,party horn,
42 ,200,599,0,https://magiceden.io/item-details/HXBt6PNoMJwvoHs4kXUy4ymuAm2m3SGS9Y5m3WwpuSfC,orange,normal wukong,flower shirt orange,blank,grad hat,glass of water,
47 ,70,2041,0,https://magiceden.io/item-details/FBy4CPTKz3r3w8DS5Wh9KDV7qbqyvq3q8xykxiZ8fHLU,orange,normal wukong,blank,blank,strawhat,cigarette,
58 ,50,1718,0,https://magiceden.io/item-details/FbaNJ3nrUDHntCBf1oDP9oJHhgr5R1CHcstEerTpdFFQ,grey,normal wukong,lab coat,blank,strawhat,blank,
82 ,74,1741,0,https://magiceden.io/item-details/34MP8iPhiXNUZkXdveFD34rsc4AkuEnBAvHvNRbTtjuf,bright light,normal wukong,tied scarf red,blank,visor cap blue,blank,
85 ,69.99,2156,0,https://magiceden.io/item-details/Pi7FV7bjUix1kde7hZsNgMa2Gt4omyQ9rhofXAd1i5Y,orange,normal wukong,blank,blank,beret blue,blank,
95 ,58,2197,0,https://magiceden.io/item-details/EHaJrT2qBBCPPcYUYFeEYgdBvjDgZLQeT5oDbonv2CuY,pink,normal wukong,white shirt,blank,blank,blank,
97 ,55,964,0,https://magiceden.io/item-details/BNLrvku4NGKfSaxbEtPjicmZXz7KoyhvcasSxqUiTibH,bright light,normal wukong,tshirt purple,blank,xmas,blank,
112 ,40,1230,0,https://magiceden.io/item-details/8V67wwtmmSFdNHhGXj8QNGnC5tdPYvGSnMUAvAZem9Qn,bright light,normal wukong,neon bikini top,blank,backward orange,blank,
113 ,100,91,0,https://magiceden.io/item-details/5QNvZWzQuneC6XdnbHNBESv16CA553EZQGuung76aHPG,pink,normal wukong,military vest,sunnies green,beret grey,cigarette,
119 ,34.98,1392,45.13,https://magiceden.io/item-details/H95Jbzx9UqivVDWY48q6yDmYyzseJbHrwCdoFiXZ8ZYp,bright light,normal wukong,scarf blue,blank,bandanna white blue,blank,
128 ,250,42,0,https://magiceden.io/item-details/2iBBg7yjeM44PHHzpgC4wvoTwyeKt7o31T3zFqt88Xyt,grey,normal wukong,turtleneck turquoise,ski goggles,backward cap turquoise,cigarette,
